county,precinct,office,district,candidate,party,votes
Pearl River,AMACKERTOWN 2,President,,Roque 'Rocky' De La Fuente,0
Pearl River,CARRIERE 3,President,,Roque 'Rocky' De La Fuente,3
Pearl River,CARRIERE 5,President,,Roque 'Rocky' De La Fuente,3
Pearl River,CESAR 3,President,,Roque 'Rocky' De La Fuente,0
Pearl River,CROSSROADS 2,President,,Roque 'Rocky' De La Fuente,0
Pearl River,DERBY 1,President,,Roque 'Rocky' De La Fuente,1
Pearl River,F Z GOSS 4,President,,Roque 'Rocky' De La Fuente,4
Pearl River,GUMPOND/HICKORY GROVE 3,President,,Roque 'Rocky' De La Fuente,0
Pearl River,HENLEYFIELD 2,President,,Roque 'Rocky' De La Fuente,2
Pearl River,MCNEILL 3,President,,Roque 'Rocky' De La Fuente,2
Pearl River,MILL CREEK 2,President,,Roque 'Rocky' De La Fuente,0
Pearl River,NICHOLSON 4,President,,Roque 'Rocky' De La Fuente,2
Pearl River,PIC/HAWL/NH 5,President,,Roque 'Rocky' De La Fuente,6
Pearl River,PICAYUNE 1 EASTSIDE,President,,Roque 'Rocky' De La Fuente,0
Pearl River,PICAYUNE SOUTHSIDE,President,,Roque 'Rocky' De La Fuente,0
Pearl River,PICAYUNE 2,President,,Roque 'Rocky' De La Fuente,4
Pearl River,PICAYUNE 4,President,,Roque 'Rocky' De La Fuente,1
Pearl River,PINE GROVE 4,President,,Roque 'Rocky' De La Fuente,1
Pearl River,POPLARVILLE 1,President,,Roque 'Rocky' De La Fuente,5
Pearl River,POPLARVILLE 2,President,,Roque 'Rocky' De La Fuente,3
Pearl River,POPLARVILLE 3,President,,Roque 'Rocky' De La Fuente,1
Pearl River,PROGRESS 3,President,,Roque 'Rocky' De La Fuente,0
Pearl River,SPRINGHILL 2,President,,Roque 'Rocky' De La Fuente,0
Pearl River,STEEP HOLLOW 3,President,,Roque 'Rocky' De La Fuente,0
Pearl River,SYCAMORE 5,President,,Roque 'Rocky' De La Fuente,1
Pearl River,WHITESAND 1,President,,Roque 'Rocky' De La Fuente,0
Pearl River,TOTAL,President,,Roque 'Rocky' De La Fuente,39
Pearl River,AMACKERTOWN 2,President,,Donald J. Trump,123
Pearl River,CARRIERE 3,President,,Donald J. Trump,297
Pearl River,CARRIERE 5,President,,Donald J. Trump,528
Pearl River,CESAR 3,President,,Donald J. Trump,83
Pearl River,CROSSROADS 2,President,,Donald J. Trump,204
Pearl River,DERBY 1,President,,Donald J. Trump,142
Pearl River,F Z GOSS 4,President,,Donald J. Trump,611
Pearl River,GUMPOND/HICKORY GROVE 3,President,,Donald J. Trump,284
Pearl River,HENLEYFIELD 2,President,,Donald J. Trump,309
Pearl River,MCNEILL 3,President,,Donald J. Trump,240
Pearl River,MILL CREEK 2,President,,Donald J. Trump,195
Pearl River,NICHOLSON 4,President,,Donald J. Trump,186
Pearl River,PIC/HAWL/NH 5,President,,Donald J. Trump,967
