candidate,office,district,party,county,precinct,votes
Joseph R Biden,President ,,D,Tallahatchie,Blue Cane,236
Donald J Trump,President ,,R,Tallahatchie,Blue Cane,67
Don Blankenship,President ,,AC,Tallahatchie,Blue Cane,0
Brian Carroll,President ,,AS,Tallahatchie,Blue Cane,0
Phil Collins,President ,,IND,Tallahatchie,Blue Cane,0
Howie Hawkins,President ,,G,Tallahatchie,Blue Cane,3
Jo Jorgensen ,President ,,L,Tallahatchie,Blue Cane,1
Brock Pierce,President ,,IND,Tallahatchie,Blue Cane,0
Kanye West,President ,,IND,Tallahatchie,Blue Cane,0
Mike Espy,US Senate,,D,Tallahatchie,Blue Cane,251
Cindy Hyde-Smith,US Senate,,R,Tallahatchie,Blue Cane,55
Jimmy L Edwards,US Senate,,L,Tallahatchie,Blue Cane,2
Brian Flowers,U S House,2,R,Tallahatchie,Blue Cane,53
Bennie G Thompson,U S House,2,D,Tallahatchie,Blue Cane,249
Joseph R Biden,President ,,D,Tallahatchie,Brazil,27
Donald J Trump,President ,,R,Tallahatchie,Brazil,20
Don Blankenship,President ,,AC,Tallahatchie,Brazil,1
Brian Carroll,President ,,AS,Tallahatchie,Brazil,0
Phil Collins,President ,,IND,Tallahatchie,Brazil,0
Howie Hawkins,President ,,G,Tallahatchie,Brazil,0
Jo Jorgensen ,President ,,L,Tallahatchie,Brazil,0
Brock Pierce,President ,,IND,Tallahatchie,Brazil,0
Kanye West,President ,,IND,Tallahatchie,Brazil,0
Mike Espy,US Senate,,D,Tallahatchie,Brazil,28
Cindy Hyde-Smith,US Senate,,R,Tallahatchie,Brazil,19
Jimmy L Edwards,US Senate,,L,Tallahatchie,Brazil,0
Brian Flowers,U S House,2,R,Tallahatchie,Brazil,18
Bennie G Thompson,U S House,2,D,Tallahatchie,Brazil,28
Joseph R Biden,President ,,D,Tallahatchie,Cascilla,80
Donald J Trump,President ,,R,Tallahatchie,Cascilla,257
Don Blankenship,President ,,AC,Tallahatchie,Cascilla,0
Brian Carroll,President ,,AS,Tallahatchie,Cascilla,0
Phil Collins,President ,,IND,Tallahatchie,Cascilla,0
Howie Hawkins,President ,,G,Tallahatchie,Cascilla,0
Jo Jorgensen ,President ,,L,Tallahatchie,Cascilla,0
Brock Pierce,President ,,IND,Tallahatchie,Cascilla,0
Kanye West,President ,,IND,Tallahatchie,Cascilla,0
Mike Espy,US Senate,,D,Tallahatchie,Cascilla,97
Cindy Hyde-Smith,US Senate,,R,Tallahatchie,Cascilla,240
Jimmy L Edwards,US Senate,,L,Tallahatchie,Cascilla,3
Brian Flowers,U S House,2,R,Tallahatchie,Cascilla,220
Bennie G Thompson,U S House,2,D,Tallahatchie,Cascilla,110
Joseph R Biden,President ,,D,Tallahatchie,Charleston Beat #1,348
Donald J Trump,President ,,R,Tallahatchie,Charleston Beat #1,211
Don Blankenship,President ,,AC,Tallahatchie,Charleston Beat #1,0
Brian Carroll,President ,,AS,Tallahatchie,Charleston Beat #1,2
Phil Collins,President ,,IND,Tallahatchie,Charleston Beat #1,3
Howie Hawkins,President ,,G,Tallahatchie,Charleston Beat #1,3
Jo Jorgensen ,President ,,L,Tallahatchie,Charleston Beat #1,1
Brock Pierce,President ,,IND,Tallahatchie,Charleston Beat #1,1
Kanye West,President ,,IND,Tallahatchie,Charleston Beat #1,3
Mike Espy,US Senate,,D,Tallahatchie,Charleston Beat #1,356
Cindy Hyde-Smith,US Senate,,R,Tallahatchie,Charleston Beat #1,204
Jimmy L Edwards,US Senate,,L,Tallahatchie,Charleston Beat #1,9
Brian Flowers,U S House,2,R,Tallahatchie,Charleston Beat #1,183
Bennie G Thompson,U S House,2,D,Tallahatchie,Charleston Beat #1,377
Joseph R Biden,President ,,D,Tallahatchie,Charleston Beat #2,537
Donald J Trump,President ,,R,Tallahatchie,Charleston Beat #2,260
Don Blankenship,President ,,AC,Tallahatchie,Charleston Beat #2,0
Brian Carroll,President ,,AS,Tallahatchie,Charleston Beat #2,2
Phil Collins,President ,,IND,Tallahatchie,Charleston Beat #2,1
Howie Hawkins,President ,,G,Tallahatchie,Charleston Beat #2,1
Jo Jorgensen ,President ,,L,Tallahatchie,Charleston Beat #2,3
Brock Pierce,President ,,IND,Tallahatchie,Charleston Beat #2,0
Kanye West,President ,,IND,Tallahatchie,Charleston Beat #2,9
Mike Espy,US Senate,,D,Tallahatchie,Charleston Beat #2,567
Cindy Hyde-Smith,US Senate,,R,Tallahatchie,Charleston Beat #2,234
Jimmy L Edwards,US Senate,,L,Tallahatchie,Charleston Beat #2,11
Brian Flowers,U S House,2,R,Tallahatchie,Charleston Beat #2,231
Bennie G Thompson,U S House,2,D,Tallahatchie,Charleston Beat #2,576
Joseph R Biden,President ,,D,Tallahatchie,Charleston Beat #3,268
Donald J Trump,President ,,R,Tallahatchie,Charleston Beat #3,147
Don Blankenship,President ,,AC,Tallahatchie,Charleston Beat #3,3
Brian Carroll,President ,,AS,Tallahatchie,Charleston Beat #3,3
Phil Collins,President ,,IND,Tallahatchie,Charleston Beat #3,2
Howie Hawkins,President ,,G,Tallahatchie,Charleston Beat #3,0
Jo Jorgensen ,President ,,L,Tallahatchie,Charleston Beat #3,1
Brock Pierce,President ,,IND,Tallahatchie,Charleston Beat #3,0
Kanye West,President ,,IND,Tallahatchie,Charleston Beat #3,1
Mike Espy,US Senate,,D,Tallahatchie,Charleston Beat #3,274
Cindy Hyde-Smith,US Senate,,R,Tallahatchie,Charleston Beat #3,148
Jimmy L Edwards,US Senate,,L,Tallahatchie,Charleston Beat #3,6
Brian Flowers,U S House,2,R,Tallahatchie,Charleston Beat #3,136
Bennie G Thompson,U S House,2,D,Tallahatchie,Charleston Beat #3,283
Joseph R Biden,President ,,D,Tallahatchie,Enid,107
Donald J Trump,President ,,R,Tallahatchie,Enid,231
Don Blankenship,President ,,AC,Tallahatchie,Enid,0
Brian Carroll,President ,,AS,Tallahatchie,Enid,2
Phil Collins,President ,,IND,Tallahatchie,Enid,1
Howie Hawkins,President ,,G,Tallahatchie,Enid,0
Jo Jorgensen ,President ,,L,Tallahatchie,Enid,1
Brock Pierce,President ,,IND,Tallahatchie,Enid,0
Kanye West,President ,,IND,Tallahatchie,Enid,0
Mike Espy,US Senate,,D,Tallahatchie,Enid,130
Cindy Hyde-Smith,US Senate,,R,Tallahatchie,Enid,202
Jimmy L Edwards,US Senate,,L,Tallahatchie,Enid,9
Brian Flowers,U S House,2,R,Tallahatchie,Enid,201
Bennie G Thompson,U S House,2,D,Tallahatchie,Enid,126
Joseph R Biden,President ,,D,Tallahatchie,Glendora,243
Donald J Trump,President ,,R,Tallahatchie,Glendora,15
Don Blankenship,President ,,AC,Tallahatchie,Glendora,1
Brian Carroll,President ,,AS,Tallahatchie,Glendora,1
Phil Collins,President ,,IND,Tallahatchie,Glendora,0
Howie Hawkins,President ,,G,Tallahatchie,Glendora,1
Jo Jorgensen ,President ,,L,Tallahatchie,Glendora,4
Brock Pierce,President ,,IND,Tallahatchie,Glendora,0
Kanye West,President ,,IND,Tallahatchie,Glendora,1
Mike Espy,US Senate,,D,Tallahatchie,Glendora,258
Cindy Hyde-Smith,US Senate,,R,Tallahatchie,Glendora,7
Jimmy L Edwards,US Senate,,L,Tallahatchie,Glendora,3
Brian Flowers,U S House,2,R,Tallahatchie,Glendora,11
Bennie G Thompson,U S House,2,D,Tallahatchie,Glendora,254
Joseph R Biden,President ,,D,Tallahatchie,Leverette,43
Donald J Trump,President ,,R,Tallahatchie,Leverette,42
Don Blankenship,President ,,AC,Tallahatchie,Leverette,0
Brian Carroll,President ,,AS,Tallahatchie,Leverette,0
Phil Collins,President ,,IND,Tallahatchie,Leverette,0
Howie Hawkins,President ,,G,Tallahatchie,Leverette,0
Jo Jorgensen ,President ,,L,Tallahatchie,Leverette,1
Brock Pierce,President ,,IND,Tallahatchie,Leverette,0
Kanye West,President ,,IND,Tallahatchie,Leverette,0
Mike Espy,US Senate,,D,Tallahatchie,Leverette,47
Cindy Hyde-Smith,US Senate,,R,Tallahatchie,Leverette,39
Jimmy L Edwards,US Senate,,L,Tallahatchie,Leverette,0
Brian Flowers,U S House,2,R,Tallahatchie,Leverette,37
Bennie G Thompson,U S House,2,D,Tallahatchie,Leverette,46
Joseph R Biden,President ,,D,Tallahatchie,Murphreesbore,18
Donald J Trump,President ,,R,Tallahatchie,Murphreesbore,163
Don Blankenship,President ,,AC,Tallahatchie,Murphreesbore,0
Brian Carroll,President ,,AS,Tallahatchie,Murphreesbore,1
Phil Collins,President ,,IND,Tallahatchie,Murphreesbore,0
Howie Hawkins,President ,,G,Tallahatchie,Murphreesbore,0
Jo Jorgensen ,President ,,L,Tallahatchie,Murphreesbore,0
Brock Pierce,President ,,IND,Tallahatchie,Murphreesbore,0
Kanye West,President ,,IND,Tallahatchie,Murphreesbore,0
Mike Espy,US Senate,,D,Tallahatchie,Murphreesbore,25
Cindy Hyde-Smith,US Senate,,R,Tallahatchie,Murphreesbore,156
Jimmy L Edwards,US Senate,,L,Tallahatchie,Murphreesbore,1
Brian Flowers,U S House,2,R,Tallahatchie,Murphreesbore,147
Bennie G Thompson,U S House,2,D,Tallahatchie,Murphreesbore,29
Joseph R Biden,President ,,D,Tallahatchie,Paynes,19
Donald J Trump,President ,,R,Tallahatchie,Paynes,143
Don Blankenship,President ,,AC,Tallahatchie,Paynes,0
Brian Carroll,President ,,AS,Tallahatchie,Paynes,0
Phil Collins,President ,,IND,Tallahatchie,Paynes,0
Howie Hawkins,President ,,G,Tallahatchie,Paynes,0
Jo Jorgensen ,President ,,L,Tallahatchie,Paynes,1
Brock Pierce,President ,,IND,Tallahatchie,Paynes,0
Kanye West,President ,,IND,Tallahatchie,Paynes,0
Mike Espy,US Senate,,D,Tallahatchie,Paynes,31
Cindy Hyde-Smith,US Senate,,R,Tallahatchie,Paynes,131
Jimmy L Edwards,US Senate,,L,Tallahatchie,Paynes,2
Brian Flowers,U S House,2,R,Tallahatchie,Paynes,118
Bennie G Thompson,U S House,2,D,Tallahatchie,Paynes,43
Joseph R Biden,President ,,D,Tallahatchie,Phillip,98
Donald J Trump,President ,,R,Tallahatchie,Phillip,55
Don Blankenship,President ,,AC,Tallahatchie,Phillip,1
Brian Carroll,President ,,AS,Tallahatchie,Phillip,0
Phil Collins,President ,,IND,Tallahatchie,Phillip,1
Howie Hawkins,President ,,G,Tallahatchie,Phillip,1
