county,office,district,candidate,party,votes
Adams,President,,Joseph R. Biden Jr.,Democrat,7917
Alcorn,President,,Joseph R. Biden Jr.,Democrat,2782
Amite,President,,Joseph R. Biden Jr.,Democrat,2620
Attala,President,,Joseph R. Biden Jr.,Democrat,3542
Benton,President,,Joseph R. Biden Jr.,Democrat,1679
Bolivar,President,,Joseph R. Biden Jr.,Democrat,8904
Calhoun,President,,Joseph R. Biden Jr.,Democrat,1902
Carroll,President,,Joseph R. Biden Jr.,Democrat,1729
Chickasaw,President,,Joseph R. Biden Jr.,Democrat,3810
Choctaw,President,,Joseph R. Biden Jr.,Democrat,1185
Claiborne,President,,Joseph R. Biden Jr.,Democrat,3772
Clarke,President,,Joseph R. Biden Jr.,Democrat,2838
Clay,President,,Joseph R. Biden Jr.,Democrat,5844
Coahoma,President,,Joseph R. Biden Jr.,Democrat,6020
Copiah,President,,Joseph R. Biden Jr.,Democrat,6470
Covington,President,,Joseph R. Biden Jr.,Democrat,3416
DeSoto,President,,Joseph R. Biden Jr.,Democrat,28265
Forrest,President,,Joseph R. Biden Jr.,Democrat,13755
Franklin,President,,Joseph R. Biden Jr.,Democrat,1480
George,President,,Joseph R. Biden Jr.,Democrat,1218
Greene,President,,Joseph R. Biden Jr.,Democrat,966
Grenada,President,,Joseph R. Biden Jr.,Democrat,4734
Hancock,President,,Joseph R. Biden Jr.,Democrat,4504
Harrison,President,,Joseph R. Biden Jr.,Democrat,27728
Hinds,President,,Joseph R. Biden Jr.,Democrat,73550
Holmes,President,,Joseph R. Biden Jr.,Democrat,6588
Humphreys,President,,Joseph R. Biden Jr.,Democrat,3016
Issaquena,President,,Joseph R. Biden Jr.,Democrat,355
Itawamba,President,,Joseph R. Biden Jr.,Democrat,1249
Jackson,President,,Joseph R. Biden Jr.,Democrat,17375
Jasper,President,,Joseph R. Biden Jr.,Democrat,4341
Jeff Davis,President,,Joseph R. Biden Jr.,Democrat,3599
Jefferson,President,,Joseph R. Biden Jr.,Democrat,3327
Jones,President,,Joseph R. Biden Jr.,Democrat,8517
Kemper,President,,Joseph R. Biden Jr.,Democrat,2887
Lafayette,President,,Joseph R. Biden Jr.,Democrat,10070
Lamar,President,,Joseph R. Biden Jr.,Democrat,7340
Lauderdale,President,,Joseph R. Biden Jr.,Democrat,12960
Lawrence,President,,Joseph R. Biden Jr.,Democrat,2260
Leake,President,,Joseph R. Biden Jr.,Democrat,3897
Lee,President,,Joseph R. Biden Jr.,Democrat,12189
Leflore,President,,Joseph R. Biden Jr.,Democrat,7648
Lincoln,President,,Joseph R. Biden Jr.,Democrat,5040
Lowndes,President,,Joseph R. Biden Jr.,Democrat,13087
Madison,President,,Joseph R. Biden Jr.,Democrat,24440
Marion,President,,Joseph R. Biden Jr.,Democrat,3787
Marshall,President,,Joseph R. Biden Jr.,Democrat,8057
Monroe,President,,Joseph R. Biden Jr.,Democrat,5874
Montgomery,President,,Joseph R. Biden Jr.,Democrat,2121
Neshoba,President,,Joseph R. Biden Jr.,Democrat,3260
Newton,President,,Joseph R. Biden Jr.,Democrat,3075
Noxubee,President,,Joseph R. Biden Jr.,Democrat,4040
Oktibbeha,President,,Joseph R. Biden Jr.,Democrat,10299
Panola,President,,Joseph R. Biden Jr.,Democrat,7403
Pearl River,President,,Joseph R. Biden Jr.,Democrat,4148
Perry,President,,Joseph R. Biden Jr.,Democrat,1362
Pike,President,,Joseph R. Biden Jr.,Democrat,8646
Pontotoc,President,,Joseph R. Biden Jr.,Democrat,2614
Prentiss,President,,Joseph R. Biden Jr.,Democrat,2153
Quitman,President,,Joseph R. Biden Jr.,Democrat,2150
Rankin,President,,Joseph R. Biden Jr.,Democrat,18847
Scott,President,,Joseph R. Biden Jr.,Democrat,4330
Sharkey,President,,Joseph R. Biden Jr.,Democrat,1465
Simpson,President,,Joseph R. Biden Jr.,Democrat,4037
Smith,President,,Joseph R. Biden Jr.,Democrat,1791
Stone,President,,Joseph R. Biden Jr.,Democrat,1802
Sunflower,President,,Joseph R. Biden Jr.,Democrat,6781
Tallahatchie,President,,Joseph R. Biden Jr.,Democrat,3105
