candidate,office,district,party,county,precinct,votes
Joseph R. Biden,President,,D,Chickasaw,Anchor 001,143
Donald J. Trump,President,,R,Chickasaw,Anchor 001,511
Don Blankenship,President,,AC,Chickasaw,Anchor 001,1
Brian Carroll,President,,AS,Chickasaw,Anchor 001,0
Phil Collins,President,,IND,Chickasaw,Anchor 001,1
Howie Hawkins,President,,G,Chickasaw,Anchor 001,1
Jo Jorgensen,President,,L,Chickasaw,Anchor 001,5
Brock Pierce,President,,IND,Chickasaw,Anchor 001,0
Kanye West,President,,IND,Chickasaw,Anchor 001,1
Mike Espy,U.S. Senate,,D,Chickasaw,Anchor 001,166
Cindy Hyde-Smith,U.S. Senate,,R,Chickasaw,Anchor 001,489
Jimmy L Edwards,U.S. Senate,,L,Chickasaw,Anchor 001,8
Antonia Ellason,U.S. House,1,D,Chickasaw,Anchor 001,126
Trent Kelly,U.S. House,1,R,Chickasaw,Anchor 001,520
Joseph R. Biden,President,,D,Chickasaw,Buena Vista 002,386
Donald J. Trump,President,,R,Chickasaw,Buena Vista 002,110
Don Blankenship,President,,AC,Chickasaw,Buena Vista 002,0
Brian Carroll,President,,AS,Chickasaw,Buena Vista 002,1
Phil Collins,President,,IND,Chickasaw,Buena Vista 002,1
Howie Hawkins,President,,G,Chickasaw,Buena Vista 002,1
Jo Jorgensen,President,,L,Chickasaw,Buena Vista 002,7
Brock Pierce,President,,IND,Chickasaw,Buena Vista 002,0
Kanye West,President,,IND,Chickasaw,Buena Vista 002,5
Mike Espy,U.S. Senate,,D,Chickasaw,Buena Vista 002,411
Cindy Hyde-Smith,U.S. Senate,,R,Chickasaw,Buena Vista 002,93
Jimmy L Edwards,U.S. Senate,,L,Chickasaw,Buena Vista 002,7
Antonia Ellason,U.S. House,1,D,Chickasaw,Buena Vista 002,345
Trent Kelly,U.S. House,1,R,Chickasaw,Buena Vista 002,149
Joseph R. Biden,President,,D,Chickasaw,East Okolona 004,667
Donald J. Trump,President,,R,Chickasaw,East Okolona 004,74
Don Blankenship,President,,AC,Chickasaw,East Okolona 004,2
Brian Carroll,President,,AS,Chickasaw,East Okolona 004,1
Phil Collins,President,,IND,Chickasaw,East Okolona 004,2
Howie Hawkins,President,,G,Chickasaw,East Okolona 004,0
Jo Jorgensen,President,,L,Chickasaw,East Okolona 004,7
Brock Pierce,President,,IND,Chickasaw,East Okolona 004,0
Kanye West,President,,IND,Chickasaw,East Okolona 004,6
Mike Espy,U.S. Senate,,D,Chickasaw,East Okolona 004,689
Cindy Hyde-Smith,U.S. Senate,,R,Chickasaw,East Okolona 004,70
Jimmy L Edwards,U.S. Senate,,L,Chickasaw,East Okolona 004,2
Antonia Ellason,U.S. House,1,D,Chickasaw,East Okolona 004,592
Trent Kelly,U.S. House,1,R,Chickasaw,East Okolona 004,119
Joseph R. Biden,President,,D,Chickasaw,Egypt 003,225
Donald J. Trump,President,,R,Chickasaw,Egypt 003,126
Don Blankenship,President,,AC,Chickasaw,Egypt 003,2
Brian Carroll,President,,AS,Chickasaw,Egypt 003,0
Phil Collins,President,,IND,Chickasaw,Egypt 003,0
Howie Hawkins,President,,G,Chickasaw,Egypt 003,0
Jo Jorgensen,President,,L,Chickasaw,Egypt 003,2
Brock Pierce,President,,IND,Chickasaw,Egypt 003,0
Kanye West,President,,IND,Chickasaw,Egypt 003,0
Mike Espy,U.S. Senate,,D,Chickasaw,Egypt 003,236
Cindy Hyde-Smith,U.S. Senate,,R,Chickasaw,Egypt 003,115
Jimmy L Edwards,U.S. Senate,,L,Chickasaw,Egypt 003,2
Antonia Ellason,U.S. House,1,D,Chickasaw,Egypt 003,203
