candidate ,office,district,party ,county ,precinct,votes,
Joseph R. Biden,President,,Democrat,Carroll,430 School,81,
Michael R. Bloomberg,President,,Democrat,Carroll,430 School,4,
Pete Buttigieg,President,,Democrat,Carroll,430 School,0,
Tulsi Gabbard,President,,Democrat,Carroll,430 School,1,
Amy Klobuchar,President,,Democrat,Carroll,430 School,0,
Deval Patrick,President,,Democrat,Carroll,430 School,0,
Bernie Sanders,President,,Democrat,Carroll,430 School,15,
Tom Steyer,President,,Democrat,Carroll,430 School,0,
Elizabeth Warren,President,,Democrat,Carroll,430 School,0,
Andrew Yang,President,,Democrat,Carroll,430 School,0,
Tobey Bernard Bartee,U.S. Senate,,Democrat,Carroll,430 School,1,
Jensen Bohren,U.S. Senate,,Democrat,Carroll,430 School,5,
Mike Espy,U.S. Senate,,Democrat,Carroll,430 School,93,
Sonia Rathburn,U.S. House,2,Democrat,Carroll,430 School,9,
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,430 School,90,
Joseph R. Biden,President,,Democrat,Carroll,Black Hawk,35,
Michael R. Bloomberg,President,,Democrat,Carroll,Black Hawk,3,
Pete Buttigieg,President,,Democrat,Carroll,Black Hawk,0,
Tulsi Gabbard,President,,Democrat,Carroll,Black Hawk,0,
Amy Klobuchar,President,,Democrat,Carroll,Black Hawk,0,
Deval Patrick,President,,Democrat,Carroll,Black Hawk,0,
Bernie Sanders,President,,Democrat,Carroll,Black Hawk,5,
Tom Steyer,President,,Democrat,Carroll,Black Hawk,0,
Elizabeth Warren,President,,Democrat,Carroll,Black Hawk,0,
Andrew Yang,President,,Democrat,Carroll,Black Hawk,0,
Tobey Bernard Bartee,U.S. Senate,,Democrat,Carroll,Black Hawk,0,
Jensen Bohren,U.S. Senate,,Democrat,Carroll,Black Hawk,2,
Mike Espy,U.S. Senate,,Democrat,Carroll,Black Hawk,42,
Sonia Rathburn,U.S. House,2,Democrat,Carroll,Black Hawk,4,
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,Black Hawk,38,
Joseph R. Biden,President,,Democrat,Carroll,Calvary,1,
Michael R. Bloomberg,President,,Democrat,Carroll,Calvary,0,
Pete Buttigieg,President,,Democrat,Carroll,Calvary,0,
Tulsi Gabbard,President,,Democrat,Carroll,Calvary,0,
Amy Klobuchar,President,,Democrat,Carroll,Calvary,0,
Deval Patrick,President,,Democrat,Carroll,Calvary,0,
Bernie Sanders,President,,Democrat,Carroll,Calvary,0,
Tom Steyer,President,,Democrat,Carroll,Calvary,0,
Elizabeth Warren,President,,Democrat,Carroll,Calvary,0,
