candidate,office,district,party,county,precinct,votes
Joseph R Biden,President ,,D,Winston ,American Legion,686
Donald J Trump,President ,,R,Winston ,American Legion,109
Don Blankenship,President ,,AC,Winston ,American Legion,0
Brian Carroll,President ,,AS,Winston ,American Legion,1
Phil Collins,President ,,IND,Winston ,American Legion,0
Howie Hawkins,President ,,G,Winston ,American Legion,1
Jo Jorgensen ,President ,,L,Winston ,American Legion,1
Brock Pierce,President ,,IND,Winston ,American Legion,2
Kanye West,President ,,IND,Winston ,American Legion,3
Mike Espy,US Senate,,D,Winston ,American Legion,715
Cindy Hyde-Smith,US Senate,,R,Winston ,American Legion,96
Jimmy L Edwards,US Senate,,L,Winston ,American Legion,6
Antonia Eliason,U S House,1,D,Winston ,American Legion,666
Trent Kelly,U S House,1,R,Winston ,American Legion,139
Joseph R Biden,President ,,D,Winston ,County Agent,726
Donald J Trump,President ,,R,Winston ,County Agent,171
Don Blankenship,President ,,AC,Winston ,County Agent,0
Brian Carroll,President ,,AS,Winston ,County Agent,0
Phil Collins,President ,,IND,Winston ,County Agent,2
Howie Hawkins,President ,,G,Winston ,County Agent,2
Jo Jorgensen ,President ,,L,Winston ,County Agent,3
Brock Pierce,President ,,IND,Winston ,County Agent,1
Kanye West,President ,,IND,Winston ,County Agent,6
Mike Espy,US Senate,,D,Winston ,County Agent,761
Cindy Hyde-Smith,US Senate,,R,Winston ,County Agent,153
Jimmy L Edwards,US Senate,,L,Winston ,County Agent,5
Antonia Eliason,U S House,1,D,Winston ,County Agent,715
Trent Kelly,U S House,1,R,Winston ,County Agent,189
Joseph R Biden,President ,,D,Winston ,East Winston,156
Donald J Trump,President ,,R,Winston ,East Winston,441
Don Blankenship,President ,,AC,Winston ,East Winston,0
Brian Carroll,President ,,AS,Winston ,East Winston,0
Phil Collins,President ,,IND,Winston ,East Winston,0
Howie Hawkins,President ,,G,Winston ,East Winston,0
Jo Jorgensen ,President ,,L,Winston ,East Winston,5
Brock Pierce,President ,,IND,Winston ,East Winston,0
Kanye West,President ,,IND,Winston ,East Winston,1
Mike Espy,US Senate,,D,Winston ,East Winston,174
Cindy Hyde-Smith,US Senate,,R,Winston ,East Winston,423
Jimmy L Edwards,US Senate,,L,Winston ,East Winston,8
Antonia Eliason,U S House,1,D,Winston ,East Winston,149
Trent Kelly,U S House,1,R,Winston ,East Winston,450
Joseph R Biden,President ,,D,Winston ,Fairground,627
Donald J Trump,President ,,R,Winston ,Fairground,1023
Don Blankenship,President ,,AC,Winston ,Fairground,1
Brian Carroll,President ,,AS,Winston ,Fairground,0
Phil Collins,President ,,IND,Winston ,Fairground,0
Howie Hawkins,President ,,G,Winston ,Fairground,0
Jo Jorgensen ,President ,,L,Winston ,Fairground,7
