candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Newton,Chunky,24,,2
Donald J. Trump,President,,Republican,Newton,Chunky,370,,2
Darrell Castle,President,,Constitution,Newton,Chunky,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Newton,Chunky,2,,2
Jim Hedges,President,,Prohibition,Newton,Chunky,0,,2
Gary Johnson,President,,Libertarian,Newton,Chunky,4,,2
Jill Stein,President,,Green,Newton,Chunky,0,,2
Gregg Harper,U.S. House,3,Republican,Newton,Chunky,357,,2
Dennis C. Quinn,U.S. House,3,Democrat,Newton,Chunky,13,,2
Roger I. Gerrard,U.S. House,3,Veterans,Newton,Chunky,22,,2
Lajena Sheets,U.S. House,3,Reform,Newton,Chunky,3,,2
Hillary Clinton,President,,Democrat,Newton,Conehatta,128,,2
Donald J. Trump,President,,Republican,Newton,Conehatta,284,,2
Darrell Castle,President,,Constitution,Newton,Conehatta,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Newton,Conehatta,1,,2
Jim Hedges,President,,Prohibition,Newton,Conehatta,0,,2
Gary Johnson,President,,Libertarian,Newton,Conehatta,0,,2
Jill Stein,President,,Green,Newton,Conehatta,3,,2
Gregg Harper,U.S. House,3,Republican,Newton,Conehatta,318,,2
Dennis C. Quinn,U.S. House,3,Democrat,Newton,Conehatta,71,,2
Roger I. Gerrard,U.S. House,3,Veterans,Newton,Conehatta,16,,2
Lajena Sheets,U.S. House,3,Reform,Newton,Conehatta,2,,2
Hillary Clinton,President,,Democrat,Newton,Decatur # 1,176,,2
Donald J. Trump,President,,Republican,Newton,Decatur # 1,399,,2
Darrell Castle,President,,Constitution,Newton,Decatur # 1,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Newton,Decatur # 1,1,,2
Jim Hedges,President,,Prohibition,Newton,Decatur # 1,2,,2
Gary Johnson,President,,Libertarian,Newton,Decatur # 1,2,,2
Jill Stein,President,,Green,Newton,Decatur # 1,1,,2
Gregg Harper,U.S. House,3,Republican,Newton,Decatur # 1,406,,2
Dennis C. Quinn,U.S. House,3,Democrat,Newton,Decatur # 1,142,,2
Roger I. Gerrard,U.S. House,3,Veterans,Newton,Decatur # 1,16,,2
Lajena Sheets,U.S. House,3,Reform,Newton,Decatur # 1,5,,2
Hillary Clinton,President,,Democrat,Newton,Decatur 2,73,,2
Donald J. Trump,President,,Republican,Newton,Decatur 2,368,,2
Darrell Castle,President,,Constitution,Newton,Decatur 2,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Newton,Decatur 2,0,,2
Jim Hedges,President,,Prohibition,Newton,Decatur 2,0,,2
Gary Johnson,President,,Libertarian,Newton,Decatur 2,6,,2
Jill Stein,President,,Green,Newton,Decatur 2,1,,2
Gregg Harper,U.S. House,3,Republican,Newton,Decatur 2,391,,2
Dennis C. Quinn,U.S. House,3,Democrat,Newton,Decatur 2,46,,2
Roger I. Gerrard,U.S. House,3,Veterans,Newton,Decatur 2,10,,2
Lajena Sheets,U.S. House,3,Reform,Newton,Decatur 2,1,,2
Hillary Clinton,President,,Democrat,Newton,duffee,35,,2
Donald J. Trump,President,,Republican,Newton,duffee,473,,2
Darrell Castle,President,,Constitution,Newton,duffee,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Newton,duffee,0,,2
Jim Hedges,President,,Prohibition,Newton,duffee,1,,2
Gary Johnson,President,,Libertarian,Newton,duffee,3,,2
Jill Stein,President,,Green,Newton,duffee,3,,2
Gregg Harper,U.S. House,3,Republican,Newton,duffee,468,,2
Dennis C. Quinn,U.S. House,3,Democrat,Newton,duffee,25,,2
Roger I. Gerrard,U.S. House,3,Veterans,Newton,duffee,12,,2
Lajena Sheets,U.S. House,3,Reform,Newton,duffee,1,,2
Hillary Clinton,President,,Democrat,Newton,Hickory,292,,2
Donald J. Trump,President,,Republican,Newton,Hickory,818,,2
Darrell Castle,President,,Constitution,Newton,Hickory,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Newton,Hickory,0,,2
Jim Hedges,President,,Prohibition,Newton,Hickory,0,,2
Gary Johnson,President,,Libertarian,Newton,Hickory,9,,2
Jill Stein,President,,Green,Newton,Hickory,1,,2
Gregg Harper,U.S. House,3,Republican,Newton,Hickory,823,,2
Dennis C. Quinn,U.S. House,3,Democrat,Newton,Hickory,248,,2
