candidate,office,district,party,county,precinct,votes,winner,page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Alphaba-cockrum,79,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Alphaba-cockrum,720,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Alphaba-cockrum,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Alphaba-cockrum,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Alphaba-cockrum,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Alphaba-cockrum,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Alphaba-cockrum,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Alphaba-cockrum,711,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Alphaba-cockrum,62,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Alphaba-cockrum,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Alphaba-cockrum,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Beaker's Chapel,95,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Beaker's Chapel,498,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Beaker's Chapel,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Beaker's Chapel,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Beaker's Chapel,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Beaker's Chapel,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Beaker's Chapel,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Beaker's Chapel,486,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Beaker's Chapel,85,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Beaker's Chapel,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Beaker's Chapel,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Bridgestown,295,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Bridgestown,1523,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Bridgestown,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Bridgestown,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Bridgestown,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Bridgestown,32,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Bridgestown,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Bridgestown,1478,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Bridgestown,253,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Bridgestown,22,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Bridgestown,46,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Colonial Hills,167,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Colonial Hills,550,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Colonial Hills,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Colonial Hills,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Colonial Hills,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Colonial Hills,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Colonial Hills,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Colonial Hills,507,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Colonial Hills,139,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Colonial Hills,23,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Colonial Hills,30,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Cumberland,720,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Cumberland,699,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Cumberland,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Cumberland,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Cumberland,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Cumberland,22,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Cumberland,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Cumberland,705,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Cumberland,649,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Cumberland,25,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Cumberland,44,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Desoto Central,572,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Desoto Central,1576,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Desoto Central,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Desoto Central,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Desoto Central,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Desoto Central,54,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
