candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Carroll,430 School,168,,2
Donald J. Trump,President,,Republican,Carroll,430 School,89,,2
Darrell Castle,President,,Constitution,Carroll,430 School,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Carroll,430 School,1,,2
Jim Hedges,President,,Prohibition,Carroll,430 School,0,,2
Gary Johnson,President,,Libertarian,Carroll,430 School,0,,2
Jill Stein,President,,Green,Carroll,430 School,0,,2
John Bouie ii,U.S.House,2,Republican,Carroll,430 School,75,,2
Bennie G. Thompson,U.S.House,2,Democrat,Carroll,430 School,176,,2
Johnny McLeod,U.S.House,2,Reform,Carroll,430 School,0,,2
Troy Ray,U.S.House,2,Independent,Carroll,430 School,7,,2
Hillary Clinton,President,,Democrat,Carroll,Black Hawk,67,,2
Donald J. Trump,President,,Republican,Carroll,Black Hawk,198,,2
Darrell Castle,President,,Constitution,Carroll,Black Hawk,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Carroll,Black Hawk,0,,2
Jim Hedges,President,,Prohibition,Carroll,Black Hawk,1,,2
Gary Johnson,President,,Libertarian,Carroll,Black Hawk,1,,2
Jill Stein,President,,Green,Carroll,Black Hawk,1,,2
John Bouie ii,U.S.House,2,Republican,Carroll,Black Hawk,151,,2
Bennie G. Thompson,U.S.House,2,Democrat,Carroll,Black Hawk,86,,2
Johnny McLeod,U.S.House,2,Reform,Carroll,Black Hawk,5,,2
Troy Ray,U.S.House,2,Independent,Carroll,Black Hawk,18,,2
Hillary Clinton,President,,Democrat,Carroll,Calvary,3,,2
Donald J. Trump,President,,Republican,Carroll,Calvary,161,,2
Darrell Castle,President,,Constitution,Carroll,Calvary,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Carroll,Calvary,0,,2
Jim Hedges,President,,Prohibition,Carroll,Calvary,0,,2
Gary Johnson,President,,Libertarian,Carroll,Calvary,0,,2
Jill Stein,President,,Green,Carroll,Calvary,0,,2
John Bouie ii,U.S.House,2,Republican,Carroll,Calvary,126,,2
Bennie G. Thompson,U.S.House,2,Democrat,Carroll,Calvary,17,,2
Johnny McLeod,U.S.House,2,Reform,Carroll,Calvary,1,,2
Troy Ray,U.S.House,2,Independent,Carroll,Calvary,13,,2
Hillary Clinton,President,,Democrat,Carroll,Carrollton,58,,2
Donald J. Trump,President,,Republican,Carroll,Carrollton,306,,2
Darrell Castle,President,,Constitution,Carroll,Carrollton,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Carroll,Carrollton,0,,2
Jim Hedges,President,,Prohibition,Carroll,Carrollton,0,,2
Gary Johnson,President,,Libertarian,Carroll,Carrollton,4,,2
Jill Stein,President,,Green,Carroll,Carrollton,0,,2
John Bouie ii,U.S.House,2,Republican,Carroll,Carrollton,245,,2
Bennie G. Thompson,U.S.House,2,Democrat,Carroll,Carrollton,74,,2
Johnny McLeod,U.S.House,2,Reform,Carroll,Carrollton,12,,2
Troy Ray,U.S.House,2,Independent,Carroll,Carrollton,28,,2
Hillary Clinton,President,,Democrat,Carroll,East Valden,268,,2
Donald J. Trump,President,,Republican,Carroll,East Valden,305,,2
Darrell Castle,President,,Constitution,Carroll,East Valden,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Carroll,East Valden,0,,2
Jim Hedges,President,,Prohibition,Carroll,East Valden,0,,2
Gary Johnson,President,,Libertarian,Carroll,East Valden,4,,2
Jill Stein,President,,Green,Carroll,East Valden,2,,2
John Bouie ii,U.S.House,2,Republican,Carroll,East Valden,204,,2
Bennie G. Thompson,U.S.House,2,Democrat,Carroll,East Valden,310,,2
Johnny McLeod,U.S.House,2,Reform,Carroll,East Valden,8,,2
Troy Ray,U.S.House,2,Independent,Carroll,East Valden,50,,2
Hillary Clinton,President,,Democrat,Carroll,Fire Tower,437,,2
Donald J. Trump,President,,Republican,Carroll,Fire Tower,219,,2
Darrell Castle,President,,Constitution,Carroll,Fire Tower,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Carroll,Fire Tower,0,,2
Jim Hedges,President,,Prohibition,Carroll,Fire Tower,1,,2
Gary Johnson,President,,Libertarian,Carroll,Fire Tower,6,,2
Jill Stein,President,,Green,Carroll,Fire Tower,2,,2
John Bouie ii,U.S.House,2,Republican,Carroll,Fire Tower,181,,2
Bennie G. Thompson,U.S.House,2,Democrat,Carroll,Fire Tower,464,,2
Johnny McLeod,U.S.House,2,Reform,Carroll,Fire Tower,5,,2
Troy Ray,U.S.House,2,Independent,Carroll,Fire Tower,13,,2
Hillary Clinton,President,,Democrat,Carroll,Gravel Hill,42,,2
Donald J. Trump,President,,Republican,Carroll,Gravel Hill,429,,2
Darrell Castle,President,,Constitution,Carroll,Gravel Hill,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Carroll,Gravel Hill,0,,2
Jim Hedges,President,,Prohibition,Carroll,Gravel Hill,0,,2
Gary Johnson,President,,Libertarian,Carroll,Gravel Hill,3,,2
Jill Stein,President,,Green,Carroll,Gravel Hill,0,,2
John Bouie ii,U.S.House,2,Republican,Carroll,Gravel Hill,342,,2
Bennie G. Thompson,U.S.House,2,Democrat,Carroll,Gravel Hill,75,,2
