candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,George,Rocky Creek,65,,2
Donald J. Trump,President,,Republican,George,Rocky Creek,1109,,2
Darrell Castle,President,,Constitution,George,Rocky Creek,6,,2
Rocky' Roque De La Fuente,President,,American Delta,George,Rocky Creek,2,,2
Jim Hedges,President,,Prohibition,George,Rocky Creek,1,,2
Gary Johnson,President,,Libertarian,George,Rocky Creek,10,,2
Jill Stein,President,,Green,George,Rocky Creek,1,,2
Mark Gladney,U.S.House,4,Democrat,George,Rocky Creek,68,,2
Steven Palazzo,U.S.House,4,Republican,George,Rocky Creek,1049,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,George,Rocky Creek,49,,2
Shawn O'Hara,U.S.House,4,Reform,George,Rocky Creek,13,,2
Hillary Clinton,President,,Democrat,George,Multi Mart,14,,2
Donald J. Trump,President,,Republican,George,Multi Mart,246,,2
Darrell Castle,President,,Constitution,George,Multi Mart,0,,2
Rocky' Roque De La Fuente,President,,American Delta,George,Multi Mart,1,,2
Jim Hedges,President,,Prohibition,George,Multi Mart,0,,2
Gary Johnson,President,,Libertarian,George,Multi Mart,3,,2
Jill Stein,President,,Green,George,Multi Mart,2,,2
Mark Gladney,U.S.House,4,Democrat,George,Multi Mart,16,,2
Steven Palazzo,U.S.House,4,Republican,George,Multi Mart,227,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,George,Multi Mart,13,,2
Shawn O'Hara,U.S.House,4,Reform,George,Multi Mart,5,,2
Hillary Clinton,President,,Democrat,George,Ward,14,,2
Donald J. Trump,President,,Republican,George,Ward,277,,2
Darrell Castle,President,,Constitution,George,Ward,2,,2
Rocky' Roque De La Fuente,President,,American Delta,George,Ward,0,,2
Jim Hedges,President,,Prohibition,George,Ward,0,,2
Gary Johnson,President,,Libertarian,George,Ward,2,,2
Jill Stein,President,,Green,George,Ward,1,,2
Mark Gladney,U.S.House,4,Democrat,George,Ward,10,,2
Steven Palazzo,U.S.House,4,Republican,George,Ward,264,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,George,Ward,9,,2
Shawn O'Hara,U.S.House,4,Reform,George,Ward,3,,2
Hillary Clinton,President,,Democrat,George,Shipman,21,,2
Donald J. Trump,President,,Republican,George,Shipman,279,,2
Darrell Castle,President,,Constitution,George,Shipman,3,,2
Rocky' Roque De La Fuente,President,,American Delta,George,Shipman,0,,2
Jim Hedges,President,,Prohibition,George,Shipman,0,,2
Gary Johnson,President,,Libertarian,George,Shipman,3,,2
Jill Stein,President,,Green,George,Shipman,2,,2
Mark Gladney,U.S.House,4,Democrat,George,Shipman,24,,2
Steven Palazzo,U.S.House,4,Republican,George,Shipman,261,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,George,Shipman,10,,2
Shawn O'Hara,U.S.House,4,Reform,George,Shipman,4,,2
Hillary Clinton,President,,Democrat,George,Courthouse,27,,2
Donald J. Trump,President,,Republican,George,Courthouse,208,,2
Darrell Castle,President,,Constitution,George,Courthouse,0,,2
Rocky' Roque De La Fuente,President,,American Delta,George,Courthouse,0,,2
Jim Hedges,President,,Prohibition,George,Courthouse,0,,2
Gary Johnson,President,,Libertarian,George,Courthouse,6,,2
Jill Stein,President,,Green,George,Courthouse,2,,2
Mark Gladney,U.S.House,4,Democrat,George,Courthouse,26,,2
Steven Palazzo,U.S.House,4,Republican,George,Courthouse,190,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,George,Courthouse,11,,2
Shawn O'Hara,U.S.House,4,Reform,George,Courthouse,8,,2
Hillary Clinton,President,,Democrat,George,Pine Level,19,,2
Donald J. Trump,President,,Republican,George,Pine Level,361,,2
Darrell Castle,President,,Constitution,George,Pine Level,2,,2
Rocky' Roque De La Fuente,President,,American Delta,George,Pine Level,0,,2
Jim Hedges,President,,Prohibition,George,Pine Level,0,,2
Gary Johnson,President,,Libertarian,George,Pine Level,4,,2
Jill Stein,President,,Green,George,Pine Level,0,,2
Mark Gladney,U.S.House,4,Democrat,George,Pine Level,22,,2
