page,candidate,office,district,party,county,precinct,votes,winner,,
3,Jeb Bush,President,,Republican,Hinds,Clinton 5,1,,,
3,Ben Carson,President,,Republican,Hinds,Clinton 5,7,,,
3,Chris Christie,President,,Republican,Hinds,Clinton 5,2,,,
3,Ted Cruz,President,,Republican,Hinds,Clinton 5,133,,,
3,Carly Florina,President,,Republican,Hinds,Clinton 5,0,,,
3,Lindsey Graham,President,,Republican,Hinds,Clinton 5,0,,,
3,Mike Huckabee,President,,Republican,Hinds,Clinton 5,1,,,
3,John R. Kaisch,President,,Republican,Hinds,Clinton 5,56,,,
3,George Pataki,President,,Republican,Hinds,Clinton 5,0,,,
3,Rand Paul,President,,Republican,Hinds,Clinton 5,1,,,
3,Marco Rubio,President,,Republican,Hinds,Clinton 5,39,,,
3,Rick Santorum,President,,Republican,Hinds,Clinton 5,0,,,
3,Donald J. Trump,President,,Republican,Hinds,Clinton 5,146,,,
3,Hillary Clinton,President,,Democrat,Hinds,Clinton 5,84,,,
3,"Roque ""Rocky"" De Le Fuente",President,,Democrat,Hinds,Clinton 5,0,,,
3,Martin O'Mailey,President,,Democrat,Hinds,Clinton 5,1,,,
3,Bernie Sanders,President,,Democrat,Hinds,Clinton 5,26,,,
3,Willie Wilson,President,,Democrat,Hinds,Clinton 5,0,,,
3,Jimmy Giles,U.S. House,3,Republican,Hinds,Clinton 5,X,,,
3,Greg Harper,U.S. House,3,Republican,Hinds,Clinton 5,X,,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Hinds,Clinton 5,103,,,
3,Dennis C. Quinn,U.S. House,3,Democrat,Hinds,Clinton 5,X,,,
3,Nathan Stewart,U.S. House,3,Democrat,Hinds,Clinton 5,X,,,
3,Jeb Bush,President,,Republican,Hinds,Clinton 6,3,,,
3,Ben Carson,President,,Republican,Hinds,Clinton 6,1,,,
3,Chris Christie,President,,Republican,Hinds,Clinton 6,0,,,
3,Ted Cruz,President,,Republican,Hinds,Clinton 6,160,,,
3,Carly Florina,President,,Republican,Hinds,Clinton 6,0,,,
3,Lindsey Graham,President,,Republican,Hinds,Clinton 6,0,,,
3,Mike Huckabee,President,,Republican,Hinds,Clinton 6,0,,,
3,John R. Kaisch,President,,Republican,Hinds,Clinton 6,38,,,
3,George Pataki,President,,Republican,Hinds,Clinton 6,0,,,
3,Rand Paul,President,,Republican,Hinds,Clinton 6,2,,,
3,Marco Rubio,President,,Republican,Hinds,Clinton 6,28,,,
3,Rick Santorum,President,,Republican,Hinds,Clinton 6,1,,,
3,Donald J. Trump,President,,Republican,Hinds,Clinton 6,131,,,
3,Hillary Clinton,President,,Democrat,Hinds,Clinton 6,250,,,
3,"Roque ""Rocky"" De Le Fuente",President,,Democrat,Hinds,Clinton 6,0,,,
3,Martin O'Mailey,President,,Democrat,Hinds,Clinton 6,0,,,
3,Bernie Sanders,President,,Democrat,Hinds,Clinton 6,70,,,
3,Willie Wilson,President,,Democrat,Hinds,Clinton 6,3,,,
3,Jimmy Giles,U.S. House,3,Republican,Hinds,Clinton 6,X,,,
3,Greg Harper,U.S. House,3,Republican,Hinds,Clinton 6,X,,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Hinds,Clinton 6,310,,,
3,Dennis C. Quinn,U.S. House,3,Democrat,Hinds,Clinton 6,X,,,
3,Nathan Stewart,U.S. House,3,Democrat,Hinds,Clinton 6,X,,,
3,Jeb Bush,President,,Republican,Hinds,Clinton 7,4,,,
3,Ben Carson,President,,Republican,Hinds,Clinton 7,6,,,
3,Chris Christie,President,,Republican,Hinds,Clinton 7,0,,,
3,Ted Cruz,President,,Republican,Hinds,Clinton 7,237,,,
3,Carly Florina,President,,Republican,Hinds,Clinton 7,0,,,
3,Lindsey Graham,President,,Republican,Hinds,Clinton 7,0,,,
3,Mike Huckabee,President,,Republican,Hinds,Clinton 7,1,,,
3,John R. Kaisch,President,,Republican,Hinds,Clinton 7,71,,,
