candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Jackson,American Legion,70,,2
Donald J. Trump,President,,Republican,Jackson,American Legion,302,,2
Darrell Castle,President,,Constitution,Jackson,American Legion,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Jackson,American Legion,0,,2
Jim Hedges,President,,Prohibition,Jackson,American Legion,1,,2
Gary Johnson,President,,Libertarian,Jackson,American Legion,6,,2
Jill Stein,President,,Green,Jackson,American Legion,0,,2
Mark Gladney,U.S.House,4,Democrat,Jackson,American Legion,67,,2
Steven Palazzo,U.S.House,4,Republican,Jackson,American Legion,276,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,American Legion,24,,2
Shawn O'Hara,U.S.House,4,Reform,Jackson,American Legion,4,,2
Hillary Clinton,President,,Democrat,Jackson,Big Point,85,,2
Donald J. Trump,President,,Republican,Jackson,Big Point,1491,,2
Darrell Castle,President,,Constitution,Jackson,Big Point,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Jackson,Big Point,0,,2
Jim Hedges,President,,Prohibition,Jackson,Big Point,0,,2
Gary Johnson,President,,Libertarian,Jackson,Big Point,18,,2
Jill Stein,President,,Green,Jackson,Big Point,3,,2
Mark Gladney,U.S.House,4,Democrat,Jackson,Big Point,97,,2
Steven Palazzo,U.S.House,4,Republican,Jackson,Big Point,1382,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,Big Point,79,,2
Shawn O'Hara,U.S.House,4,Reform,Jackson,Big Point,23,,2
Hillary Clinton,President,,Democrat,Jackson,Carterville,3,,2
Donald J. Trump,President,,Republican,Jackson,Carterville,114,,2
Darrell Castle,President,,Constitution,Jackson,Carterville,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Jackson,Carterville,0,,2
Jim Hedges,President,,Prohibition,Jackson,Carterville,0,,2
Gary Johnson,President,,Libertarian,Jackson,Carterville,4,,2
Jill Stein,President,,Green,Jackson,Carterville,0,,2
Mark Gladney,U.S.House,4,Democrat,Jackson,Carterville,6,,2
Steven Palazzo,U.S.House,4,Republican,Jackson,Carterville,99,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,Carterville,11,,2
Shawn O'Hara,U.S.House,4,Reform,Jackson,Carterville,3,,2
Hillary Clinton,President,,Democrat,Jackson,East Central,319,,2
Donald J. Trump,President,,Republican,Jackson,East Central,3832,,2
Darrell Castle,President,,Constitution,Jackson,East Central,6,,2
Rocky' Roque De La Fuente,President,,American Delta,Jackson,East Central,2,,2
Jim Hedges,President,,Prohibition,Jackson,East Central,1,,2
Gary Johnson,President,,Libertarian,Jackson,East Central,42,,2
Jill Stein,President,,Green,Jackson,East Central,14,,2
Mark Gladney,U.S.House,4,Democrat,Jackson,East Central,341,,2
Steven Palazzo,U.S.House,4,Republican,Jackson,East Central,3633,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,East Central,151,,2
Shawn O'Hara,U.S.House,4,Reform,Jackson,East Central,51,,2
Hillary Clinton,President,,Democrat,Jackson,Eastlawn,179,,2
Donald J. Trump,President,,Republican,Jackson,Eastlawn,806,,2
Darrell Castle,President,,Constitution,Jackson,Eastlawn,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Jackson,Eastlawn,1,,2
Jim Hedges,President,,Prohibition,Jackson,Eastlawn,2,,2
Gary Johnson,President,,Libertarian,Jackson,Eastlawn,21,,2
Jill Stein,President,,Green,Jackson,Eastlawn,2,,2
Mark Gladney,U.S.House,4,Democrat,Jackson,Eastlawn,167,,2
Steven Palazzo,U.S.House,4,Republican,Jackson,Eastlawn,772,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,Eastlawn,55,,2
Shawn O'Hara,U.S.House,4,Reform,Jackson,Eastlawn,17,,2
Hillary Clinton,President,,Democrat,Jackson,Escatawpa,506,,2
Donald J. Trump,President,,Republican,Jackson,Escatawpa,1723,,2
Darrell Castle,President,,Constitution,Jackson,Escatawpa,6,,2
Rocky' Roque De La Fuente,President,,American Delta,Jackson,Escatawpa,1,,2
Jim Hedges,President,,Prohibition,Jackson,Escatawpa,0,,2
Gary Johnson,President,,Libertarian,Jackson,Escatawpa,34,,2
Jill Stein,President,,Green,Jackson,Escatawpa,3,,2
Mark Gladney,U.S.House,4,Democrat,Jackson,Escatawpa,496,,2
Steven Palazzo,U.S.House,4,Republican,Jackson,Escatawpa,1638,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,Escatawpa,90,,2
Shawn O'Hara,U.S.House,4,Reform,Jackson,Escatawpa,32,,2
Hillary Clinton,President,,Democrat,Jackson,Fair,1594,,2
Donald J. Trump,President,,Republican,Jackson,Fair,837,,2
Darrell Castle,President,,Constitution,Jackson,Fair,6,,2
Rocky' Roque De La Fuente,President,,American Delta,Jackson,Fair,1,,2
Jim Hedges,President,,Prohibition,Jackson,Fair,2,,2
Gary Johnson,President,,Libertarian,Jackson,Fair,25,,2
Jill Stein,President,,Green,Jackson,Fair,8,,2
Mark Gladney,U.S.House,4,Democrat,Jackson,Fair,1423,,2
Steven Palazzo,U.S.House,4,Republican,Jackson,Fair,892,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,Fair,76,,2
Shawn O'Hara,U.S.House,4,Reform,Jackson,Fair,28,,2
Hillary Clinton,President,,Democrat,Jackson,Fontainebleau,596,,2
Donald J. Trump,President,,Republican,Jackson,Fontainebleau,1757,,2
Darrell Castle,President,,Constitution,Jackson,Fontainebleau,8,,2
Rocky' Roque De La Fuente,President,,American Delta,Jackson,Fontainebleau,1,,2
Jim Hedges,President,,Prohibition,Jackson,Fontainebleau,1,,2
Gary Johnson,President,,Libertarian,Jackson,Fontainebleau,62,,2
Jill Stein,President,,Green,Jackson,Fontainebleau,14,,2
Mark Gladney,U.S.House,4,Democrat,Jackson,Fontainebleau,576,,2
Steven Palazzo,U.S.House,4,Republican,Jackson,Fontainebleau,1591,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,Fontainebleau,179,,2
Shawn O'Hara,U.S.House,4,Reform,Jackson,Fontainebleau,42,,2
Hillary Clinton,President,,Democrat,Jackson,Gautier,1454,,2
Donald J. Trump,President,,Republican,Jackson,Gautier,2132,,2
Darrell Castle,President,,Constitution,Jackson,Gautier,11,,2
Rocky' Roque De La Fuente,President,,American Delta,Jackson,Gautier,2,,2
Jim Hedges,President,,Prohibition,Jackson,Gautier,1,,2
Gary Johnson,President,,Libertarian,Jackson,Gautier,47,,2
Jill Stein,President,,Green,Jackson,Gautier,16,,2
Mark Gladney,U.S.House,4,Democrat,Jackson,Gautier,1352,,2
Steven Palazzo,U.S.House,4,Republican,Jackson,Gautier,1972,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,Gautier,168,,2
Shawn O'Hara,U.S.House,4,Reform,Jackson,Gautier,78,,2
Hillary Clinton,President,,Democrat,Jackson,Gulf Park Estates,452,,2
Donald J. Trump,President,,Republican,Jackson,Gulf Park Estates,1477,,2
Darrell Castle,President,,Constitution,Jackson,Gulf Park Estates,7,,2
Rocky' Roque De La Fuente,President,,American Delta,Jackson,Gulf Park Estates,2,,2
Jim Hedges,President,,Prohibition,Jackson,Gulf Park Estates,1,,2
Gary Johnson,President,,Libertarian,Jackson,Gulf Park Estates,60,,2
Jill Stein,President,,Green,Jackson,Gulf Park Estates,8,,2
Mark Gladney,U.S.House,4,Democrat,Jackson,Gulf Park Estates,453,,2
Steven Palazzo,U.S.House,4,Republican,Jackson,Gulf Park Estates,1317,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,Gulf Park Estates,160,,2
Shawn O'Hara,U.S.House,4,Reform,Jackson,Gulf Park Estates,39,,2
Hillary Clinton,President,,Democrat,Jackson,Hickory Hills,450,,2
Donald J. Trump,President,,Republican,Jackson,Hickory Hills,1058,,2
Darrell Castle,President,,Constitution,Jackson,Hickory Hills,6,,2
Rocky' Roque De La Fuente,President,,American Delta,Jackson,Hickory Hills,0,,2
Jim Hedges,President,,Prohibition,Jackson,Hickory Hills,1,,2
Gary Johnson,President,,Libertarian,Jackson,Hickory Hills,28,,2
Jill Stein,President,,Green,Jackson,Hickory Hills,8,,2
Mark Gladney,U.S.House,4,Democrat,Jackson,Hickory Hills,431,,2
Steven Palazzo,U.S.House,4,Republican,Jackson,Hickory Hills,977,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,Hickory Hills,82,,2
Shawn O'Hara,U.S.House,4,Reform,Jackson,Hickory Hills,25,,2
Hillary Clinton,President,,Democrat,Jackson,Hwy 57,16,,3
Donald J. Trump,President,,Republican,Jackson,Hwy 57,333,,3
Darrell Castle,President,,Constitution,Jackson,Hwy 57,0,,3
Rocky' Roque De La Fuente,President,,American Delta,Jackson,Hwy 57,0,,3
Jim Hedges,President,,Prohibition,Jackson,Hwy 57,0,,3
Gary Johnson,President,,Libertarian,Jackson,Hwy 57,9,,3
Jill Stein,President,,Green,Jackson,Hwy 57,1,,3
Mark Gladney,U.S.House,4,Democrat,Jackson,Hwy 57,38,,3
Steven Palazzo,U.S.House,4,Republican,Jackson,Hwy 57,285,,3
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,Hwy 57,24,,3
Shawn O'Hara,U.S.House,4,Reform,Jackson,Hwy 57,8,,3
Hillary Clinton,President,,Democrat,Jackson,Jefferson Street,1146,,3
Donald J. Trump,President,,Republican,Jackson,Jefferson Street,348,,3
Darrell Castle,President,,Constitution,Jackson,Jefferson Street,9,,3
Rocky' Roque De La Fuente,President,,American Delta,Jackson,Jefferson Street,2,,3
Jim Hedges,President,,Prohibition,Jackson,Jefferson Street,1,,3
Gary Johnson,President,,Libertarian,Jackson,Jefferson Street,12,,3
Jill Stein,President,,Green,Jackson,Jefferson Street,3,,3
Mark Gladney,U.S.House,4,Democrat,Jackson,Jefferson Street,1072,,3
Steven Palazzo,U.S.House,4,Republican,Jackson,Jefferson Street,349,,3
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,Jefferson Street,41,,3
Shawn O'Hara,U.S.House,4,Reform,Jackson,Jefferson Street,14,,3
Hillary Clinton,President,,Democrat,Jackson,Larue,16,,3
Donald J. Trump,President,,Republican,Jackson,Larue,205,,3
Darrell Castle,President,,Constitution,Jackson,Larue,1,,3
Rocky' Roque De La Fuente,President,,American Delta,Jackson,Larue,0,,3
Jim Hedges,President,,Prohibition,Jackson,Larue,1,,3
Gary Johnson,President,,Libertarian,Jackson,Larue,3,,3
Jill Stein,President,,Green,Jackson,Larue,0,,3
Mark Gladney,U.S.House,4,Democrat,Jackson,Larue,20,,3
Steven Palazzo,U.S.House,4,Republican,Jackson,Larue,175,,3
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,Larue,21,,3
Shawn O'Hara,U.S.House,4,Reform,Jackson,Larue,5,,3
Hillary Clinton,President,,Democrat,Jackson,Latimer,276,,3
Donald J. Trump,President,,Republican,Jackson,Latimer,1824,,3
Darrell Castle,President,,Constitution,Jackson,Latimer,12,,3
Rocky' Roque De La Fuente,President,,American Delta,Jackson,Latimer,2,,3
Jim Hedges,President,,Prohibition,Jackson,Latimer,0,,3
Gary Johnson,President,,Libertarian,Jackson,Latimer,47,,3
Jill Stein,President,,Green,Jackson,Latimer,15,,3
Mark Gladney,U.S.House,4,Democrat,Jackson,Latimer,327,,3
Steven Palazzo,U.S.House,4,Republican,Jackson,Latimer,1618,,3
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,Latimer,147,,3
Shawn O'Hara,U.S.House,4,Reform,Jackson,Latimer,50,,3
Hillary Clinton,President,,Democrat,Jackson,North Pascagoula,65,,3
Donald J. Trump,President,,Republican,Jackson,North Pascagoula,300,,3
Darrell Castle,President,,Constitution,Jackson,North Pascagoula,1,,3
Rocky' Roque De La Fuente,President,,American Delta,Jackson,North Pascagoula,0,,3
Jim Hedges,President,,Prohibition,Jackson,North Pascagoula,0,,3
Gary Johnson,President,,Libertarian,Jackson,North Pascagoula,4,,3
Jill Stein,President,,Green,Jackson,North Pascagoula,0,,3
Mark Gladney,U.S.House,4,Democrat,Jackson,North Pascagoula,73,,3
Steven Palazzo,U.S.House,4,Republican,Jackson,North Pascagoula,269,,3
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,North Pascagoula,16,,3
Shawn O'Hara,U.S.House,4,Reform,Jackson,North Pascagoula,7,,3
Hillary Clinton,President,,Democrat,Jackson,North Vancleave,194,,3
Donald J. Trump,President,,Republican,Jackson,North Vancleave,1325,,3
Darrell Castle,President,,Constitution,Jackson,North Vancleave,9,,3
Rocky' Roque De La Fuente,President,,American Delta,Jackson,North Vancleave,0,,3
Jim Hedges,President,,Prohibition,Jackson,North Vancleave,1,,3
Gary Johnson,President,,Libertarian,Jackson,North Vancleave,34,,3
Jill Stein,President,,Green,Jackson,North Vancleave,2,,3
Mark Gladney,U.S.House,4,Democrat,Jackson,North Vancleave,200,,3
Steven Palazzo,U.S.House,4,Republican,Jackson,North Vancleave,1229,,3
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,North Vancleave,86,,3
Shawn O'Hara,U.S.House,4,Reform,Jackson,North Vancleave,29,,3
Hillary Clinton,President,,Democrat,Jackson,OS Armory,423,,3
Donald J. Trump,President,,Republican,Jackson,OS Armory,1056,,3
Darrell Castle,President,,Constitution,Jackson,OS Armory,6,,3
Rocky' Roque De La Fuente,President,,American Delta,Jackson,OS Armory,0,,3
Jim Hedges,President,,Prohibition,Jackson,OS Armory,0,,3
Gary Johnson,President,,Libertarian,Jackson,OS Armory,55,,3
Jill Stein,President,,Green,Jackson,OS Armory,9,,3
Mark Gladney,U.S.House,4,Democrat,Jackson,OS Armory,489,,3
Steven Palazzo,U.S.House,4,Republican,Jackson,OS Armory,885,,3
Richard Blake McCluskey,U.S.House,4,Libertarian,Jackson,OS Armory,117,,3
Shawn O'Hara,U.S.House,4,Reform,Jackson,OS Armory,29,,3
Hillary Clinton,President,,Democrat,Jackson,OS Civic Ctr,1108,,3
