candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Franklin,Antioch,178,,2
Donald J. Trump,President,,Republican,Franklin,Antioch,175,,2
Darrell Castle,President,,Constitution,Franklin,Antioch,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Franklin,Antioch,1,,2
Jim Hedges,President,,Prohibition,Franklin,Antioch,0,,2
Gary Johnson,President,,Libertarian,Franklin,Antioch,1,,2
Jill Stein,President,,Green,Franklin,Antioch,0,,2
Gregg Harper,U.S. House,3,Republican,Franklin,Antioch,186,,2
Dennis C. Quinn,U.S. House,3,Democrat,Franklin,Antioch,135,,2
Roger I. Gerrard,U.S. House,3,Veterans,Franklin,Antioch,13,,2
Lajena Sheets,U.S. House,3,Reform,Franklin,Antioch,3,,2
Hillary Clinton,President,,Democrat,Franklin,Bad Bayou,12,,2
Donald J. Trump,President,,Republican,Franklin,Bad Bayou,335,,2
Darrell Castle,President,,Constitution,Franklin,Bad Bayou,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Franklin,Bad Bayou,0,,2
Jim Hedges,President,,Prohibition,Franklin,Bad Bayou,0,,2
Gary Johnson,President,,Libertarian,Franklin,Bad Bayou,1,,2
Jill Stein,President,,Green,Franklin,Bad Bayou,0,,2
Gregg Harper,U.S. House,3,Republican,Franklin,Bad Bayou,327,,2
Dennis C. Quinn,U.S. House,3,Democrat,Franklin,Bad Bayou,6,,2
Roger I. Gerrard,U.S. House,3,Veterans,Franklin,Bad Bayou,15,,2
Lajena Sheets,U.S. House,3,Reform,Franklin,Bad Bayou,0,,2
Hillary Clinton,President,,Democrat,Franklin,Bude,412,,2
Donald J. Trump,President,,Republican,Franklin,Bude,279,,2
Darrell Castle,President,,Constitution,Franklin,Bude,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Franklin,Bude,0,,2
Jim Hedges,President,,Prohibition,Franklin,Bude,2,,2
Gary Johnson,President,,Libertarian,Franklin,Bude,4,,2
Jill Stein,President,,Green,Franklin,Bude,2,,2
Gregg Harper,U.S. House,3,Republican,Franklin,Bude,302,,2
Dennis C. Quinn,U.S. House,3,Democrat,Franklin,Bude,329,,2
Roger I. Gerrard,U.S. House,3,Veterans,Franklin,Bude,25,,2
Lajena Sheets,U.S. House,3,Reform,Franklin,Bude,12,,2
Hillary Clinton,President,,Democrat,Franklin,Cains,56,,2
Donald J. Trump,President,,Republican,Franklin,Cains,187,,2
Darrell Castle,President,,Constitution,Franklin,Cains,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Franklin,Cains,0,,2
Jim Hedges,President,,Prohibition,Franklin,Cains,0,,2
Gary Johnson,President,,Libertarian,Franklin,Cains,0,,2
Jill Stein,President,,Green,Franklin,Cains,2,,2
Gregg Harper,U.S. House,3,Republican,Franklin,Cains,181,,2
Dennis C. Quinn,U.S. House,3,Democrat,Franklin,Cains,37,,2
Roger I. Gerrard,U.S. House,3,Veterans,Franklin,Cains,20,,2
Lajena Sheets,U.S. House,3,Reform,Franklin,Cains,1,,2
Hillary Clinton,President,,Democrat,Franklin,Eddiceton,43,,2
Donald J. Trump,President,,Republican,Franklin,Eddiceton,311,,2
Darrell Castle,President,,Constitution,Franklin,Eddiceton,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Franklin,Eddiceton,0,,2
Jim Hedges,President,,Prohibition,Franklin,Eddiceton,0,,2
Gary Johnson,President,,Libertarian,Franklin,Eddiceton,3,,2
Jill Stein,President,,Green,Franklin,Eddiceton,0,,2
Gregg Harper,U.S. House,3,Republican,Franklin,Eddiceton,295,,2
Dennis C. Quinn,U.S. House,3,Democrat,Franklin,Eddiceton,36,,2
