page,candidate,office,district,party,county,precinct,votes,winner
2,Jeb Bush,President,,Republican,Perry,Arlington 4100,0,
2,Ben Carson,President,,Republican,Perry,Arlington 4100,3,
2,Chris Christle,President,,Republican,Perry,Arlington 4100,0,
2,Ted Cruz,President,,Republican,Perry,Arlington 4100,86,
2,Carly Florina,President,,Republican,Perry,Arlington 4100,0,
2,Lindsey Graham,President,,Republican,Perry,Arlington 4100,0,
2,Mike Huckabee,President,,Republican,Perry,Arlington 4100,0,
2,John R. Kasich,President,,Republican,Perry,Arlington 4100,5,
2,George Pataki,President,,Republican,Perry,Arlington 4100,0,
2,Rand Paul,President,,Republican,Perry,Arlington 4100,0,
2,Marco Rubio,President,,Republican,Perry,Arlington 4100,4,
2,Rick Santorum,President,,Republican,Perry,Arlington 4100,0,
2,Donald J. Trump,President,,Republican,Perry,Arlington 4100,94,
2,Steven Palazzo,U S House,4,Republican,Perry,Arlington 4100,178,
2,Jeb Bush,President,,Republican,Perry,Beaumont District 1  1030 ,0,
2,Ben Carson,President,,Republican,Perry,Beaumont District 1  1030 ,1,
2,Chris Christle,President,,Republican,Perry,Beaumont District 1  1030 ,0,
2,Ted Cruz,President,,Republican,Perry,Beaumont District 1  1030 ,19,
2,Carly Florina,President,,Republican,Perry,Beaumont District 1  1030 ,0,
2,Lindsey Graham,President,,Republican,Perry,Beaumont District 1  1030 ,0,
2,Mike Huckabee,President,,Republican,Perry,Beaumont District 1  1030 ,0,
2,John R. Kasich,President,,Republican,Perry,Beaumont District 1  1030 ,2,
2,George Pataki,President,,Republican,Perry,Beaumont District 1  1030 ,0,
2,Rand Paul,President,,Republican,Perry,Beaumont District 1  1030 ,0,
2,Marco Rubio,President,,Republican,Perry,Beaumont District 1  1030 ,0,
2,Rick Santorum,President,,Republican,Perry,Beaumont District 1  1030 ,0,
2,Donald J. Trump,President,,Republican,Perry,Beaumont District 1  1030 ,26,
2,Steven Palazzo,U S House,4,Republican,Perry,Beaumont District 1  1030 ,45,
2,Jeb Bush,President,,Republican,Perry,Beaumont Senior Citizens 5120,3,
2,Ben Carson,President,,Republican,Perry,Beaumont Senior Citizens 5120,0,
2,Chris Christle,President,,Republican,Perry,Beaumont Senior Citizens 5120,0,
2,Ted Cruz,President,,Republican,Perry,Beaumont Senior Citizens 5120,25,
2,Carly Florina,President,,Republican,Perry,Beaumont Senior Citizens 5120,0,
2,Lindsey Graham,President,,Republican,Perry,Beaumont Senior Citizens 5120,0,
2,Mike Huckabee,President,,Republican,Perry,Beaumont Senior Citizens 5120,0,
2,John R. Kasich,President,,Republican,Perry,Beaumont Senior Citizens 5120,4,
2,George Pataki,President,,Republican,Perry,Beaumont Senior Citizens 5120,0,
2,Rand Paul,President,,Republican,Perry,Beaumont Senior Citizens 5120,1,
2,Marco Rubio,President,,Republican,Perry,Beaumont Senior Citizens 5120,3,
2,Rick Santorum,President,,Republican,Perry,Beaumont Senior Citizens 5120,0,
2,Donald J. Trump,President,,Republican,Perry,Beaumont Senior Citizens 5120,51,
2,Steven Palazzo,U S House,4,Republican,Perry,Beaumont Senior Citizens 5120,82,
2,Jeb Bush,President,,Republican,Perry,Courthouse 5110,0,
2,Ben Carson,President,,Republican,Perry,Courthouse 5110,1,
2,Chris Christle,President,,Republican,Perry,Courthouse 5110,0,
