candidate,office,district,party,county,precinct,votes,winner ,page
Hillary Clinton,President,,Democrat,Lincoln,Alexander,435,,2
Donald J. Trump,President,,Republican,Lincoln,Alexander,17,,2
Darrell Castle,President,,Constitution,Lincoln,Alexander,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Lincoln,Alexander,0,,2
Jim Hedges,President,,Prohibition,Lincoln,Alexander,0,,2
Gary Johnson,President,,Libertarian,Lincoln,Alexander,1,,2
Jill Stein,President,,Green,Lincoln,Alexander,2,,2
Gregg Harper,U.S. House,3,Republican,Lincoln,Alexander,41,,2
Dennis C. Quinn,U.S. House,3,Democrat,Lincoln,Alexander,395,,2
Roger I. Gerrard,U.S. House,3,Veterans,Lincoln,Alexander,4,,2
Lajena Sheets,U.S. House,3,Reform,Lincoln,Alexander,5,,2
Hillary Clinton,President,,Democrat,Lincoln,Arlington,86,,2
Donald J. Trump,President,,Republican,Lincoln,Arlington,433,,2
Darrell Castle,President,,Constitution,Lincoln,Arlington,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Lincoln,Arlington,0,,2
Jim Hedges,President,,Prohibition,Lincoln,Arlington,1,,2
Gary Johnson,President,,Libertarian,Lincoln,Arlington,3,,2
Jill Stein,President,,Green,Lincoln,Arlington,2,,2
Gregg Harper,U.S. House,3,Republican,Lincoln,Arlington,426,,2
Dennis C. Quinn,U.S. House,3,Democrat,Lincoln,Arlington,86,,2
Roger I. Gerrard,U.S. House,3,Veterans,Lincoln,Arlington,8,,2
Lajena Sheets,U.S. House,3,Reform,Lincoln,Arlington,1,,2
Hillary Clinton,President,,Democrat,Lincoln,Big Springs,47,,2
Donald J. Trump,President,,Republican,Lincoln,Big Springs,134,,2
Darrell Castle,President,,Constitution,Lincoln,Big Springs,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Lincoln,Big Springs,0,,2
Jim Hedges,President,,Prohibition,Lincoln,Big Springs,1,,2
Gary Johnson,President,,Libertarian,Lincoln,Big Springs,1,,2
Jill Stein,President,,Green,Lincoln,Big Springs,0,,2
Gregg Harper,U.S. House,3,Republican,Lincoln,Big Springs,138,,2
Dennis C. Quinn,U.S. House,3,Democrat,Lincoln,Big Springs,37,,2
Roger I. Gerrard,U.S. House,3,Veterans,Lincoln,Big Springs,3,,2
Lajena Sheets,U.S. House,3,Reform,Lincoln,Big Springs,1,,2
Hillary Clinton,President,,Democrat,Lincoln,Bogue Chitto,165,,2
Donald J. Trump,President,,Republican,Lincoln,Bogue Chitto,168,,2
Darrell Castle,President,,Constitution,Lincoln,Bogue Chitto,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Lincoln,Bogue Chitto,0,,2
Jim Hedges,President,,Prohibition,Lincoln,Bogue Chitto,0,,2
Gary Johnson,President,,Libertarian,Lincoln,Bogue Chitto,0,,2
Jill Stein,President,,Green,Lincoln,Bogue Chitto,1,,2
Gregg Harper,U.S. House,3,Republican,Lincoln,Bogue Chitto,191,,2
Dennis C. Quinn,U.S. House,3,Democrat,Lincoln,Bogue Chitto,131,,2
Roger I. Gerrard,U.S. House,3,Veterans,Lincoln,Bogue Chitto,9,,2
Lajena Sheets,U.S. House,3,Reform,Lincoln,Bogue Chitto,1,,2
Hillary Clinton,President,,Democrat,Lincoln,Brignal,203,,2
Donald J. Trump,President,,Republican,Lincoln,Brignal,32,,2
Darrell Castle,President,,Constitution,Lincoln,Brignal,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Lincoln,Brignal,1,,2
Jim Hedges,President,,Prohibition,Lincoln,Brignal,0,,2
Gary Johnson,President,,Libertarian,Lincoln,Brignal,0,,2
Jill Stein,President,,Green,Lincoln,Brignal,1,,2
Gregg Harper,U.S. House,3,Republican,Lincoln,Brignal,50,,2
Dennis C. Quinn,U.S. House,3,Democrat,Lincoln,Brignal,182,,2
Roger I. Gerrard,U.S. House,3,Veterans,Lincoln,Brignal,4,,2
Lajena Sheets,U.S. House,3,Reform,Lincoln,Brignal,3,,2
Hillary Clinton,President,,Democrat,Lincoln,Caseyville,87,,2
Donald J. Trump,President,,Republican,Lincoln,Caseyville,342,,2
Darrell Castle,President,,Constitution,Lincoln,Caseyville,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Lincoln,Caseyville,0,,2
Jim Hedges,President,,Prohibition,Lincoln,Caseyville,0,,2
Gary Johnson,President,,Libertarian,Lincoln,Caseyville,0,,2
Jill Stein,President,,Green,Lincoln,Caseyville,0,,2
Gregg Harper,U.S. House,3,Republican,Lincoln,Caseyville,339,,2
Dennis C. Quinn,U.S. House,3,Democrat,Lincoln,Caseyville,76,,2
Roger I. Gerrard,U.S. House,3,Veterans,Lincoln,Caseyville,12,,2
Lajena Sheets,U.S. House,3,Reform,Lincoln,Caseyville,1,,2
Hillary Clinton,President,,Democrat,Lincoln,City Hall,80,,2
Donald J. Trump,President,,Republican,Lincoln,City Hall,150,,2
Darrell Castle,President,,Constitution,Lincoln,City Hall,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Lincoln,City Hall,0,,2
Jim Hedges,President,,Prohibition,Lincoln,City Hall,1,,2
Gary Johnson,President,,Libertarian,Lincoln,City Hall,2,,2
Jill Stein,President,,Green,Lincoln,City Hall,1,,2
Gregg Harper,U.S. House,3,Republican,Lincoln,City Hall,161,,2
Dennis C. Quinn,U.S. House,3,Democrat,Lincoln,City Hall,73,,2
Roger I. Gerrard,U.S. House,3,Veterans,Lincoln,City Hall,4,,2
Lajena Sheets,U.S. House,3,Reform,Lincoln,City Hall,3,,2
Hillary Clinton,President,,Democrat,Lincoln,East Lincoln,11,,2
Donald J. Trump,President,,Republican,Lincoln,East Lincoln,247,,2
Darrell Castle,President,,Constitution,Lincoln,East Lincoln,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Lincoln,East Lincoln,0,,2
Jim Hedges,President,,Prohibition,Lincoln,East Lincoln,0,,2
Gary Johnson,President,,Libertarian,Lincoln,East Lincoln,0,,2
Jill Stein,President,,Green,Lincoln,East Lincoln,0,,2
Gregg Harper,U.S. House,3,Republican,Lincoln,East Lincoln,247,,2
Dennis C. Quinn,U.S. House,3,Democrat,Lincoln,East Lincoln,9,,2
Roger I. Gerrard,U.S. House,3,Veterans,Lincoln,East Lincoln,3,,2
Lajena Sheets,U.S. House,3,Reform,Lincoln,East Lincoln,1,,2
Hillary Clinton,President,,Democrat,Lincoln,Enterprise,61,,2
Donald J. Trump,President,,Republican,Lincoln,Enterprise,892,,2
Darrell Castle,President,,Constitution,Lincoln,Enterprise,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Lincoln,Enterprise,1,,2
Jim Hedges,President,,Prohibition,Lincoln,Enterprise,1,,2
Gary Johnson,President,,Libertarian,Lincoln,Enterprise,7,,2
Jill Stein,President,,Green,Lincoln,Enterprise,0,,2
Gregg Harper,U.S. House,3,Republican,Lincoln,Enterprise,869,,2
Dennis C. Quinn,U.S. House,3,Democrat,Lincoln,Enterprise,66,,2
Roger I. Gerrard,U.S. House,3,Veterans,Lincoln,Enterprise,17,,2
Lajena Sheets,U.S. House,3,Reform,Lincoln,Enterprise,2,,2
Hillary Clinton,President,,Democrat,Lincoln,Fair River,15,,2
Donald J. Trump,President,,Republican,Lincoln,Fair River,191,,2
Darrell Castle,President,,Constitution,Lincoln,Fair River,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Lincoln,Fair River,1,,2
Jim Hedges,President,,Prohibition,Lincoln,Fair River,0,,2
Gary Johnson,President,,Libertarian,Lincoln,Fair River,1,,2
Jill Stein,President,,Green,Lincoln,Fair River,0,,2
Gregg Harper,U.S. House,3,Republican,Lincoln,Fair River,191,,2
Dennis C. Quinn,U.S. House,3,Democrat,Lincoln,Fair River,7,,2
Roger I. Gerrard,U.S. House,3,Veterans,Lincoln,Fair River,5,,2
Lajena Sheets,U.S. House,3,Reform,Lincoln,Fair River,2,,2
Hillary Clinton,President,,Democrat,Lincoln,Forrestry,194,,2
