candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Grenada,Box 1,506,,2
Donald J. Trump,President,,Republican,Grenada,Box 1,1100,,2
Darrell Castle,President,,Constitution,Grenada,Box 1,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Grenada,Box 1,0,,2
Jim Hedges,President,,Prohibition,Grenada,Box 1,2,,2
Gary Johnson,President,,Libertarian,Grenada,Box 1,16,,2
Jill Stein,President,,Green,Grenada,Box 1,4,,2
John Bouie ii,U.S.House,2,Republican,Grenada,Box 1,879,,2
Bennie G. Thompson,U.S.House,2,Democrat,Grenada,Box 1,656,,2
Johnny McLeod,U.S.House,2,Reform,Grenada,Box 1,22,,2
Troy Ray,U.S.House,2,Independent,Grenada,Box 1,39,,2
Hillary Clinton,President,,Democrat,Grenada,Box 2 Grenada Co Office,212,,2
Donald J. Trump,President,,Republican,Grenada,Box 2 Grenada Co Office,349,,2
Darrell Castle,President,,Constitution,Grenada,Box 2 Grenada Co Office,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Grenada,Box 2 Grenada Co Office,0,,2
Jim Hedges,President,,Prohibition,Grenada,Box 2 Grenada Co Office,0,,2
Gary Johnson,President,,Libertarian,Grenada,Box 2 Grenada Co Office,2,,2
Jill Stein,President,,Green,Grenada,Box 2 Grenada Co Office,1,,2
John Bouie ii,U.S.House,2,Republican,Grenada,Box 2 Grenada Co Office,244,,2
Bennie G. Thompson,U.S.House,2,Democrat,Grenada,Box 2 Grenada Co Office,256,,2
Johnny McLeod,U.S.House,2,Reform,Grenada,Box 2 Grenada Co Office,10,,2
Troy Ray,U.S.House,2,Independent,Grenada,Box 2 Grenada Co Office,21,,2
Hillary Clinton,President,,Democrat,Grenada,Box 3 City Auditorium,1045,,2
Donald J. Trump,President,,Republican,Grenada,Box 3 City Auditorium,396,,2
Darrell Castle,President,,Constitution,Grenada,Box 3 City Auditorium,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Grenada,Box 3 City Auditorium,0,,2
Jim Hedges,President,,Prohibition,Grenada,Box 3 City Auditorium,2,,2
Gary Johnson,President,,Libertarian,Grenada,Box 3 City Auditorium,10,,2
Jill Stein,President,,Green,Grenada,Box 3 City Auditorium,6,,2
John Bouie ii,U.S.House,2,Republican,Grenada,Box 3 City Auditorium,306,,2
Bennie G. Thompson,U.S.House,2,Democrat,Grenada,Box 3 City Auditorium,1077,,2
Johnny McLeod,U.S.House,2,Reform,Grenada,Box 3 City Auditorium,13,,2
Troy Ray,U.S.House,2,Independent,Grenada,Box 3 City Auditorium,29,,2
Hillary Clinton,President,,Democrat,Grenada,Box 4,1378,,2
Donald J. Trump,President,,Republican,Grenada,Box 4,114,,2
Darrell Castle,President,,Constitution,Grenada,Box 4,6,,2
Rocky' Roque De La Fuente,President,,American Delta,Grenada,Box 4,2,,2
Jim Hedges,President,,Prohibition,Grenada,Box 4,0,,2
Gary Johnson,President,,Libertarian,Grenada,Box 4,5,,2
Jill Stein,President,,Green,Grenada,Box 4,2,,2
John Bouie ii,U.S.House,2,Republican,Grenada,Box 4,85,,2
Bennie G. Thompson,U.S.House,2,Democrat,Grenada,Box 4,1401,,2
Johnny McLeod,U.S.House,2,Reform,Grenada,Box 4,8,,2
Troy Ray,U.S.House,2,Independent,Grenada,Box 4,8,,2
Hillary Clinton,President,,Democrat,Grenada,Box 5,277,,2
Donald J. Trump,President,,Republican,Grenada,Box 5,1155,,2
Darrell Castle,President,,Constitution,Grenada,Box 5,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Grenada,Box 5,0,,2
Jim Hedges,President,,Prohibition,Grenada,Box 5,0,,2
Gary Johnson,President,,Libertarian,Grenada,Box 5,12,,2
Jill Stein,President,,Green,Grenada,Box 5,3,,2
John Bouie ii,U.S.House,2,Republican,Grenada,Box 5,935,,2
Bennie G. Thompson,U.S.House,2,Democrat,Grenada,Box 5,382,,2
Johnny McLeod,U.S.House,2,Reform,Grenada,Box 5,30,,2
Troy Ray,U.S.House,2,Independent,Grenada,Box 5,40,,2
Hillary Clinton,President,,Democrat,Grenada,Elliott Vol Fire Station,73,,2
Donald J. Trump,President,,Republican,Grenada,Elliott Vol Fire Station,388,,2
Darrell Castle,President,,Constitution,Grenada,Elliott Vol Fire Station,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Grenada,Elliott Vol Fire Station,0,,2
Jim Hedges,President,,Prohibition,Grenada,Elliott Vol Fire Station,2,,2
Gary Johnson,President,,Libertarian,Grenada,Elliott Vol Fire Station,2,,2
Jill Stein,President,,Green,Grenada,Elliott Vol Fire Station,3,,2
John Bouie ii,U.S.House,2,Republican,Grenada,Elliott Vol Fire Station,301,,2
Bennie G. Thompson,U.S.House,2,Democrat,Grenada,Elliott Vol Fire Station,121,,2
Johnny McLeod,U.S.House,2,Reform,Grenada,Elliott Vol Fire Station,12,,2
Troy Ray,U.S.House,2,Independent,Grenada,Elliott Vol Fire Station,17,,2
Hillary Clinton,President,,Democrat,Grenada,Futheyville 1st Pentecost,171,,2
Donald J. Trump,President,,Republican,Grenada,Futheyville 1st Pentecost,551,,2
Darrell Castle,President,,Constitution,Grenada,Futheyville 1st Pentecost,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Grenada,Futheyville 1st Pentecost,0,,2
Jim Hedges,President,,Prohibition,Grenada,Futheyville 1st Pentecost,0,,2
Gary Johnson,President,,Libertarian,Grenada,Futheyville 1st Pentecost,7,,2
Jill Stein,President,,Green,Grenada,Futheyville 1st Pentecost,0,,2
John Bouie ii,U.S.House,2,Republican,Grenada,Futheyville 1st Pentecost,432,,2
Bennie G. Thompson,U.S.House,2,Democrat,Grenada,Futheyville 1st Pentecost,234,,2
Johnny McLeod,U.S.House,2,Reform,Grenada,Futheyville 1st Pentecost,16,,2
Troy Ray,U.S.House,2,Independent,Grenada,Futheyville 1st Pentecost,21,,2
Hillary Clinton,President,,Democrat,Grenada,Geeslin,94,,2
Donald J. Trump,President,,Republican,Grenada,Geeslin,560,,2
Darrell Castle,President,,Constitution,Grenada,Geeslin,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Grenada,Geeslin,0,,2
Jim Hedges,President,,Prohibition,Grenada,Geeslin,1,,2
Gary Johnson,President,,Libertarian,Grenada,Geeslin,6,,2
Jill Stein,President,,Green,Grenada,Geeslin,0,,2
John Bouie ii,U.S.House,2,Republican,Grenada,Geeslin,432,,2
Bennie G. Thompson,U.S.House,2,Democrat,Grenada,Geeslin,164,,2
Johnny McLeod,U.S.House,2,Reform,Grenada,Geeslin,11,,2
Troy Ray,U.S.House,2,Independent,Grenada,Geeslin,26,,2
Hillary Clinton,President,,Democrat,Grenada,Gore Springs Comm Center,68,,2
Donald J. Trump,President,,Republican,Grenada,Gore Springs Comm Center,425,,2
Darrell Castle,President,,Constitution,Grenada,Gore Springs Comm Center,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Grenada,Gore Springs Comm Center,0,,2
Jim Hedges,President,,Prohibition,Grenada,Gore Springs Comm Center,0,,2
Gary Johnson,President,,Libertarian,Grenada,Gore Springs Comm Center,6,,2
Jill Stein,President,,Green,Grenada,Gore Springs Comm Center,0,,2
John Bouie ii,U.S.House,2,Republican,Grenada,Gore Springs Comm Center,308,,2
Bennie G. Thompson,U.S.House,2,Democrat,Grenada,Gore Springs Comm Center,129,,2
Johnny McLeod,U.S.House,2,Reform,Grenada,Gore Springs Comm Center,12,,2
Troy Ray,U.S.House,2,Independent,Grenada,Gore Springs Comm Center,28,,2
Hillary Clinton,President,,Democrat,Grenada,Holcomb Community Center,185,,2
Donald J. Trump,President,,Republican,Grenada,Holcomb Community Center,540,,2
Darrell Castle,President,,Constitution,Grenada,Holcomb Community Center,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Grenada,Holcomb Community Center,1,,2
Jim Hedges,President,,Prohibition,Grenada,Holcomb Community Center,1,,2
Gary Johnson,President,,Libertarian,Grenada,Holcomb Community Center,2,,2
Jill Stein,President,,Green,Grenada,Holcomb Community Center,2,,2
John Bouie ii,U.S.House,2,Republican,Grenada,Holcomb Community Center,390,,2
Bennie G. Thompson,U.S.House,2,Democrat,Grenada,Holcomb Community Center,260,,2
