candidate,office,district,party,county,precinct,votes,winner,page,,,,,,
Hillary Clinton,President,,Democrat,Calhoun,Banner,38,,2,,,,,,
Donald J. Trump,President,,Republican,Calhoun,Banner,347,,2,,,,,,
Darrell Castle,President,,Constitution,Calhoun,Banner,0,,2,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Calhoun,Banner,0,,2,,,,,,
Jim Hedges,President,,Prohibition,Calhoun,Banner,0,,2,,,,,,
Gary Johnson,President,,Libertarian,Calhoun,Banner,6,,2,,,,,,
Jill Stein,President,,Green,Calhoun,Banner,1,,2,,,,,,
Trent Kelly,U.S.House,1,Republican,Calhoun,Banner,352,,2,,,,,,
Jacob Owens,U.S.House,1,Democrat,Calhoun,Banner,30,,2,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Calhoun,Banner,3,,2,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Calhoun,Banner,5,,2,,,,,,
Hillary Clinton,President,,Democrat,Calhoun,Bruce # 3,213,,2,,,,,,
Donald J. Trump,President,,Republican,Calhoun,Bruce # 3,695,,2,,,,,,
Darrell Castle,President,,Constitution,Calhoun,Bruce # 3,0,,2,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Calhoun,Bruce # 3,1,,2,,,,,,
Jim Hedges,President,,Prohibition,Calhoun,Bruce # 3,0,,2,,,,,,
Gary Johnson,President,,Libertarian,Calhoun,Bruce # 3,9,,2,,,,,,
Jill Stein,President,,Green,Calhoun,Bruce # 3,1,,2,,,,,,
Trent Kelly,U.S.House,1,Republican,Calhoun,Bruce # 3,722,,2,,,,,,
Jacob Owens,U.S.House,1,Democrat,Calhoun,Bruce # 3,173,,2,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Calhoun,Bruce # 3,3,,2,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Calhoun,Bruce # 3,13,,2,,,,,,
Hillary Clinton,President,,Democrat,Calhoun,Calhoun city # 1,380,,2,,,,,,
Donald J. Trump,President,,Republican,Calhoun,Calhoun city # 1,313,,2,,,,,,
Darrell Castle,President,,Constitution,Calhoun,Calhoun city # 1,4,,2,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Calhoun,Calhoun city # 1,1,,2,,,,,,
Jim Hedges,President,,Prohibition,Calhoun,Calhoun city # 1,0,,2,,,,,,
Gary Johnson,President,,Libertarian,Calhoun,Calhoun city # 1,5,,2,,,,,,
Jill Stein,President,,Green,Calhoun,Calhoun city # 1,1,,2,,,,,,
Trent Kelly,U.S.House,1,Republican,Calhoun,Calhoun city # 1,352,,2,,,,,,
Jacob Owens,U.S.House,1,Democrat,Calhoun,Calhoun city # 1,312,,2,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Calhoun,Calhoun city # 1,10,,2,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Calhoun,Calhoun city # 1,9,,2,,,,,,
Hillary Clinton,President,,Democrat,Calhoun,Calhoun city 4,246,,2,,,,,,
Donald J. Trump,President,,Republican,Calhoun,Calhoun city 4,775,,2,,,,,,
Darrell Castle,President,,Constitution,Calhoun,Calhoun city 4,7,,2,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Calhoun,Calhoun city 4,2,,2,,,,,,
Jim Hedges,President,,Prohibition,Calhoun,Calhoun city 4,0,,2,,,,,,
Gary Johnson,President,,Libertarian,Calhoun,Calhoun city 4,2,,2,,,,,,
Jill Stein,President,,Green,Calhoun,Calhoun city 4,0,,2,,,,,,
Trent Kelly,U.S.House,1,Republican,Calhoun,Calhoun city 4,816,,2,,,,,,
Jacob Owens,U.S.House,1,Democrat,Calhoun,Calhoun city 4,178,,2,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Calhoun,Calhoun city 4,14,,2,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Calhoun,Calhoun city 4,8,,2,,,,,,
Hillary Clinton,President,,Democrat,Calhoun,Derma # 4,74,,2,,,,,,
Donald J. Trump,President,,Republican,Calhoun,Derma # 4,286,,2,,,,,,
Darrell Castle,President,,Constitution,Calhoun,Derma # 4,2,,2,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Calhoun,Derma # 4,0,,2,,,,,,
Jim Hedges,President,,Prohibition,Calhoun,Derma # 4,0,,2,,,,,,
Gary Johnson,President,,Libertarian,Calhoun,Derma # 4,1,,2,,,,,,
Jill Stein,President,,Green,Calhoun,Derma # 4,0,,2,,,,,,
Trent Kelly,U.S.House,1,Republican,Calhoun,Derma # 4,297,,2,,,,,,
Jacob Owens,U.S.House,1,Democrat,Calhoun,Derma # 4,54,,2,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Calhoun,Derma # 4,4,,2,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Calhoun,Derma # 4,5,,2,,,,,,
Hillary Clinton,President,,Democrat,Calhoun,Derma # 5,90,,2,,,,,,
Donald J. Trump,President,,Republican,Calhoun,Derma # 5,371,,2,,,,,,
Darrell Castle,President,,Constitution,Calhoun,Derma # 5,1,,2,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Calhoun,Derma # 5,0,,2,,,,,,
