candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Itawamba,American Legion,121,,2
Donald J. Trump,President,,Republican,Itawamba,American Legion,930,,2
Darrell Castle,President,,Constitution,Itawamba,American Legion,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Itawamba,American Legion,1,,2
Jim Hedges,President,,Prohibition,Itawamba,American Legion,0,,2
Gary Johnson,President,,Libertarian,Itawamba,American Legion,11,,2
Jill Stein,President,,Green,Itawamba,American Legion,3,,2
Trent Kelly,U.S.House,1,Republican,Itawamba,American Legion,936,,2
Jacob Owens,U.S.House,1,Democrat,Itawamba,American Legion,85,,2
Cathy L. Toole,U.S.House,1,Reform,Itawamba,American Legion,11,,2
Chase Wilson,U.S.House,1,Libertarian,Itawamba,American Legion,18,,2
Hillary Clinton,President,,Democrat,Itawamba,Armory,45,,2
Donald J. Trump,President,,Republican,Itawamba,Armory,367,,2
Darrell Castle,President,,Constitution,Itawamba,Armory,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Itawamba,Armory,0,,2
Jim Hedges,President,,Prohibition,Itawamba,Armory,0,,2
Gary Johnson,President,,Libertarian,Itawamba,Armory,5,,2
Jill Stein,President,,Green,Itawamba,Armory,3,,2
Trent Kelly,U.S.House,1,Republican,Itawamba,Armory,357,,2
Jacob Owens,U.S.House,1,Democrat,Itawamba,Armory,41,,2
Cathy L. Toole,U.S.House,1,Reform,Itawamba,Armory,6,,2
Chase Wilson,U.S.House,1,Libertarian,Itawamba,Armory,8,,2
Hillary Clinton,President,,Democrat,Itawamba,Banner - Pineville,59,,2
Donald J. Trump,President,,Republican,Itawamba,Banner - Pineville,499,,2
Darrell Castle,President,,Constitution,Itawamba,Banner - Pineville,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Itawamba,Banner - Pineville,0,,2
Jim Hedges,President,,Prohibition,Itawamba,Banner - Pineville,1,,2
Gary Johnson,President,,Libertarian,Itawamba,Banner - Pineville,2,,2
Jill Stein,President,,Green,Itawamba,Banner - Pineville,0,,2
Trent Kelly,U.S.House,1,Republican,Itawamba,Banner - Pineville,481,,2
Jacob Owens,U.S.House,1,Democrat,Itawamba,Banner - Pineville,49,,2
Cathy L. Toole,U.S.House,1,Reform,Itawamba,Banner - Pineville,4,,2
Chase Wilson,U.S.House,1,Libertarian,Itawamba,Banner - Pineville,9,,2
Hillary Clinton,President,,Democrat,Itawamba,Bounds,8,,2
Donald J. Trump,President,,Republican,Itawamba,Bounds,140,,2
Darrell Castle,President,,Constitution,Itawamba,Bounds,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Itawamba,Bounds,0,,2
Jim Hedges,President,,Prohibition,Itawamba,Bounds,0,,2
Gary Johnson,President,,Libertarian,Itawamba,Bounds,2,,2
Jill Stein,President,,Green,Itawamba,Bounds,0,,2
Trent Kelly,U.S.House,1,Republican,Itawamba,Bounds,138,,2
Jacob Owens,U.S.House,1,Democrat,Itawamba,Bounds,7,,2
Cathy L. Toole,U.S.House,1,Reform,Itawamba,Bounds,0,,2
Chase Wilson,U.S.House,1,Libertarian,Itawamba,Bounds,2,,2
Hillary Clinton,President,,Democrat,Itawamba,Cardsville,8,,2
Donald J. Trump,President,,Republican,Itawamba,Cardsville,140,,2
Darrell Castle,President,,Constitution,Itawamba,Cardsville,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Itawamba,Cardsville,0,,2
Jim Hedges,President,,Prohibition,Itawamba,Cardsville,0,,2
Gary Johnson,President,,Libertarian,Itawamba,Cardsville,1,,2
Jill Stein,President,,Green,Itawamba,Cardsville,0,,2
Trent Kelly,U.S.House,1,Republican,Itawamba,Cardsville,141,,2
Jacob Owens,U.S.House,1,Democrat,Itawamba,Cardsville,3,,2
Cathy L. Toole,U.S.House,1,Reform,Itawamba,Cardsville,3,,2
Chase Wilson,U.S.House,1,Libertarian,Itawamba,Cardsville,1,,2
Hillary Clinton,President,,Democrat,Itawamba,Carolina,45,,2
Donald J. Trump,President,,Republican,Itawamba,Carolina,213,,2
Darrell Castle,President,,Constitution,Itawamba,Carolina,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Itawamba,Carolina,0,,2
Jim Hedges,President,,Prohibition,Itawamba,Carolina,1,,2
Gary Johnson,President,,Libertarian,Itawamba,Carolina,3,,2
Jill Stein,President,,Green,Itawamba,Carolina,1,,2
Trent Kelly,U.S.House,1,Republican,Itawamba,Carolina,214,,2
Jacob Owens,U.S.House,1,Democrat,Itawamba,Carolina,31,,2
Cathy L. Toole,U.S.House,1,Reform,Itawamba,Carolina,3,,2
Chase Wilson,U.S.House,1,Libertarian,Itawamba,Carolina,5,,2
Hillary Clinton,President,,Democrat,Itawamba,Centerville,28,,2
Donald J. Trump,President,,Republican,Itawamba,Centerville,290,,2
Darrell Castle,President,,Constitution,Itawamba,Centerville,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Itawamba,Centerville,1,,2
Jim Hedges,President,,Prohibition,Itawamba,Centerville,0,,2
Gary Johnson,President,,Libertarian,Itawamba,Centerville,3,,2
Jill Stein,President,,Green,Itawamba,Centerville,0,,2
Trent Kelly,U.S.House,1,Republican,Itawamba,Centerville,293,,2
Jacob Owens,U.S.House,1,Democrat,Itawamba,Centerville,18,,2
Cathy L. Toole,U.S.House,1,Reform,Itawamba,Centerville,4,,2
Chase Wilson,U.S.House,1,Libertarian,Itawamba,Centerville,4,,2
Hillary Clinton,President,,Democrat,Itawamba,Clay,47,,2
Donald J. Trump,President,,Republican,Itawamba,Clay,608,,2
Darrell Castle,President,,Constitution,Itawamba,Clay,4,,2
Rocky' Roque De La Fuente,President,,American Delta,Itawamba,Clay,0,,2
Jim Hedges,President,,Prohibition,Itawamba,Clay,0,,2
Gary Johnson,President,,Libertarian,Itawamba,Clay,11,,2
Jill Stein,President,,Green,Itawamba,Clay,2,,2
Trent Kelly,U.S.House,1,Republican,Itawamba,Clay,597,,2
Jacob Owens,U.S.House,1,Democrat,Itawamba,Clay,35,,2
Cathy L. Toole,U.S.House,1,Reform,Itawamba,Clay,7,,2
Chase Wilson,U.S.House,1,Libertarian,Itawamba,Clay,14,,2
Hillary Clinton,President,,Democrat,Itawamba,Courthouse,22,,2
Donald J. Trump,President,,Republican,Itawamba,Courthouse,179,,2
Darrell Castle,President,,Constitution,Itawamba,Courthouse,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Itawamba,Courthouse,0,,2
Jim Hedges,President,,Prohibition,Itawamba,Courthouse,0,,2
Gary Johnson,President,,Libertarian,Itawamba,Courthouse,1,,2
Jill Stein,President,,Green,Itawamba,Courthouse,1,,2
Trent Kelly,U.S.House,1,Republican,Itawamba,Courthouse,173,,2
Jacob Owens,U.S.House,1,Democrat,Itawamba,Courthouse,16,,2
Cathy L. Toole,U.S.House,1,Reform,Itawamba,Courthouse,3,,2
Chase Wilson,U.S.House,1,Libertarian,Itawamba,Courthouse,11,,2
Hillary Clinton,President,,Democrat,Itawamba,Dorsey,33,,2
Donald J. Trump,President,,Republican,Itawamba,Dorsey,489,,2
Darrell Castle,President,,Constitution,Itawamba,Dorsey,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Itawamba,Dorsey,0,,2
Jim Hedges,President,,Prohibition,Itawamba,Dorsey,0,,2
Gary Johnson,President,,Libertarian,Itawamba,Dorsey,8,,2
Jill Stein,President,,Green,Itawamba,Dorsey,1,,2
Trent Kelly,U.S.House,1,Republican,Itawamba,Dorsey,499,,2
Jacob Owens,U.S.House,1,Democrat,Itawamba,Dorsey,18,,2
Cathy L. Toole,U.S.House,1,Reform,Itawamba,Dorsey,0,,2
Chase Wilson,U.S.House,1,Libertarian,Itawamba,Dorsey,7,,2
Hillary Clinton,President,,Democrat,Itawamba,Evergreen,107,,2
Donald J. Trump,President,,Republican,Itawamba,Evergreen,230,,2
Darrell Castle,President,,Constitution,Itawamba,Evergreen,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Itawamba,Evergreen,0,,2
