page,county,precinct,office,district,party,candidate,votes,winner
2,Amite,Amite River,President,,Republican,Jeb Bush,3,
2,Amite,Amite River,President,,Republican,Ben Carson,0,
2,Amite,Amite River,President,,Republican,Chris Christie,0,
2,Amite,Amite River,President,,Republican,Ted Cruz,23,
2,Amite,Amite River,President,,Republican,Carly Florina,0,
2,Amite,Amite River,President,,Republican,Lindsey Graham,0,
2,Amite,Amite River,President,,Republican,Mike Huckabee,1,
2,Amite,Amite River,President,,Republican,John R. Kaisch,1,
2,Amite,Amite River,President,,Republican,George Pataki,0,
2,Amite,Amite River,President,,Republican,Rand Paul,0,
2,Amite,Amite River,President,,Republican,Marco Rubio,1,
2,Amite,Amite River,President,,Republican,Rick Santorum,0,
2,Amite,Amite River,President,,Republican,Donald J. Trump,44,
2,Amite,Amite River,President,,Democrat,Hillary Clinton,93,
2,Amite,Amite River,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
2,Amite,Amite River,President,,Democrat,Martin O'Mailey,0,
2,Amite,Amite River,President,,Democrat,Bernie Sanders,5,
2,Amite,Amite River,President,,Democrat,Willie Wilson,1,
2,Amite,Amite River,U.S. House,3,Republican,Jimmy Giles,5,
2,Amite,Amite River,U.S. House,3,Republican,Gregg Harper,61,
2,Amite,Amite River,U.S. House,3,Democrat,Dennis C. Quinn,51,
2,Amite,Amite River,U.S. House,3,Democrat,Nathan Stewart,40,
2,Amite,Ariel,President,,Republican,Jeb Bush,0,
2,Amite,Ariel,President,,Republican,Ben Carson,0,
2,Amite,Ariel,President,,Republican,Chris Christie,0,
2,Amite,Ariel,President,,Republican,Ted Cruz,12,
2,Amite,Ariel,President,,Republican,Carly Florina,0,
2,Amite,Ariel,President,,Republican,Lindsey Graham,0,
2,Amite,Ariel,President,,Republican,Mike Huckabee,0,
2,Amite,Ariel,President,,Republican,John R. Kaisch,0,
2,Amite,Ariel,President,,Republican,George Pataki,0,
2,Amite,Ariel,President,,Republican,Rand Paul,0,
2,Amite,Ariel,President,,Republican,Marco Rubio,0,
2,Amite,Ariel,President,,Republican,Rick Santorum,0,
2,Amite,Ariel,President,,Republican,Donald J. Trump,17,
2,Amite,Ariel,President,,Democrat,Hillary Clinton,113,
