candidate,office,district,party,county,precinct,votes,winner ,page
Hillary Clinton,President,,Democrat,Leake,Conway,256,,2
Donald J. Trump,President,,Republican,Leake,Conway,111,,2
Darrell Castle,President,,Constitution,Leake,Conway,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Leake,Conway,0,,2
Jim Hedges,President,,Prohibition,Leake,Conway,0,,2
Gary Johnson,President,,Libertarian,Leake,Conway,2,,2
Jill Stein,President,,Green,Leake,Conway,0,,2
John Bouie ii,U.S.House,2,Republican,Leake,Conway,88,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leake,Conway,265,,2
Johnny McLeod,U.S.House,2,Reform,Leake,Conway,6,,2
Troy Ray,U.S.House,2,Independent,Leake,Conway,11,,2
Hillary Clinton,President,,Democrat,Leake,East Carthage,134,,2
Donald J. Trump,President,,Republican,Leake,East Carthage,474,,2
Darrell Castle,President,,Constitution,Leake,East Carthage,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Leake,East Carthage,0,,2
Jim Hedges,President,,Prohibition,Leake,East Carthage,1,,2
Gary Johnson,President,,Libertarian,Leake,East Carthage,3,,2
Jill Stein,President,,Green,Leake,East Carthage,0,,2
John Bouie ii,U.S.House,2,Republican,Leake,East Carthage,363,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leake,East Carthage,180,,2
Johnny McLeod,U.S.House,2,Reform,Leake,East Carthage,26,,2
Troy Ray,U.S.House,2,Independent,Leake,East Carthage,27,,2
Hillary Clinton,President,,Democrat,Leake,Edinburg,14,,2
Donald J. Trump,President,,Republican,Leake,Edinburg,375,,2
Darrell Castle,President,,Constitution,Leake,Edinburg,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Leake,Edinburg,0,,2
Jim Hedges,President,,Prohibition,Leake,Edinburg,0,,2
Gary Johnson,President,,Libertarian,Leake,Edinburg,2,,2
Jill Stein,President,,Green,Leake,Edinburg,2,,2
John Bouie ii,U.S.House,2,Republican,Leake,Edinburg,294,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leake,Edinburg,52,,2
Johnny McLeod,U.S.House,2,Reform,Leake,Edinburg,22,,2
Troy Ray,U.S.House,2,Independent,Leake,Edinburg,10,,2
Hillary Clinton,President,,Democrat,Leake,Freeny,88,,2
Donald J. Trump,President,,Republican,Leake,Freeny,395,,2
Darrell Castle,President,,Constitution,Leake,Freeny,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Leake,Freeny,0,,2
Jim Hedges,President,,Prohibition,Leake,Freeny,1,,2
Gary Johnson,President,,Libertarian,Leake,Freeny,2,,2
Jill Stein,President,,Green,Leake,Freeny,3,,2
John Bouie ii,U.S.House,2,Republican,Leake,Freeny,296,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leake,Freeny,129,,2
Johnny McLeod,U.S.House,2,Reform,Leake,Freeny,18,,2
Troy Ray,U.S.House,2,Independent,Leake,Freeny,22,,2
Hillary Clinton,President,,Democrat,Leake,Good Hope,119,,2
Donald J. Trump,President,,Republican,Leake,Good Hope,357,,2
Darrell Castle,President,,Constitution,Leake,Good Hope,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Leake,Good Hope,0,,2
Jim Hedges,President,,Prohibition,Leake,Good Hope,1,,2
Gary Johnson,President,,Libertarian,Leake,Good Hope,2,,2
Jill Stein,President,,Green,Leake,Good Hope,0,,2
John Bouie ii,U.S.House,2,Republican,Leake,Good Hope,257,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leake,Good Hope,156,,2
Johnny McLeod,U.S.House,2,Reform,Leake,Good Hope,23,,2
Troy Ray,U.S.House,2,Independent,Leake,Good Hope,31,,2
Hillary Clinton,President,,Democrat,Leake,HARMONY,189,,2
Donald J. Trump,President,,Republican,Leake,HARMONY,103,,2
Darrell Castle,President,,Constitution,Leake,HARMONY,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Leake,HARMONY,0,,2
Jim Hedges,President,,Prohibition,Leake,HARMONY,0,,2
Gary Johnson,President,,Libertarian,Leake,HARMONY,2,,2
Jill Stein,President,,Green,Leake,HARMONY,0,,2
John Bouie ii,U.S.House,2,Republican,Leake,HARMONY,75,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leake,HARMONY,202,,2
Johnny McLeod,U.S.House,2,Reform,Leake,HARMONY,5,,2
Troy Ray,U.S.House,2,Independent,Leake,HARMONY,5,,2
Hillary Clinton,President,,Democrat,Leake,Lena,224,,2
Donald J. Trump,President,,Republican,Leake,Lena,162,,2
Darrell Castle,President,,Constitution,Leake,Lena,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Leake,Lena,1,,2
Jim Hedges,President,,Prohibition,Leake,Lena,0,,2
Gary Johnson,President,,Libertarian,Leake,Lena,2,,2
Jill Stein,President,,Green,Leake,Lena,0,,2
John Bouie ii,U.S.House,2,Republican,Leake,Lena,121,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leake,Lena,224,,2
Johnny McLeod,U.S.House,2,Reform,Leake,Lena,12,,2
Troy Ray,U.S.House,2,Independent,Leake,Lena,14,,2
Hillary Clinton,President,,Democrat,Leake,Madden,93,,2
Donald J. Trump,President,,Republican,Leake,Madden,341,,2
Darrell Castle,President,,Constitution,Leake,Madden,8,,2
Rocky' Roque De La Fuente,President,,American Delta,Leake,Madden,0,,2
Jim Hedges,President,,Prohibition,Leake,Madden,0,,2
Gary Johnson,President,,Libertarian,Leake,Madden,1,,2
Jill Stein,President,,Green,Leake,Madden,0,,2
John Bouie ii,U.S.House,2,Republican,Leake,Madden,264,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leake,Madden,124,,2
Johnny McLeod,U.S.House,2,Reform,Leake,Madden,8,,2
Troy Ray,U.S.House,2,Independent,Leake,Madden,27,,2
Hillary Clinton,President,,Democrat,Leake,North Carthage,267,,2
Donald J. Trump,President,,Republican,Leake,North Carthage,379,,2
Darrell Castle,President,,Constitution,Leake,North Carthage,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Leake,North Carthage,0,,2
Jim Hedges,President,,Prohibition,Leake,North Carthage,0,,2
Gary Johnson,President,,Libertarian,Leake,North Carthage,4,,2
Jill Stein,President,,Green,Leake,North Carthage,1,,2
John Bouie ii,U.S.House,2,Republican,Leake,North Carthage,297,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leake,North Carthage,305,,2
Johnny McLeod,U.S.House,2,Reform,Leake,North Carthage,18,,2
Troy Ray,U.S.House,2,Independent,Leake,North Carthage,22,,2
Hillary Clinton,President,,Democrat,Leake,Ofahoma,278,,2
Donald J. Trump,President,,Republican,Leake,Ofahoma,39,,2
Darrell Castle,President,,Constitution,Leake,Ofahoma,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Leake,Ofahoma,0,,2
Jim Hedges,President,,Prohibition,Leake,Ofahoma,0,,2
Gary Johnson,President,,Libertarian,Leake,Ofahoma,1,,2
Jill Stein,President,,Green,Leake,Ofahoma,4,,2
John Bouie ii,U.S.House,2,Republican,Leake,Ofahoma,36,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leake,Ofahoma,278,,2
Johnny McLeod,U.S.House,2,Reform,Leake,Ofahoma,1,,2
Troy Ray,U.S.House,2,Independent,Leake,Ofahoma,1,,2
Hillary Clinton,President,,Democrat,Leake,Renfroe,51,,2
Donald J. Trump,President,,Republican,Leake,Renfroe,258,,2
Darrell Castle,President,,Constitution,Leake,Renfroe,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Leake,Renfroe,0,,2
Jim Hedges,President,,Prohibition,Leake,Renfroe,1,,2
Gary Johnson,President,,Libertarian,Leake,Renfroe,2,,2
Jill Stein,President,,Green,Leake,Renfroe,1,,2
John Bouie ii,U.S.House,2,Republican,Leake,Renfroe,176,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leake,Renfroe,89,,2
Johnny McLeod,U.S.House,2,Reform,Leake,Renfroe,14,,2
Troy Ray,U.S.House,2,Independent,Leake,Renfroe,16,,2
Hillary Clinton,President,,Democrat,Leake,Salem,20,,3
Donald J. Trump,President,,Republican,Leake,Salem,295,,3
Darrell Castle,President,,Constitution,Leake,Salem,1,,3
Rocky' Roque De La Fuente,President,,American Delta,Leake,Salem,0,,3
Jim Hedges,President,,Prohibition,Leake,Salem,0,,3
Gary Johnson,President,,Libertarian,Leake,Salem,1,,3
Jill Stein,President,,Green,Leake,Salem,0,,3
John Bouie ii,U.S.House,2,Republican,Leake,Salem,223,,3
Bennie G. Thompson,U.S.House,2,Democrat,Leake,Salem,41,,3
Johnny McLeod,U.S.House,2,Reform,Leake,Salem,15,,3
Troy Ray,U.S.House,2,Independent,Leake,Salem,12,,3
Hillary Clinton,President,,Democrat,Leake,Singleton,174,,3
Donald J. Trump,President,,Republican,Leake,Singleton,405,,3
Darrell Castle,President,,Constitution,Leake,Singleton,4,,3
Rocky' Roque De La Fuente,President,,American Delta,Leake,Singleton,0,,3
Jim Hedges,President,,Prohibition,Leake,Singleton,0,,3
Gary Johnson,President,,Libertarian,Leake,Singleton,7,,3
Jill Stein,President,,Green,Leake,Singleton,0,,3
John Bouie ii,U.S.House,2,Republican,Leake,Singleton,330,,3
Bennie G. Thompson,U.S.House,2,Democrat,Leake,Singleton,200,,3
Johnny McLeod,U.S.House,2,Reform,Leake,Singleton,18,,3
Troy Ray,U.S.House,2,Independent,Leake,Singleton,18,,3
Hillary Clinton,President,,Democrat,Leake,South Carthage,101,,3
Donald J. Trump,President,,Republican,Leake,South Carthage,202,,3
Darrell Castle,President,,Constitution,Leake,South Carthage,1,,3
Rocky' Roque De La Fuente,President,,American Delta,Leake,South Carthage,0,,3
Jim Hedges,President,,Prohibition,Leake,South Carthage,0,,3
Gary Johnson,President,,Libertarian,Leake,South Carthage,2,,3
Jill Stein,President,,Green,Leake,South Carthage,0,,3
John Bouie ii,U.S.House,2,Republican,Leake,South Carthage,149,,3
Bennie G. Thompson,U.S.House,2,Democrat,Leake,South Carthage,126,,3
Johnny McLeod,U.S.House,2,Reform,Leake,South Carthage,8,,3
Troy Ray,U.S.House,2,Independent,Leake,South Carthage,13,,3
Hillary Clinton,President,,Democrat,Leake,Sunrise,15,,3
Donald J. Trump,President,,Republican,Leake,Sunrise,307,,3
Darrell Castle,President,,Constitution,Leake,Sunrise,0,,3
Rocky' Roque De La Fuente,President,,American Delta,Leake,Sunrise,0,,3
Jim Hedges,President,,Prohibition,Leake,Sunrise,0,,3
Gary Johnson,President,,Libertarian,Leake,Sunrise,0,,3
Jill Stein,President,,Green,Leake,Sunrise,0,,3
John Bouie ii,U.S.House,2,Republican,Leake,Sunrise,238,,3
Bennie G. Thompson,U.S.House,2,Democrat,Leake,Sunrise,46,,3
Johnny McLeod,U.S.House,2,Reform,Leake,Sunrise,13,,3
Troy Ray,U.S.House,2,Independent,Leake,Sunrise,13,,3
Hillary Clinton,President,,Democrat,Leake,Thomastown,201,,3
Donald J. Trump,President,,Republican,Leake,Thomastown,157,,3
Darrell Castle,President,,Constitution,Leake,Thomastown,0,,3
Rocky' Roque De La Fuente,President,,American Delta,Leake,Thomastown,0,,3
Jim Hedges,President,,Prohibition,Leake,Thomastown,0,,3
Gary Johnson,President,,Libertarian,Leake,Thomastown,1,,3
Jill Stein,President,,Green,Leake,Thomastown,1,,3
John Bouie ii,U.S.House,2,Republican,Leake,Thomastown,113,,3
Bennie G. Thompson,U.S.House,2,Democrat,Leake,Thomastown,214,,3
Johnny McLeod,U.S.House,2,Reform,Leake,Thomastown,7,,3
Troy Ray,U.S.House,2,Independent,Leake,Thomastown,19,,3
Hillary Clinton,President,,Democrat,Leake,Walnut Grove,560,,3
Donald J. Trump,President,,Republican,Leake,Walnut Grove,178,,3
Darrell Castle,President,,Constitution,Leake,Walnut Grove,1,,3
Rocky' Roque De La Fuente,President,,American Delta,Leake,Walnut Grove,1,,3
Jim Hedges,President,,Prohibition,Leake,Walnut Grove,0,,3
Gary Johnson,President,,Libertarian,Leake,Walnut Grove,2,,3
Jill Stein,President,,Green,Leake,Walnut Grove,0,,3
John Bouie ii,U.S.House,2,Republican,Leake,Walnut Grove,126,,3
Bennie G. Thompson,U.S.House,2,Democrat,Leake,Walnut Grove,571,,3
Johnny McLeod,U.S.House,2,Reform,Leake,Walnut Grove,12,,3
Troy Ray,U.S.House,2,Independent,Leake,Walnut Grove,22,,3
Hillary Clinton,President,,Democrat,Leake,West Carthage,585,,3
Donald J. Trump,President,,Republican,Leake,West Carthage,131,,3
Darrell Castle,President,,Constitution,Leake,West Carthage,1,,3
Rocky' Roque De La Fuente,President,,American Delta,Leake,West Carthage,0,,3
Jim Hedges,President,,Prohibition,Leake,West Carthage,0,,3
Gary Johnson,President,,Libertarian,Leake,West Carthage,3,,3
Jill Stein,President,,Green,Leake,West Carthage,0,,3
John Bouie ii,U.S.House,2,Republican,Leake,West Carthage,100,,3
Bennie G. Thompson,U.S.House,2,Democrat,Leake,West Carthage,603,,3
Johnny McLeod,U.S.House,2,Reform,Leake,West Carthage,7,,3
Troy Ray,U.S.House,2,Independent,Leake,West Carthage,11,,3
Hillary Clinton,President,,Democrat,Leake,Wiggins,215,,3
Donald J. Trump,President,,Republican,Leake,Wiggins,113,,3
Darrell Castle,President,,Constitution,Leake,Wiggins,1,,3
Rocky' Roque De La Fuente,President,,American Delta,Leake,Wiggins,0,,3
Jim Hedges,President,,Prohibition,Leake,Wiggins,0,,3
Gary Johnson,President,,Libertarian,Leake,Wiggins,1,,3
Jill Stein,President,,Green,Leake,Wiggins,1,,3
John Bouie ii,U.S.House,2,Republican,Leake,Wiggins,79,,3
Bennie G. Thompson,U.S.House,2,Democrat,Leake,Wiggins,236,,3
Johnny McLeod,U.S.House,2,Reform,Leake,Wiggins,6,,3
Troy Ray,U.S.House,2,Independent,Leake,Wiggins,7,,3
Hillary Clinton,President,,Democrat,Leake,,3584,,3
Donald J. Trump,President,,Republican,Leake,,4782,TRUE,3
Darrell Castle,President,,Constitution,Leake,,24,,3
Rocky' Roque De La Fuente,President,,American Delta,Leake,,2,,3
Jim Hedges,President,,Prohibition,Leake,,4,,3
Gary Johnson,President,,Libertarian,Leake,,40,,3
Jill Stein,President,,Green,Leake,,13,,3
John Bouie ii,U.S.House,2,Republican,Leake,,3625,,3
Bennie G. Thompson,U.S.House,2,Democrat,Leake,,4041,TRUE,3
Johnny McLeod,U.S.House,2,Reform,Leake,,239,,3
Troy Ray,U.S.House,2,Independent,Leake,,301,,3
