page,candidate,office,district,party,county,precinct,votes,winner,,,,,,
2,Jeb Bush,President,,Republican,Yazoo,3-1 West,0,,,,,,,
2,Ben Carson,President,,Republican,Yazoo,3-1 West,0,,,,,,,
2,Chris Christie,President,,Republican,Yazoo,3-1 West,0,,,,,,,
2,Ted Cruz,President,,Republican,Yazoo,3-1 West,0,,,,,,,
2,Carly Florina,President,,Republican,Yazoo,3-1 West,0,,,,,,,
2,Lindsey Graham,President,,Republican,Yazoo,3-1 West,0,,,,,,,
2,Mike Huckabee,President,,Republican,Yazoo,3-1 West,0,,,,,,,
2,John R. Kasich,President,,Republican,Yazoo,3-1 West,0,,,,,,,
2,George Pataki,President,,Republican,Yazoo,3-1 West,0,,,,,,,
2,Rand Paul,President,,Republican,Yazoo,3-1 West,0,,,,,,,
2,Marco Rubio,President,,Republican,Yazoo,3-1 West,0,,,,,,,
2,Rick Santorum,President,,Republican,Yazoo,3-1 West,0,,,,,,,
2,Donald J. Trump,President,,Republican,Yazoo,3-1 West,0,,,,,,,
2,Hillary Clinton,President,,Democrat,Yazoo,3-1 West,124,,,,,,,
2,"Roque ""Rocky"" De Le Fuente",President,,Democrat,Yazoo,3-1 West,0,,,,,,,
2,Martin O'Mailey,President,,Democrat,Yazoo,3-1 West,0,,,,,,,
2,Bernie Sanders,President,,Democrat,Yazoo,3-1 West,9,,,,,,,
2,Willie Wilson,President,,Democrat,Yazoo,3-1 West,0,,,,,,,
2,John Bouie II,U.S. House,2,Republican,Yazoo,3-1 West,0,,,,,,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,3-1 West,130,,,,,,,
2,Jeb Bush,President,,Republican,Yazoo,3-2 West,1,,,,,,,
2,Ben Carson,President,,Republican,Yazoo,3-2 West,0,,,,,,,
2,Chris Christie,President,,Republican,Yazoo,3-2 West,0,,,,,,,
2,Ted Cruz,President,,Republican,Yazoo,3-2 West,15,,,,,,,
2,Carly Florina,President,,Republican,Yazoo,3-2 West,0,,,,,,,
2,Lindsey Graham,President,,Republican,Yazoo,3-2 West,0,,,,,,,
2,Mike Huckabee,President,,Republican,Yazoo,3-2 West,0,,,,,,,
2,John R. Kasich,President,,Republican,Yazoo,3-2 West,9,,,,,,,
2,George Pataki,President,,Republican,Yazoo,3-2 West,0,,,,,,,
2,Rand Paul,President,,Republican,Yazoo,3-2 West,0,,,,,,,
2,Marco Rubio,President,,Republican,Yazoo,3-2 West,4,,,,,,,
2,Rick Santorum,President,,Republican,Yazoo,3-2 West,0,,,,,,,
2,Donald J. Trump,President,,Republican,Yazoo,3-2 West,29,,,,,,,
2,Hillary Clinton,President,,Democrat,Yazoo,3-2 West,184,,,,,,,
2,"Roque ""Rocky"" De Le Fuente",President,,Democrat,Yazoo,3-2 West,0,,,,,,,
2,Martin O'Mailey,President,,Democrat,Yazoo,3-2 West,0,,,,,,,
2,Bernie Sanders,President,,Democrat,Yazoo,3-2 West,22,,,,,,,
2,Willie Wilson,President,,Democrat,Yazoo,3-2 West,2,,,,,,,
2,John Bouie II,U.S. House,2,Republican,Yazoo,3-2 West,43,,,,,,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,3-2 West,192,,,,,,,
2,Jeb Bush,President,,Republican,Yazoo,3-4 South,0,,,,,,,
2,Ben Carson,President,,Republican,Yazoo,3-4 South,1,,,,,,,
2,Chris Christie,President,,Republican,Yazoo,3-4 South,1,,,,,,,
2,Ted Cruz,President,,Republican,Yazoo,3-4 South,28,,,,,,,
2,Carly Florina,President,,Republican,Yazoo,3-4 South,0,,,,,,,
2,Lindsey Graham,President,,Republican,Yazoo,3-4 South,0,,,,,,,
2,Mike Huckabee,President,,Republican,Yazoo,3-4 South,0,,,,,,,
2,John R. Kasich,President,,Republican,Yazoo,3-4 South,4,,,,,,,
2,George Pataki,President,,Republican,Yazoo,3-4 South,0,,,,,,,
2,Rand Paul,President,,Republican,Yazoo,3-4 South,1,,,,,,,
2,Marco Rubio,President,,Republican,Yazoo,3-4 South,7,,,,,,,
2,Rick Santorum,President,,Republican,Yazoo,3-4 South,0,,,,,,,
2,Donald J. Trump,President,,Republican,Yazoo,3-4 South,61,,,,,,,
2,Hillary Clinton,President,,Democrat,Yazoo,3-4 South,91,,,,,,,
2,"Roque ""Rocky"" De Le Fuente",President,,Democrat,Yazoo,3-4 South,0,,,,,,,
2,Martin O'Mailey,President,,Democrat,Yazoo,3-4 South,0,,,,,,,
2,Bernie Sanders,President,,Democrat,Yazoo,3-4 South,7,,,,,,,
2,Willie Wilson,President,,Democrat,Yazoo,3-4 South,0,,,,,,,
2,John Bouie II,U.S. House,2,Republican,Yazoo,3-4 South,74,,,,,,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,3-4 South,93,,,,,,,
2,Jeb Bush,President,,Republican,Yazoo,Benton,1,,,,,,,
2,Ben Carson,President,,Republican,Yazoo,Benton,5,,,,,,,
2,Chris Christie,President,,Republican,Yazoo,Benton,0,,,,,,,
2,Ted Cruz,President,,Republican,Yazoo,Benton,84,,,,,,,
2,Carly Florina,President,,Republican,Yazoo,Benton,0,,,,,,,
