candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Covington,Collins,706,,2
Donald J. Trump,President,,Republican,Covington,Collins,718,,2
Darrell Castle,President,,Constitution,Covington,Collins,6,,2
Rocky' Roque De La Fuente,President,,American Delta,Covington,Collins,0,,2
Jim Hedges,President,,Prohibition,Covington,Collins,2,,2
Gary Johnson,President,,Libertarian,Covington,Collins,12,,2
Jill Stein,President,,Green,Covington,Collins,4,,2
Gregg Harper,U.S. House,3,Republican,Covington,Collins,768,,2
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Collins,589,,2
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Collins,48,,2
Lajena Sheets,U.S. House,3,Reform,Covington,Collins,19,,2
Hillary Clinton,President,,Democrat,Covington,Dry Creek,270,,2
Donald J. Trump,President,,Republican,Covington,Dry Creek,89,,2
Darrell Castle,President,,Constitution,Covington,Dry Creek,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Covington,Dry Creek,0,,2
Jim Hedges,President,,Prohibition,Covington,Dry Creek,0,,2
Gary Johnson,President,,Libertarian,Covington,Dry Creek,0,,2
Jill Stein,President,,Green,Covington,Dry Creek,0,,2
Gregg Harper,U.S. House,3,Republican,Covington,Dry Creek,111,,2
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Dry Creek,234,,2
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Dry Creek,4,,2
Lajena Sheets,U.S. House,3,Reform,Covington,Dry Creek,4,,2
Hillary Clinton,President,,Democrat,Covington,Gilmer,395,,2
Donald J. Trump,President,,Republican,Covington,Gilmer,39,,2
Darrell Castle,President,,Constitution,Covington,Gilmer,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Covington,Gilmer,1,,2
Jim Hedges,President,,Prohibition,Covington,Gilmer,0,,2
Gary Johnson,President,,Libertarian,Covington,Gilmer,0,,2
Jill Stein,President,,Green,Covington,Gilmer,0,,2
Gregg Harper,U.S. House,3,Republican,Covington,Gilmer,89,,2
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Gilmer,330,,2
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Gilmer,8,,2
Lajena Sheets,U.S. House,3,Reform,Covington,Gilmer,5,,2
Hillary Clinton,President,,Democrat,Covington,Lone Star / Black Jack,65,,2
Donald J. Trump,President,,Republican,Covington,Lone Star / Black Jack,172,,2
Darrell Castle,President,,Constitution,Covington,Lone Star / Black Jack,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Covington,Lone Star / Black Jack,0,,2
Jim Hedges,President,,Prohibition,Covington,Lone Star / Black Jack,0,,2
Gary Johnson,President,,Libertarian,Covington,Lone Star / Black Jack,0,,2
Jill Stein,President,,Green,Covington,Lone Star / Black Jack,0,,2
Gregg Harper,U.S. House,3,Republican,Covington,Lone Star / Black Jack,169,,2
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Lone Star / Black Jack,57,,2
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Lone Star / Black Jack,5,,2
Lajena Sheets,U.S. House,3,Reform,Covington,Lone Star / Black Jack,0,,2
Hillary Clinton,President,,Democrat,Covington,Mitchell,8,,2
Donald J. Trump,President,,Republican,Covington,Mitchell,155,,2
Darrell Castle,President,,Constitution,Covington,Mitchell,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Covington,Mitchell,0,,2
Jim Hedges,President,,Prohibition,Covington,Mitchell,0,,2
Gary Johnson,President,,Libertarian,Covington,Mitchell,0,,2
Jill Stein,President,,Green,Covington,Mitchell,1,,2
Gregg Harper,U.S. House,3,Republican,Covington,Mitchell,145,,2
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Mitchell,12,,2
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Mitchell,6,,2
Lajena Sheets,U.S. House,3,Reform,Covington,Mitchell,0,,2
Hillary Clinton,President,,Democrat,Covington,Mt Olive,565,,2
Donald J. Trump,President,,Republican,Covington,Mt Olive,483,,2
Darrell Castle,President,,Constitution,Covington,Mt Olive,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Covington,Mt Olive,1,,2
Jim Hedges,President,,Prohibition,Covington,Mt Olive,0,,2
Gary Johnson,President,,Libertarian,Covington,Mt Olive,6,,2
Jill Stein,President,,Green,Covington,Mt Olive,1,,2
Gregg Harper,U.S. House,3,Republican,Covington,Mt Olive,498,,2
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Mt Olive,467,,2
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Mt Olive,31,,2
Lajena Sheets,U.S. House,3,Reform,Covington,Mt Olive,9,,2
Hillary Clinton,President,,Democrat,Covington,Okahay,507,,2
Donald J. Trump,President,,Republican,Covington,Okahay,81,,2
Darrell Castle,President,,Constitution,Covington,Okahay,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Covington,Okahay,0,,2
Jim Hedges,President,,Prohibition,Covington,Okahay,0,,2
