page,candidate,office,district,party,county,precinct,votes,winner,,,,,,,,,,,,,,,,,,,,,,,2
2,Jeb Bush,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,24
2,Ben Carson,President,,Republican,Jefferson Davis,Bassfield 26,4,,,,,,,,,,,,,,,,,,,,,,,,3
2,Chris Christie,President,,Republican,Jefferson Davis,Bassfield 26,1,,,,,,,,,,,,,,,,,,,,,,,,418
2,Ted Cruz,President,,Republican,Jefferson Davis,Bassfield 26,26,,,,,,,,,,,,,,,,,,,,,,,,0
2,Carly Florina,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,0
2,Lindsey Graham,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,1
2,Mike Huckabee,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,70
2,John R. Kasich,President,,Republican,Jefferson Davis,Bassfield 26,4,,,,,,,,,,,,,,,,,,,,,,,,0
2,George Pataki,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,0
2,Rand Paul,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,54
2,Marco Rubio,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,2
2,Rick Santorum,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,764
2,Donald J. Trump,President,,Republican,Jefferson Davis,Bassfield 26,59,,,,,,,,,,,,,,,,,,,,,,,,1806
2,Hillary Clinton,President,,Democrat,Jefferson Davis,Bassfield 26,77,,,,,,,,,,,,,,,,,,,,,,,,0
2,"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,5
2,Martin O'Mailey,President,,Democrat,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,190
