candidate,office,district,party,county,precinct,votes,winner ,page
Hillary Clinton,President,,Democrat,Lowndess,Airbase,440,,2
Donald J. Trump,President,,Republican,Lowndess,Airbase,482,,2
Darrell Castle,President,,Constitution,Lowndess,Airbase,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Lowndess,Airbase,1,,2
Jim Hedges,President,,Prohibition,Lowndess,Airbase,0,,2
Gary Johnson,President,,Libertarian,Lowndess,Airbase,22,,2
Jill Stein,President,,Green,Lowndess,Airbase,1,,2
Trent Kelly,U.S.House,1,Republican,Lowndess,Airbase,507,,2
Jacob Owens,U.S.House,1,Democrat,Lowndess,Airbase,380,,2
Cathy L. Toole,U.S.House,1,Reform,Lowndess,Airbase,10,,2
Chase Wilson,U.S.House,1,Libertarian,Lowndess,Airbase,19,,2
Hillary Clinton,President,,Democrat,Lowndess,Artesia,273,,2
Donald J. Trump,President,,Republican,Lowndess,Artesia,56,,2
Darrell Castle,President,,Constitution,Lowndess,Artesia,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Lowndess,Artesia,0,,2
Jim Hedges,President,,Prohibition,Lowndess,Artesia,0,,2
Gary Johnson,President,,Libertarian,Lowndess,Artesia,1,,2
Jill Stein,President,,Green,Lowndess,Artesia,1,,2
Trent Kelly,U.S.House,1,Republican,Lowndess,Artesia,70,,2
Jacob Owens,U.S.House,1,Democrat,Lowndess,Artesia,226,,2
Cathy L. Toole,U.S.House,1,Reform,Lowndess,Artesia,5,,2
Chase Wilson,U.S.House,1,Libertarian,Lowndess,Artesia,4,,2
Hillary Clinton,President,,Democrat,Lowndess,Brandon,648,,2
Donald J. Trump,President,,Republican,Lowndess,Brandon,854,,2
Darrell Castle,President,,Constitution,Lowndess,Brandon,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Lowndess,Brandon,0,,2
Jim Hedges,President,,Prohibition,Lowndess,Brandon,2,,2
Gary Johnson,President,,Libertarian,Lowndess,Brandon,23,,2
Jill Stein,President,,Green,Lowndess,Brandon,4,,2
Trent Kelly,U.S.House,1,Republican,Lowndess,Brandon,885,,2
Jacob Owens,U.S.House,1,Democrat,Lowndess,Brandon,545,,2
Cathy L. Toole,U.S.House,1,Reform,Lowndess,Brandon,21,,2
Chase Wilson,U.S.House,1,Libertarian,Lowndess,Brandon,37,,2
Hillary Clinton,President,,Democrat,Lowndess,Caledonia,345,,2
Donald J. Trump,President,,Republican,Lowndess,Caledonia,2164,,2
Darrell Castle,President,,Constitution,Lowndess,Caledonia,11,,2
Rocky' Roque De La Fuente,President,,American Delta,Lowndess,Caledonia,1,,2
Jim Hedges,President,,Prohibition,Lowndess,Caledonia,1,,2
Gary Johnson,President,,Libertarian,Lowndess,Caledonia,40,,2
Jill Stein,President,,Green,Lowndess,Caledonia,4,,2
