candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Benton,Ashland Precinct District 3,366,,2
Donald J. Trump,President,,Republican,Benton,Ashland Precinct District 3,469,,2
Darrell Castle,President,,Constitution,Benton,Ashland Precinct District 3,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Benton,Ashland Precinct District 3,0,,2
Jim Hedges,President,,Prohibition,Benton,Ashland Precinct District 3,0,,2
Gary Johnson,President,,Libertarian,Benton,Ashland Precinct District 3,12,,2
Jill Stein,President,,Green,Benton,Ashland Precinct District 3,1,,2
Trent Kelly,U.S.House,1,Republican,Benton,Ashland Precinct District 3,468,,2
Jacob Owens,U.S.House,1,Democrat,Benton,Ashland Precinct District 3,284,,2
Cathy L. Toole,U.S.House,1,Reform,Benton,Ashland Precinct District 3,21,,2
Chase Wilson,U.S.House,1,Libertarian,Benton,Ashland Precinct District 3,23,,2
Hillary Clinton,President,,Democrat,Benton,Canaan Precinct District 1,475,,2
Donald J. Trump,President,,Republican,Benton,Canaan Precinct District 1,299,,2
Darrell Castle,President,,Constitution,Benton,Canaan Precinct District 1,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Benton,Canaan Precinct District 1,0,,2
Jim Hedges,President,,Prohibition,Benton,Canaan Precinct District 1,0,,2
Gary Johnson,President,,Libertarian,Benton,Canaan Precinct District 1,2,,2
Jill Stein,President,,Green,Benton,Canaan Precinct District 1,1,,2
Trent Kelly,U.S.House,1,Republican,Benton,Canaan Precinct District 1,304,,2
Jacob Owens,U.S.House,1,Democrat,Benton,Canaan Precinct District 1,374,,2
Cathy L. Toole,U.S.House,1,Reform,Benton,Canaan Precinct District 1,33,,2
Chase Wilson,U.S.House,1,Libertarian,Benton,Canaan Precinct District 1,14,,2
Hillary Clinton,President,,Democrat,Benton,Floyd Precinct Dist 4,179,,2
Donald J. Trump,President,,Republican,Benton,Floyd Precinct Dist 4,573,,2
Darrell Castle,President,,Constitution,Benton,Floyd Precinct Dist 4,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Benton,Floyd Precinct Dist 4,0,,2
Jim Hedges,President,,Prohibition,Benton,Floyd Precinct Dist 4,0,,2
Gary Johnson,President,,Libertarian,Benton,Floyd Precinct Dist 4,8,,2
Jill Stein,President,,Green,Benton,Floyd Precinct Dist 4,3,,2
Trent Kelly,U.S.House,1,Republican,Benton,Floyd Precinct Dist 4,542,,2
Jacob Owens,U.S.House,1,Democrat,Benton,Floyd Precinct Dist 4,146,,2
Cathy L. Toole,U.S.House,1,Reform,Benton,Floyd Precinct Dist 4,7,,2
Chase Wilson,U.S.House,1,Libertarian,Benton,Floyd Precinct Dist 4,25,,2
Hillary Clinton,President,,Democrat,Benton,Hickory Flat Prec Dist 5,105,,2
Donald J. Trump,President,,Republican,Benton,Hickory Flat Prec Dist 5,724,,2
Darrell Castle,President,,Constitution,Benton,Hickory Flat Prec Dist 5,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Benton,Hickory Flat Prec Dist 5,1,,2
Jim Hedges,President,,Prohibition,Benton,Hickory Flat Prec Dist 5,0,,2
Gary Johnson,President,,Libertarian,Benton,Hickory Flat Prec Dist 5,3,,2
Jill Stein,President,,Green,Benton,Hickory Flat Prec Dist 5,2,,2
Trent Kelly,U.S.House,1,Republican,Benton,Hickory Flat Prec Dist 5,638,,2
Jacob Owens,U.S.House,1,Democrat,Benton,Hickory Flat Prec Dist 5,108,,2
Cathy L. Toole,U.S.House,1,Reform,Benton,Hickory Flat Prec Dist 5,18,,2
Chase Wilson,U.S.House,1,Libertarian,Benton,Hickory Flat Prec Dist 5,14,,2
Hillary Clinton,President,,Democrat,Benton,Lamar Precinct District 2,594,,2
Donald J. Trump,President,,Republican,Benton,Lamar Precinct District 2,186,,2
Darrell Castle,President,,Constitution,Benton,Lamar Precinct District 2,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Benton,Lamar Precinct District 2,0,,2
Jim Hedges,President,,Prohibition,Benton,Lamar Precinct District 2,0,,2
Gary Johnson,President,,Libertarian,Benton,Lamar Precinct District 2,3,,2
Jill Stein,President,,Green,Benton,Lamar Precinct District 2,2,,2
Trent Kelly,U.S.House,1,Republican,Benton,Lamar Precinct District 2,216,,2
Jacob Owens,U.S.House,1,Democrat,Benton,Lamar Precinct District 2,485,,2
Cathy L. Toole,U.S.House,1,Reform,Benton,Lamar Precinct District 2,27,,2
Chase Wilson,U.S.House,1,Libertarian,Benton,Lamar Precinct District 2,13,,2
Hillary Clinton,President,,Democrat,Benton,,1719,,2
Donald J. Trump,President,,Republican,Benton,,2251,TRUE,2
Darrell Castle,President,,Constitution,Benton,,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Benton,,1,,2
Jim Hedges,President,,Prohibition,Benton,,0,,2
Gary Johnson,President,,Libertarian,Benton,,28,,2
Jill Stein,President,,Green,Benton,,9,,2
Trent Kelly,U.S.House,1,Republican,Benton,,2168,TRUE,2
Jacob Owens,U.S.House,1,Democrat,Benton,,1397,,2
Cathy L. Toole,U.S.House,1,Reform,Benton,,106,,2
Chase Wilson,U.S.House,1,Libertarian,Benton,,89,,2
