candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Monroe,1 Amory First,82,,2
Donald J. Trump,President,,Republican,Monroe,1 Amory First,564,,2
Darrell Castle,President,,Constitution,Monroe,1 Amory First,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Monroe,1 Amory First,0,,2
Jim Hedges,President,,Prohibition,Monroe,1 Amory First,3,,2
Gary Johnson,President,,Libertarian,Monroe,1 Amory First,2,,2
Jill Stein,President,,Green,Monroe,1 Amory First,1,,2
Trent Kelly,U.S.House,1,Republican,Monroe,1 Amory First,576,,2
Jacob Owens,U.S.House,1,Democrat,Monroe,1 Amory First,51,,2
Cathy L. Toole,U.S.House,1,Reform,Monroe,1 Amory First,3,,2
Chase Wilson,U.S.House,1,Libertarian,Monroe,1 Amory First,6,,2
Hillary Clinton,President,,Democrat,Monroe,1 Bigbee,8,,2
Donald J. Trump,President,,Republican,Monroe,1 Bigbee,152,,2
Darrell Castle,President,,Constitution,Monroe,1 Bigbee,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Monroe,1 Bigbee,0,,2
Jim Hedges,President,,Prohibition,Monroe,1 Bigbee,0,,2
Gary Johnson,President,,Libertarian,Monroe,1 Bigbee,0,,2
Jill Stein,President,,Green,Monroe,1 Bigbee,1,,2
Trent Kelly,U.S.House,1,Republican,Monroe,1 Bigbee,136,,2
Jacob Owens,U.S.House,1,Democrat,Monroe,1 Bigbee,12,,2
Cathy L. Toole,U.S.House,1,Reform,Monroe,1 Bigbee,1,,2
Chase Wilson,U.S.House,1,Libertarian,Monroe,1 Bigbee,0,,2
Hillary Clinton,President,,Democrat,Monroe,1 Boyds,29,,2
Donald J. Trump,President,,Republican,Monroe,1 Boyds,310,,2
Darrell Castle,President,,Constitution,Monroe,1 Boyds,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Monroe,1 Boyds,1,,2
Jim Hedges,President,,Prohibition,Monroe,1 Boyds,0,,2
Gary Johnson,President,,Libertarian,Monroe,1 Boyds,2,,2
Jill Stein,President,,Green,Monroe,1 Boyds,0,,2
Trent Kelly,U.S.House,1,Republican,Monroe,1 Boyds,309,,2
