candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Bolivar,Benoit,237,,2
Donald J. Trump,President,,Republican,Bolivar,Benoit,81,,2
Darrell Castle,President,,Constitution,Bolivar,Benoit,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,Benoit,0,,2
Jim Hedges,President,,Prohibition,Bolivar,Benoit,1,,2
Gary Johnson,President,,Libertarian,Bolivar,Benoit,0,,2
Jill Stein,President,,Green,Bolivar,Benoit,0,,2
John Bouie ii,U.S.House,2,Republican,Bolivar,Benoit,60,,2
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,Benoit,235,,2
Johnny McLeod,U.S.House,2,Reform,Bolivar,Benoit,3,,2
Troy Ray,U.S.House,2,Independent,Bolivar,Benoit,7,,2
Hillary Clinton,President,,Democrat,Bolivar,Beulah,154,,2
Donald J. Trump,President,,Republican,Bolivar,Beulah,19,,2
Darrell Castle,President,,Constitution,Bolivar,Beulah,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,Beulah,0,,2
Jim Hedges,President,,Prohibition,Bolivar,Beulah,0,,2
Gary Johnson,President,,Libertarian,Bolivar,Beulah,0,,2
Jill Stein,President,,Green,Bolivar,Beulah,0,,2
John Bouie ii,U.S.House,2,Republican,Bolivar,Beulah,14,,2
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,Beulah,155,,2
Johnny McLeod,U.S.House,2,Reform,Bolivar,Beulah,0,,2
Troy Ray,U.S.House,2,Independent,Bolivar,Beulah,0,,2
Hillary Clinton,President,,Democrat,Bolivar,Boyle,177,,2
Donald J. Trump,President,,Republican,Bolivar,Boyle,506,,2
Darrell Castle,President,,Constitution,Bolivar,Boyle,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,Boyle,1,,2
Jim Hedges,President,,Prohibition,Bolivar,Boyle,1,,2
Gary Johnson,President,,Libertarian,Bolivar,Boyle,4,,2
Jill Stein,President,,Green,Bolivar,Boyle,1,,2
John Bouie ii,U.S.House,2,Republican,Bolivar,Boyle,375,,2
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,Boyle,244,,2
Johnny McLeod,U.S.House,2,Reform,Bolivar,Boyle,8,,2
Troy Ray,U.S.House,2,Independent,Bolivar,Boyle,32,,2
Hillary Clinton,President,,Democrat,Bolivar,Choctaw,125,,2
Donald J. Trump,President,,Republican,Bolivar,Choctaw,27,,2
Darrell Castle,President,,Constitution,Bolivar,Choctaw,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,Choctaw,0,,2
Jim Hedges,President,,Prohibition,Bolivar,Choctaw,0,,2
Gary Johnson,President,,Libertarian,Bolivar,Choctaw,1,,2
Jill Stein,President,,Green,Bolivar,Choctaw,1,,2
John Bouie ii,U.S.House,2,Republican,Bolivar,Choctaw,21,,2
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,Choctaw,129,,2
Johnny McLeod,U.S.House,2,Reform,Bolivar,Choctaw,1,,2
Troy Ray,U.S.House,2,Independent,Bolivar,Choctaw,2,,2
Hillary Clinton,President,,Democrat,Bolivar,Cleveland Courthouse,60,,2
Donald J. Trump,President,,Republican,Bolivar,Cleveland Courthouse,161,,2
Darrell Castle,President,,Constitution,Bolivar,Cleveland Courthouse,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,Cleveland Courthouse,0,,2
Jim Hedges,President,,Prohibition,Bolivar,Cleveland Courthouse,0,,2
Gary Johnson,President,,Libertarian,Bolivar,Cleveland Courthouse,9,,2
Jill Stein,President,,Green,Bolivar,Cleveland Courthouse,4,,2
John Bouie ii,U.S.House,2,Republican,Bolivar,Cleveland Courthouse,140,,2
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,Cleveland Courthouse,73,,2
Johnny McLeod,U.S.House,2,Reform,Bolivar,Cleveland Courthouse,5,,2
Troy Ray,U.S.House,2,Independent,Bolivar,Cleveland Courthouse,13,,2
Hillary Clinton,President,,Democrat,Bolivar,Duncan-Alligator,174,,2
Donald J. Trump,President,,Republican,Bolivar,Duncan-Alligator,55,,2
Darrell Castle,President,,Constitution,Bolivar,Duncan-Alligator,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,Duncan-Alligator,0,,2
Jim Hedges,President,,Prohibition,Bolivar,Duncan-Alligator,1,,2
Gary Johnson,President,,Libertarian,Bolivar,Duncan-Alligator,1,,2
Jill Stein,President,,Green,Bolivar,Duncan-Alligator,1,,2
John Bouie ii,U.S.House,2,Republican,Bolivar,Duncan-Alligator,44,,2
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,Duncan-Alligator,180,,2
Johnny McLeod,U.S.House,2,Reform,Bolivar,Duncan-Alligator,2,,2
Troy Ray,U.S.House,2,Independent,Bolivar,Duncan-Alligator,1,,2
Hillary Clinton,President,,Democrat,Bolivar,East Central Cleveland,418,,2
Donald J. Trump,President,,Republican,Bolivar,East Central Cleveland,4,,2
Darrell Castle,President,,Constitution,Bolivar,East Central Cleveland,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,East Central Cleveland,0,,2
Jim Hedges,President,,Prohibition,Bolivar,East Central Cleveland,0,,2
Gary Johnson,President,,Libertarian,Bolivar,East Central Cleveland,1,,2
Jill Stein,President,,Green,Bolivar,East Central Cleveland,0,,2
John Bouie ii,U.S.House,2,Republican,Bolivar,East Central Cleveland,3,,2
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,East Central Cleveland,416,,2
Johnny McLeod,U.S.House,2,Reform,Bolivar,East Central Cleveland,3,,2
Troy Ray,U.S.House,2,Independent,Bolivar,East Central Cleveland,1,,2
Hillary Clinton,President,,Democrat,Bolivar,East Cleveland,921,,2
Donald J. Trump,President,,Republican,Bolivar,East Cleveland,29,,2
Darrell Castle,President,,Constitution,Bolivar,East Cleveland,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,East Cleveland,1,,2
Jim Hedges,President,,Prohibition,Bolivar,East Cleveland,2,,2
Gary Johnson,President,,Libertarian,Bolivar,East Cleveland,2,,2
Jill Stein,President,,Green,Bolivar,East Cleveland,2,,2
John Bouie ii,U.S.House,2,Republican,Bolivar,East Cleveland,24,,2
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,East Cleveland,922,,2
Johnny McLeod,U.S.House,2,Reform,Bolivar,East Cleveland,5,,2
Troy Ray,U.S.House,2,Independent,Bolivar,East Cleveland,1,,2
Hillary Clinton,President,,Democrat,Bolivar,East Rosedale,492,,2
Donald J. Trump,President,,Republican,Bolivar,East Rosedale,33,,2
Darrell Castle,President,,Constitution,Bolivar,East Rosedale,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,East Rosedale,0,,2
Jim Hedges,President,,Prohibition,Bolivar,East Rosedale,1,,2
Gary Johnson,President,,Libertarian,Bolivar,East Rosedale,0,,2
Jill Stein,President,,Green,Bolivar,East Rosedale,1,,2
John Bouie ii,U.S.House,2,Republican,Bolivar,East Rosedale,24,,2
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,East Rosedale,475,,2
Johnny McLeod,U.S.House,2,Reform,Bolivar,East Rosedale,3,,2
Troy Ray,U.S.House,2,Independent,Bolivar,East Rosedale,9,,2
Hillary Clinton,President,,Democrat,Bolivar,Eastgate,499,,2
Donald J. Trump,President,,Republican,Bolivar,Eastgate,38,,2
Darrell Castle,President,,Constitution,Bolivar,Eastgate,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,Eastgate,0,,2
Jim Hedges,President,,Prohibition,Bolivar,Eastgate,0,,2
Gary Johnson,President,,Libertarian,Bolivar,Eastgate,0,,2
Jill Stein,President,,Green,Bolivar,Eastgate,0,,2
John Bouie ii,U.S.House,2,Republican,Bolivar,Eastgate,26,,2
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,Eastgate,502,,2
Johnny McLeod,U.S.House,2,Reform,Bolivar,Eastgate,2,,2
Troy Ray,U.S.House,2,Independent,Bolivar,Eastgate,3,,2
Hillary Clinton,President,,Democrat,Bolivar,Gunnison,203,,2
Donald J. Trump,President,,Republican,Bolivar,Gunnison,74,,2
Darrell Castle,President,,Constitution,Bolivar,Gunnison,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,Gunnison,1,,2
Jim Hedges,President,,Prohibition,Bolivar,Gunnison,0,,2
Gary Johnson,President,,Libertarian,Bolivar,Gunnison,1,,2
Jill Stein,President,,Green,Bolivar,Gunnison,0,,2
John Bouie ii,U.S.House,2,Republican,Bolivar,Gunnison,56,,2
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,Gunnison,210,,2
Johnny McLeod,U.S.House,2,Reform,Bolivar,Gunnison,4,,2
Troy Ray,U.S.House,2,Independent,Bolivar,Gunnison,2,,2
Hillary Clinton,President,,Democrat,Bolivar,Longshot,22,,3
Donald J. Trump,President,,Republican,Bolivar,Longshot,63,,3
Darrell Castle,President,,Constitution,Bolivar,Longshot,0,,3
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,Longshot,0,,3
Jim Hedges,President,,Prohibition,Bolivar,Longshot,0,,3
Gary Johnson,President,,Libertarian,Bolivar,Longshot,0,,3
Jill Stein,President,,Green,Bolivar,Longshot,0,,3
John Bouie ii,U.S.House,2,Republican,Bolivar,Longshot,47,,3
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,Longshot,31,,3
Johnny McLeod,U.S.House,2,Reform,Bolivar,Longshot,2,,3
Troy Ray,U.S.House,2,Independent,Bolivar,Longshot,4,,3
Hillary Clinton,President,,Democrat,Bolivar,Merigold,157,,3
Donald J. Trump,President,,Republican,Bolivar,Merigold,141,,3
Darrell Castle,President,,Constitution,Bolivar,Merigold,0,,3
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,Merigold,0,,3
Jim Hedges,President,,Prohibition,Bolivar,Merigold,0,,3
Gary Johnson,President,,Libertarian,Bolivar,Merigold,1,,3
Jill Stein,President,,Green,Bolivar,Merigold,1,,3
John Bouie ii,U.S.House,2,Republican,Bolivar,Merigold,113,,3
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,Merigold,163,,3
Johnny McLeod,U.S.House,2,Reform,Bolivar,Merigold,6,,3
Troy Ray,U.S.House,2,Independent,Bolivar,Merigold,10,,3
Hillary Clinton,President,,Democrat,Bolivar,Mound Bayou,1004,,3
Donald J. Trump,President,,Republican,Bolivar,Mound Bayou,74,,3
Darrell Castle,President,,Constitution,Bolivar,Mound Bayou,3,,3
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,Mound Bayou,0,,3
Jim Hedges,President,,Prohibition,Bolivar,Mound Bayou,0,,3
Gary Johnson,President,,Libertarian,Bolivar,Mound Bayou,4,,3
Jill Stein,President,,Green,Bolivar,Mound Bayou,2,,3
John Bouie ii,U.S.House,2,Republican,Bolivar,Mound Bayou,58,,3
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,Mound Bayou,1008,,3
Johnny McLeod,U.S.House,2,Reform,Bolivar,Mound Bayou,2,,3
Troy Ray,U.S.House,2,Independent,Bolivar,Mound Bayou,9,,3
Hillary Clinton,President,,Democrat,Bolivar,North Cleveland,364,,3
Donald J. Trump,President,,Republican,Bolivar,North Cleveland,85,,3
Darrell Castle,President,,Constitution,Bolivar,North Cleveland,1,,3
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,North Cleveland,0,,3
Jim Hedges,President,,Prohibition,Bolivar,North Cleveland,0,,3
Gary Johnson,President,,Libertarian,Bolivar,North Cleveland,6,,3
Jill Stein,President,,Green,Bolivar,North Cleveland,1,,3
John Bouie ii,U.S.House,2,Republican,Bolivar,North Cleveland,64,,3
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,North Cleveland,377,,3
Johnny McLeod,U.S.House,2,Reform,Bolivar,North Cleveland,1,,3
Troy Ray,U.S.House,2,Independent,Bolivar,North Cleveland,4,,3
Hillary Clinton,President,,Democrat,Bolivar,North West Cleveland,117,,3
Donald J. Trump,President,,Republican,Bolivar,North West Cleveland,685,,3
Darrell Castle,President,,Constitution,Bolivar,North West Cleveland,0,,3
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,North West Cleveland,1,,3
Jim Hedges,President,,Prohibition,Bolivar,North West Cleveland,0,,3
Gary Johnson,President,,Libertarian,Bolivar,North West Cleveland,11,,3
Jill Stein,President,,Green,Bolivar,North West Cleveland,3,,3
John Bouie ii,U.S.House,2,Republican,Bolivar,North West Cleveland,531,,3
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,North West Cleveland,196,,3
Johnny McLeod,U.S.House,2,Reform,Bolivar,North West Cleveland,18,,3
Troy Ray,U.S.House,2,Independent,Bolivar,North West Cleveland,39,,3
Hillary Clinton,President,,Democrat,Bolivar,Pace,227,,3
Donald J. Trump,President,,Republican,Bolivar,Pace,63,,3
Darrell Castle,President,,Constitution,Bolivar,Pace,1,,3
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,Pace,0,,3
Jim Hedges,President,,Prohibition,Bolivar,Pace,0,,3
Gary Johnson,President,,Libertarian,Bolivar,Pace,1,,3
Jill Stein,President,,Green,Bolivar,Pace,0,,3
John Bouie ii,U.S.House,2,Republican,Bolivar,Pace,40,,3
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,Pace,232,,3
Johnny McLeod,U.S.House,2,Reform,Bolivar,Pace,5,,3
Troy Ray,U.S.House,2,Independent,Bolivar,Pace,8,,3
Hillary Clinton,President,,Democrat,Bolivar,Renova,231,,3
Donald J. Trump,President,,Republican,Bolivar,Renova,14,,3
Darrell Castle,President,,Constitution,Bolivar,Renova,0,,3
Rocky' Roque De La Fuente,President,,American Delta,Bolivar,Renova,0,,3
Jim Hedges,President,,Prohibition,Bolivar,Renova,0,,3
Gary Johnson,President,,Libertarian,Bolivar,Renova,1,,3
Jill Stein,President,,Green,Bolivar,Renova,1,,3
John Bouie ii,U.S.House,2,Republican,Bolivar,Renova,9,,3
Bennie G. Thompson,U.S.House,2,Democrat,Bolivar,Renova,233,,3
Johnny McLeod,U.S.House,2,Reform,Bolivar,Renova,2,,3
Troy Ray,U.S.House,2,Independent,Bolivar,Renova,2,,3
Hillary Clinton,President,,Democrat,Bolivar,Scott,77,,3
Donald J. Trump,President,,Republican,Bolivar,Scott,72,,3
