candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Jones,ANTIOCH,15,,2
Donald J. Trump,President,,Republican,Jones,ANTIOCH,346,,2
Darrell Castle,President,,Constitution,Jones,ANTIOCH,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Jones,ANTIOCH,1,,2
Jim Hedges,President,,Prohibition,Jones,ANTIOCH,1,,2
Gary Johnson,President,,Libertarian,Jones,ANTIOCH,1,,2
Jill Stein,President,,Green,Jones,ANTIOCH,2,,2
Mark Gladney,U.S.House,4,Democrat,Jones,ANTIOCH,34,,2
Steven Palazzo,U.S.House,4,Republican,Jones,ANTIOCH,309,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jones,ANTIOCH,16,,2
Shawn O'Hara,U.S.House,4,Reform,Jones,ANTIOCH,6,,2
Hillary Clinton,President,,Democrat,Jones,BIG CREEK,23,,2
Donald J. Trump,President,,Republican,Jones,BIG CREEK,384,,2
Darrell Castle,President,,Constitution,Jones,BIG CREEK,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Jones,BIG CREEK,0,,2
Jim Hedges,President,,Prohibition,Jones,BIG CREEK,0,,2
Gary Johnson,President,,Libertarian,Jones,BIG CREEK,4,,2
Jill Stein,President,,Green,Jones,BIG CREEK,1,,2
Mark Gladney,U.S.House,4,Democrat,Jones,BIG CREEK,35,,2
Steven Palazzo,U.S.House,4,Republican,Jones,BIG CREEK,349,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jones,BIG CREEK,22,,2
Shawn O'Hara,U.S.House,4,Reform,Jones,BIG CREEK,6,,2
Hillary Clinton,President,,Democrat,Jones,BLACKWELL,7,,2
Donald J. Trump,President,,Republican,Jones,BLACKWELL,270,,2
Darrell Castle,President,,Constitution,Jones,BLACKWELL,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Jones,BLACKWELL,0,,2
Jim Hedges,President,,Prohibition,Jones,BLACKWELL,0,,2
Gary Johnson,President,,Libertarian,Jones,BLACKWELL,6,,2
Jill Stein,President,,Green,Jones,BLACKWELL,0,,2
Mark Gladney,U.S.House,4,Democrat,Jones,BLACKWELL,11,,2
Steven Palazzo,U.S.House,4,Republican,Jones,BLACKWELL,247,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jones,BLACKWELL,20,,2
Shawn O'Hara,U.S.House,4,Reform,Jones,BLACKWELL,2,,2
Hillary Clinton,President,,Democrat,Jones,CALHOUN,78,,2
Donald J. Trump,President,,Republican,Jones,CALHOUN,1336,,2
Darrell Castle,President,,Constitution,Jones,CALHOUN,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Jones,CALHOUN,1,,2
Jim Hedges,President,,Prohibition,Jones,CALHOUN,0,,2
Gary Johnson,President,,Libertarian,Jones,CALHOUN,9,,2
Jill Stein,President,,Green,Jones,CALHOUN,4,,2
Mark Gladney,U.S.House,4,Democrat,Jones,CALHOUN,90,,2
Steven Palazzo,U.S.House,4,Republican,Jones,CALHOUN,1252,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jones,CALHOUN,52,,2
Shawn O'Hara,U.S.House,4,Reform,Jones,CALHOUN,27,,2
Hillary Clinton,President,,Democrat,Jones,CENTERVILLE,9,,2
Donald J. Trump,President,,Republican,Jones,CENTERVILLE,150,,2
Darrell Castle,President,,Constitution,Jones,CENTERVILLE,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Jones,CENTERVILLE,0,,2
Jim Hedges,President,,Prohibition,Jones,CENTERVILLE,0,,2
Gary Johnson,President,,Libertarian,Jones,CENTERVILLE,1,,2
Jill Stein,President,,Green,Jones,CENTERVILLE,0,,2
Mark Gladney,U.S.House,4,Democrat,Jones,CENTERVILLE,11,,2
Steven Palazzo,U.S.House,4,Republican,Jones,CENTERVILLE,139,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jones,CENTERVILLE,8,,2
Shawn O'Hara,U.S.House,4,Reform,Jones,CENTERVILLE,0,,2
Hillary Clinton,President,,Democrat,Jones,CURRIE,158,,2
Donald J. Trump,President,,Republican,Jones,CURRIE,18,,2
Darrell Castle,President,,Constitution,Jones,CURRIE,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Jones,CURRIE,0,,2
Jim Hedges,President,,Prohibition,Jones,CURRIE,1,,2
Gary Johnson,President,,Libertarian,Jones,CURRIE,1,,2
Jill Stein,President,,Green,Jones,CURRIE,0,,2
Mark Gladney,U.S.House,4,Democrat,Jones,CURRIE,138,,2
Steven Palazzo,U.S.House,4,Republican,Jones,CURRIE,35,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jones,CURRIE,3,,2
Shawn O'Hara,U.S.House,4,Reform,Jones,CURRIE,1,,2
Hillary Clinton,President,,Democrat,Jones,BRATA,195,,2
Donald J. Trump,President,,Republican,Jones,BRATA,159,,2
Darrell Castle,President,,Constitution,Jones,BRATA,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Jones,BRATA,0,,2
Jim Hedges,President,,Prohibition,Jones,BRATA,0,,2
Gary Johnson,President,,Libertarian,Jones,BRATA,4,,2
Jill Stein,President,,Green,Jones,BRATA,0,,2
Mark Gladney,U.S.House,4,Democrat,Jones,BRATA,160,,2
Steven Palazzo,U.S.House,4,Republican,Jones,BRATA,163,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jones,BRATA,21,,2
Shawn O'Hara,U.S.House,4,Reform,Jones,BRATA,4,,2
Hillary Clinton,President,,Democrat,Jones,FIRST ASSEMBLY OF GOD,296,,2
Donald J. Trump,President,,Republican,Jones,FIRST ASSEMBLY OF GOD,337,,2
Darrell Castle,President,,Constitution,Jones,FIRST ASSEMBLY OF GOD,9,,2
Rocky' Roque De La Fuente,President,,American Delta,Jones,FIRST ASSEMBLY OF GOD,1,,2
Jim Hedges,President,,Prohibition,Jones,FIRST ASSEMBLY OF GOD,0,,2
Gary Johnson,President,,Libertarian,Jones,FIRST ASSEMBLY OF GOD,11,,2
Jill Stein,President,,Green,Jones,FIRST ASSEMBLY OF GOD,1,,2
Mark Gladney,U.S.House,4,Democrat,Jones,FIRST ASSEMBLY OF GOD,236,,2
Steven Palazzo,U.S.House,4,Republican,Jones,FIRST ASSEMBLY OF GOD,346,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jones,FIRST ASSEMBLY OF GOD,37,,2
Shawn O'Hara,U.S.House,4,Reform,Jones,FIRST ASSEMBLY OF GOD,21,,2
Hillary Clinton,President,,Democrat,Jones,GEORGE HARRISON,278,,2
Donald J. Trump,President,,Republican,Jones,GEORGE HARRISON,938,,2
Darrell Castle,President,,Constitution,Jones,GEORGE HARRISON,8,,2
Rocky' Roque De La Fuente,President,,American Delta,Jones,GEORGE HARRISON,2,,2
Jim Hedges,President,,Prohibition,Jones,GEORGE HARRISON,0,,2
Gary Johnson,President,,Libertarian,Jones,GEORGE HARRISON,15,,2
Jill Stein,President,,Green,Jones,GEORGE HARRISON,5,,2
Mark Gladney,U.S.House,4,Democrat,Jones,GEORGE HARRISON,253,,2
Steven Palazzo,U.S.House,4,Republican,Jones,GEORGE HARRISON,863,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jones,GEORGE HARRISON,73,,2
Shawn O'Hara,U.S.House,4,Reform,Jones,GEORGE HARRISON,34,,2
Hillary Clinton,President,,Democrat,Jones,GITANO,66,,2
Donald J. Trump,President,,Republican,Jones,GITANO,183,,2
Darrell Castle,President,,Constitution,Jones,GITANO,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Jones,GITANO,1,,2
Jim Hedges,President,,Prohibition,Jones,GITANO,0,,2
Gary Johnson,President,,Libertarian,Jones,GITANO,3,,2
Jill Stein,President,,Green,Jones,GITANO,0,,2
Mark Gladney,U.S.House,4,Democrat,Jones,GITANO,58,,2
Steven Palazzo,U.S.House,4,Republican,Jones,GITANO,175,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jones,GITANO,9,,2
Shawn O'Hara,U.S.House,4,Reform,Jones,GITANO,6,,2
Hillary Clinton,President,,Democrat,Jones,GLADE,36,,2
Donald J. Trump,President,,Republican,Jones,GLADE,791,,2
Darrell Castle,President,,Constitution,Jones,GLADE,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Jones,GLADE,1,,2
Jim Hedges,President,,Prohibition,Jones,GLADE,1,,2
Gary Johnson,President,,Libertarian,Jones,GLADE,8,,2
Jill Stein,President,,Green,Jones,GLADE,2,,2
Mark Gladney,U.S.House,4,Democrat,Jones,GLADE,51,,2
Steven Palazzo,U.S.House,4,Republican,Jones,GLADE,727,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Jones,GLADE,39,,2
Shawn O'Hara,U.S.House,4,Reform,Jones,GLADE,15,,2
Hillary Clinton,President,,Democrat,Jones,HEBRON,329,,3
Donald J. Trump,President,,Republican,Jones,HEBRON,219,,3
Darrell Castle,President,,Constitution,Jones,HEBRON,3,,3
Rocky' Roque De La Fuente,President,,American Delta,Jones,HEBRON,1,,3
Jim Hedges,President,,Prohibition,Jones,HEBRON,0,,3
