page,candidate,office,district,party,county,precinct,votes,winner,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,11
2,Jeb Bush,President,,Republican,Itawamba,American Legion,0,,,,,,,,,,,,,,0,0,0,1,2,1,1,3,0,4,4,2,2,2,5,3,3,63
2,Ben Carson,President,,Republican,Itawamba,American Legion,7,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,6
2,Chris Christie,President,,Republican,Itawamba,American Legion,0,,,,,,,,,,,,,,28,68,21,12,16,13,61,86,45,94,132,25,37,47,83,73,58,1799
2,Ted Cruz,President,,Republican,Itawamba,American Legion,196,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3
2,Carly Florina,President,,Republican,Itawamba,American Legion,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
2,Lindsey Graham,President,,Republican,Itawamba,American Legion,0,,,,,,,,,,,,,,0,1,0,2,0,0,0,3,0,1,0,0,0,0,1,0,2,17
2,Mike Huckabee,President,,Republican,Itawamba,American Legion,1,,,,,,,,,,,,,,2,8,2,6,2,2,5,15,4,17,19,2,5,6,5,9,11,237
2,John R. Kasich,President,,Republican,Itawamba,American Legion,59,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,George Pataki,President,,Republican,Itawamba,American Legion,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,Rand Paul,President,,Republican,Itawamba,American Legion,0,,,,,,,,,,,,,,1,13,5,0,0,4,5,17,3,2,5,4,2,5,3,9,16,193
2,Marco Rubio,President,,Republican,Itawamba,American Legion,26,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
2,Rick Santorum,President,,Republican,Itawamba,American Legion,0,,,,,,,,,,,,,,35,76,33,16,20,29,58,118,40,106,119,35,50,55,75,75,86,1949
2,Donald J. Trump,President,,Republican,Itawamba,American Legion,196,,,,,,,,,,,,,,5,3,7,1,2,2,52,62,1,22,16,4,4,11,8,13,9,389
2,Hillary Clinton,President,,Democrat,Itawamba,American Legion,26,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,6
2,"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,American Legion,0,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
2,Martin O'Mailey,President,,Democrat,Itawamba,American Legion,1,,,,,,,,,,,,,,2,9,1,2,4,0,6,19,3,3,7,1,3,3,5,6,6,157
2,Bernie Sanders,President,,Democrat,Itawamba,American Legion,21,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6
2,Willie Wilson,President,,Democrat,Itawamba,American Legion,0,,,,,,,,,,,,,,1,13,6,3,1,2,15,18,8,16,11,14,2,4,11,13,16,308
2,Paul Clever,U.S. House,1,Republican,Itawamba,American Legion,29,,,,,,,,,,,,,,64,152,55,34,38,46,112,214,81,202,262,53,89,110,159,158,158,3854
2,Trent Kelly,U.S. House,1,Republican,Itawamba,American Legion,435,,,,,,,,,,,,,,6,13,7,3,3,2,41,54,5,21,24,4,5,6,11,18,12,419
2,Jacob Owens,U.S. House,1,Democrat,Itawamba,American Legion,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jeb Bush,President,,Republican,Itawamba,Armory,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ben Carson,President,,Republican,Itawamba,Armory,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chris Christie,President,,Republican,Itawamba,Armory,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ted Cruz,President,,Republican,Itawamba,Armory,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Carly Florina,President,,Republican,Itawamba,Armory,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Lindsey Graham,President,,Republican,Itawamba,Armory,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mike Huckabee,President,,Republican,Itawamba,Armory,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,John R. Kasich,President,,Republican,Itawamba,Armory,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,George Pataki,President,,Republican,Itawamba,Armory,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Rand Paul,President,,Republican,Itawamba,Armory,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Marco Rubio,President,,Republican,Itawamba,Armory,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Rick Santorum,President,,Republican,Itawamba,Armory,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Donald J. Trump,President,,Republican,Itawamba,Armory,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Hillary Clinton,President,,Democrat,Itawamba,Armory,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Armory,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Martin O'Mailey,President,,Democrat,Itawamba,Armory,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bernie Sanders,President,,Democrat,Itawamba,Armory,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Willie Wilson,President,,Democrat,Itawamba,Armory,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Paul Clever,U.S. House,1,Republican,Itawamba,Armory,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Trent Kelly,U.S. House,1,Republican,Itawamba,Armory,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jacob Owens,U.S. House,1,Democrat,Itawamba,Armory,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jeb Bush,President,,Republican,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ben Carson,President,,Republican,Itawamba,Banner-Pineville,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chris Christie,President,,Republican,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ted Cruz,President,,Republican,Itawamba,Banner-Pineville,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Carly Florina,President,,Republican,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Lindsey Graham,President,,Republican,Itawamba,Banner-Pineville,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mike Huckabee,President,,Republican,Itawamba,Banner-Pineville,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,John R. Kasich,President,,Republican,Itawamba,Banner-Pineville,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,George Pataki,President,,Republican,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Rand Paul,President,,Republican,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Marco Rubio,President,,Republican,Itawamba,Banner-Pineville,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Rick Santorum,President,,Republican,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Donald J. Trump,President,,Republican,Itawamba,Banner-Pineville,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Hillary Clinton,President,,Democrat,Itawamba,Banner-Pineville,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Martin O'Mailey,President,,Democrat,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bernie Sanders,President,,Democrat,Itawamba,Banner-Pineville,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Willie Wilson,President,,Democrat,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Paul Clever,U.S. House,1,Republican,Itawamba,Banner-Pineville,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Trent Kelly,U.S. House,1,Republican,Itawamba,Banner-Pineville,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jacob Owens,U.S. House,1,Democrat,Itawamba,Banner-Pineville,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jeb Bush,President,,Republican,Itawamba,Bounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
