candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Noxubee,Brooksville,805,,2
Donald J. Trump,President,,Republican,Noxubee,Brooksville,276,,2
Darrell Castle,President,,Constitution,Noxubee,Brooksville,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Noxubee,Brooksville,0,,2
Jim Hedges,President,,Prohibition,Noxubee,Brooksville,0,,2
Gary Johnson,President,,Libertarian,Noxubee,Brooksville,4,,2
Jill Stein,President,,Green,Noxubee,Brooksville,1,,2
Gregg Harper,U.S. House,3,Republican,Noxubee,Brooksville,335,,2
Dennis C. Quinn,U.S. House,3,Democrat,Noxubee,Brooksville,605,,2
Roger I. Gerrard,U.S. House,3,Veterans,Noxubee,Brooksville,26,,2
Lajena Sheets,U.S. House,3,Reform,Noxubee,Brooksville,8,,2
Hillary Clinton,President,,Democrat,Noxubee,Cliftonville,458,,2
Donald J. Trump,President,,Republican,Noxubee,Cliftonville,34,,2
Darrell Castle,President,,Constitution,Noxubee,Cliftonville,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Noxubee,Cliftonville,0,,2
Jim Hedges,President,,Prohibition,Noxubee,Cliftonville,1,,2
Gary Johnson,President,,Libertarian,Noxubee,Cliftonville,1,,2
Jill Stein,President,,Green,Noxubee,Cliftonville,1,,2
Gregg Harper,U.S. House,3,Republican,Noxubee,Cliftonville,56,,2
Dennis C. Quinn,U.S. House,3,Democrat,Noxubee,Cliftonville,354,,2
Roger I. Gerrard,U.S. House,3,Veterans,Noxubee,Cliftonville,16,,2
Lajena Sheets,U.S. House,3,Reform,Noxubee,Cliftonville,6,,2
Hillary Clinton,President,,Democrat,Noxubee,District 3 Central,987,,2
Donald J. Trump,President,,Republican,Noxubee,District 3 Central,168,,2
Darrell Castle,President,,Constitution,Noxubee,District 3 Central,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Noxubee,District 3 Central,0,,2
Jim Hedges,President,,Prohibition,Noxubee,District 3 Central,1,,2
Gary Johnson,President,,Libertarian,Noxubee,District 3 Central,1,,2
Jill Stein,President,,Green,Noxubee,District 3 Central,0,,2
Gregg Harper,U.S. House,3,Republican,Noxubee,District 3 Central,249,,2
Dennis C. Quinn,U.S. House,3,Democrat,Noxubee,District 3 Central,764,,2
Roger I. Gerrard,U.S. House,3,Veterans,Noxubee,District 3 Central,30,,2
Lajena Sheets,U.S. House,3,Reform,Noxubee,District 3 Central,2,,2
Hillary Clinton,President,,Democrat,Noxubee,EARL NASH GYM,1021,,2
Donald J. Trump,President,,Republican,Noxubee,EARL NASH GYM,207,,2
Darrell Castle,President,,Constitution,Noxubee,EARL NASH GYM,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Noxubee,EARL NASH GYM,0,,2
Jim Hedges,President,,Prohibition,Noxubee,EARL NASH GYM,0,,2
Gary Johnson,President,,Libertarian,Noxubee,EARL NASH GYM,0,,2
Jill Stein,President,,Green,Noxubee,EARL NASH GYM,3,,2
Gregg Harper,U.S. House,3,Republican,Noxubee,EARL NASH GYM,264,,2
Dennis C. Quinn,U.S. House,3,Democrat,Noxubee,EARL NASH GYM,739,,2
Roger I. Gerrard,U.S. House,3,Veterans,Noxubee,EARL NASH GYM,27,,2
Lajena Sheets,U.S. House,3,Reform,Noxubee,EARL NASH GYM,6,,2
Hillary Clinton,President,,Democrat,Noxubee,Mashulaville,157,,2
Donald J. Trump,President,,Republican,Noxubee,Mashulaville,169,,2
Darrell Castle,President,,Constitution,Noxubee,Mashulaville,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Noxubee,Mashulaville,0,,2
Jim Hedges,President,,Prohibition,Noxubee,Mashulaville,1,,2
Gary Johnson,President,,Libertarian,Noxubee,Mashulaville,2,,2
Jill Stein,President,,Green,Noxubee,Mashulaville,1,,2
Gregg Harper,U.S. House,3,Republican,Noxubee,Mashulaville,179,,2
Dennis C. Quinn,U.S. House,3,Democrat,Noxubee,Mashulaville,128,,2
Roger I. Gerrard,U.S. House,3,Veterans,Noxubee,Mashulaville,5,,2
Lajena Sheets,U.S. House,3,Reform,Noxubee,Mashulaville,1,,2
Hillary Clinton,President,,Democrat,Noxubee,Prairie Point,373,,2
Donald J. Trump,President,,Republican,Noxubee,Prairie Point,119,,2
Darrell Castle,President,,Constitution,Noxubee,Prairie Point,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Noxubee,Prairie Point,0,,2
Jim Hedges,President,,Prohibition,Noxubee,Prairie Point,0,,2
Gary Johnson,President,,Libertarian,Noxubee,Prairie Point,0,,2
Jill Stein,President,,Green,Noxubee,Prairie Point,0,,2
Gregg Harper,U.S. House,3,Republican,Noxubee,Prairie Point,162,,2
Dennis C. Quinn,U.S. House,3,Democrat,Noxubee,Prairie Point,268,,2
Roger I. Gerrard,U.S. House,3,Veterans,Noxubee,Prairie Point,9,,2
Lajena Sheets,U.S. House,3,Reform,Noxubee,Prairie Point,2,,2
Hillary Clinton,President,,Democrat,Noxubee,Shuqualak,509,,2
