candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Holmes,1 Acona,445,,2
Donald J. Trump,President,,Republican,Holmes,1 Acona,36,,2
Darrell Castle,President,,Constitution,Holmes,1 Acona,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Holmes,1 Acona,1,,2
Jim Hedges,President,,Prohibition,Holmes,1 Acona,1,,2
Gary Johnson,President,,Libertarian,Holmes,1 Acona,2,,2
Jill Stein,President,,Green,Holmes,1 Acona,2,,2
John Bouie ii,U.S.House,2,Republican,Holmes,1 Acona,32,,2
Bennie G. Thompson,U.S.House,2,Democrat,Holmes,1 Acona,437,,2
Johnny McLeod,U.S.House,2,Reform,Holmes,1 Acona,5,,2
Troy Ray,U.S.House,2,Independent,Holmes,1 Acona,9,,2
Hillary Clinton,President,,Democrat,Holmes,1 Durant St Anderson,211,,2
Donald J. Trump,President,,Republican,Holmes,1 Durant St Anderson,23,,2
Darrell Castle,President,,Constitution,Holmes,1 Durant St Anderson,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Holmes,1 Durant St Anderson,0,,2
Jim Hedges,President,,Prohibition,Holmes,1 Durant St Anderson,0,,2
Gary Johnson,President,,Libertarian,Holmes,1 Durant St Anderson,0,,2
Jill Stein,President,,Green,Holmes,1 Durant St Anderson,2,,2
John Bouie ii,U.S.House,2,Republican,Holmes,1 Durant St Anderson,16,,2
Bennie G. Thompson,U.S.House,2,Democrat,Holmes,1 Durant St Anderson,210,,2
Johnny McLeod,U.S.House,2,Reform,Holmes,1 Durant St Anderson,1,,2
Troy Ray,U.S.House,2,Independent,Holmes,1 Durant St Anderson,7,,2
Hillary Clinton,President,,Democrat,Holmes,Beat 1 Lexington,859,,2
Donald J. Trump,President,,Republican,Holmes,Beat 1 Lexington,103,,2
Darrell Castle,President,,Constitution,Holmes,Beat 1 Lexington,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Holmes,Beat 1 Lexington,0,,2
Jim Hedges,President,,Prohibition,Holmes,Beat 1 Lexington,1,,2
Gary Johnson,President,,Libertarian,Holmes,Beat 1 Lexington,2,,2
Jill Stein,President,,Green,Holmes,Beat 1 Lexington,2,,2
John Bouie ii,U.S.House,2,Republican,Holmes,Beat 1 Lexington,66,,2
Bennie G. Thompson,U.S.House,2,Democrat,Holmes,Beat 1 Lexington,871,,2
Johnny McLeod,U.S.House,2,Reform,Holmes,Beat 1 Lexington,7,,2
Troy Ray,U.S.House,2,Independent,Holmes,Beat 1 Lexington,20,,2
Hillary Clinton,President,,Democrat,Holmes,Beat 2 Durant,360,,2
Donald J. Trump,President,,Republican,Holmes,Beat 2 Durant,148,,2
Darrell Castle,President,,Constitution,Holmes,Beat 2 Durant,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Holmes,Beat 2 Durant,1,,2
Jim Hedges,President,,Prohibition,Holmes,Beat 2 Durant,1,,2
Gary Johnson,President,,Libertarian,Holmes,Beat 2 Durant,2,,2
Jill Stein,President,,Green,Holmes,Beat 2 Durant,0,,2
John Bouie ii,U.S.House,2,Republican,Holmes,Beat 2 Durant,89,,2
Bennie G. Thompson,U.S.House,2,Democrat,Holmes,Beat 2 Durant,372,,2
Johnny McLeod,U.S.House,2,Reform,Holmes,Beat 2 Durant,3,,2
Troy Ray,U.S.House,2,Independent,Holmes,Beat 2 Durant,43,,2
Hillary Clinton,President,,Democrat,Holmes,Beat 2 Sub Durant,407,,2
Donald J. Trump,President,,Republican,Holmes,Beat 2 Sub Durant,57,,2
Darrell Castle,President,,Constitution,Holmes,Beat 2 Sub Durant,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Holmes,Beat 2 Sub Durant,1,,2
Jim Hedges,President,,Prohibition,Holmes,Beat 2 Sub Durant,2,,2
Gary Johnson,President,,Libertarian,Holmes,Beat 2 Sub Durant,1,,2
Jill Stein,President,,Green,Holmes,Beat 2 Sub Durant,0,,2
John Bouie ii,U.S.House,2,Republican,Holmes,Beat 2 Sub Durant,39,,2
Bennie G. Thompson,U.S.House,2,Democrat,Holmes,Beat 2 Sub Durant,405,,2
Johnny McLeod,U.S.House,2,Reform,Holmes,Beat 2 Sub Durant,1,,2
Troy Ray,U.S.House,2,Independent,Holmes,Beat 2 Sub Durant,22,,2
Hillary Clinton,President,,Democrat,Holmes,Beat 2 West,278,,2
Donald J. Trump,President,,Republican,Holmes,Beat 2 West,118,,2
Darrell Castle,President,,Constitution,Holmes,Beat 2 West,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Holmes,Beat 2 West,0,,2
Jim Hedges,President,,Prohibition,Holmes,Beat 2 West,1,,2
Gary Johnson,President,,Libertarian,Holmes,Beat 2 West,0,,2
Jill Stein,President,,Green,Holmes,Beat 2 West,0,,2
John Bouie ii,U.S.House,2,Republican,Holmes,Beat 2 West,58,,2
Bennie G. Thompson,U.S.House,2,Democrat,Holmes,Beat 2 West,284,,2
Johnny McLeod,U.S.House,2,Reform,Holmes,Beat 2 West,4,,2
Troy Ray,U.S.House,2,Independent,Holmes,Beat 2 West,50,,2
Hillary Clinton,President,,Democrat,Holmes,Beat 3 Coxburg,40,,2
Donald J. Trump,President,,Republican,Holmes,Beat 3 Coxburg,124,,2
Darrell Castle,President,,Constitution,Holmes,Beat 3 Coxburg,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Holmes,Beat 3 Coxburg,0,,2
Jim Hedges,President,,Prohibition,Holmes,Beat 3 Coxburg,1,,2
Gary Johnson,President,,Libertarian,Holmes,Beat 3 Coxburg,1,,2
Jill Stein,President,,Green,Holmes,Beat 3 Coxburg,0,,2
John Bouie ii,U.S.House,2,Republican,Holmes,Beat 3 Coxburg,90,,2
Bennie G. Thompson,U.S.House,2,Democrat,Holmes,Beat 3 Coxburg,50,,2
Johnny McLeod,U.S.House,2,Reform,Holmes,Beat 3 Coxburg,5,,2
Troy Ray,U.S.House,2,Independent,Holmes,Beat 3 Coxburg,16,,2
Hillary Clinton,President,,Democrat,Holmes,Beat 3 Ebenezer,198,,2
Donald J. Trump,President,,Republican,Holmes,Beat 3 Ebenezer,67,,2
Darrell Castle,President,,Constitution,Holmes,Beat 3 Ebenezer,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Holmes,Beat 3 Ebenezer,0,,2
Jim Hedges,President,,Prohibition,Holmes,Beat 3 Ebenezer,1,,2
Gary Johnson,President,,Libertarian,Holmes,Beat 3 Ebenezer,2,,2
Jill Stein,President,,Green,Holmes,Beat 3 Ebenezer,1,,2
John Bouie ii,U.S.House,2,Republican,Holmes,Beat 3 Ebenezer,54,,2
Bennie G. Thompson,U.S.House,2,Democrat,Holmes,Beat 3 Ebenezer,202,,2
Johnny McLeod,U.S.House,2,Reform,Holmes,Beat 3 Ebenezer,3,,2
Troy Ray,U.S.House,2,Independent,Holmes,Beat 3 Ebenezer,6,,2
Hillary Clinton,President,,Democrat,Holmes,Beat 3 Goodman,469,,2
Donald J. Trump,President,,Republican,Holmes,Beat 3 Goodman,67,,2
Darrell Castle,President,,Constitution,Holmes,Beat 3 Goodman,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Holmes,Beat 3 Goodman,0,,2
Jim Hedges,President,,Prohibition,Holmes,Beat 3 Goodman,0,,2
Gary Johnson,President,,Libertarian,Holmes,Beat 3 Goodman,4,,2
Jill Stein,President,,Green,Holmes,Beat 3 Goodman,2,,2
John Bouie ii,U.S.House,2,Republican,Holmes,Beat 3 Goodman,50,,2
Bennie G. Thompson,U.S.House,2,Democrat,Holmes,Beat 3 Goodman,463,,2
Johnny McLeod,U.S.House,2,Reform,Holmes,Beat 3 Goodman,5,,2
Troy Ray,U.S.House,2,Independent,Holmes,Beat 3 Goodman,18,,2
Hillary Clinton,President,,Democrat,Holmes,Beat 3 Pickens,581,,2
Donald J. Trump,President,,Republican,Holmes,Beat 3 Pickens,91,,2
Darrell Castle,President,,Constitution,Holmes,Beat 3 Pickens,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Holmes,Beat 3 Pickens,0,,2
Jim Hedges,President,,Prohibition,Holmes,Beat 3 Pickens,1,,2
Gary Johnson,President,,Libertarian,Holmes,Beat 3 Pickens,1,,2
Jill Stein,President,,Green,Holmes,Beat 3 Pickens,6,,2
John Bouie ii,U.S.House,2,Republican,Holmes,Beat 3 Pickens,74,,2
Bennie G. Thompson,U.S.House,2,Democrat,Holmes,Beat 3 Pickens,581,,2
Johnny McLeod,U.S.House,2,Reform,Holmes,Beat 3 Pickens,5,,2
Troy Ray,U.S.House,2,Independent,Holmes,Beat 3 Pickens,10,,2
Hillary Clinton,President,,Democrat,Holmes,Beat 4 Lexington,1029,,2
Donald J. Trump,President,,Republican,Holmes,Beat 4 Lexington,122,,2
Darrell Castle,President,,Constitution,Holmes,Beat 4 Lexington,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Holmes,Beat 4 Lexington,1,,2
Jim Hedges,President,,Prohibition,Holmes,Beat 4 Lexington,0,,2
Gary Johnson,President,,Libertarian,Holmes,Beat 4 Lexington,2,,2
Jill Stein,President,,Green,Holmes,Beat 4 Lexington,2,,2
John Bouie ii,U.S.House,2,Republican,Holmes,Beat 4 Lexington,88,,2
Bennie G. Thompson,U.S.House,2,Democrat,Holmes,Beat 4 Lexington,1033,,2
Johnny McLeod,U.S.House,2,Reform,Holmes,Beat 4 Lexington,4,,2
Troy Ray,U.S.House,2,Independent,Holmes,Beat 4 Lexington,23,,2
Hillary Clinton,President,,Democrat,Holmes,Beat 4 Thornton,264,,3
Donald J. Trump,President,,Republican,Holmes,Beat 4 Thornton,25,,3
Darrell Castle,President,,Constitution,Holmes,Beat 4 Thornton,0,,3
Rocky' Roque De La Fuente,President,,American Delta,Holmes,Beat 4 Thornton,0,,3
Jim Hedges,President,,Prohibition,Holmes,Beat 4 Thornton,0,,3
Gary Johnson,President,,Libertarian,Holmes,Beat 4 Thornton,1,,3
Jill Stein,President,,Green,Holmes,Beat 4 Thornton,0,,3
John Bouie ii,U.S.House,2,Republican,Holmes,Beat 4 Thornton,24,,3
Bennie G. Thompson,U.S.House,2,Democrat,Holmes,Beat 4 Thornton,260,,3
Johnny McLeod,U.S.House,2,Reform,Holmes,Beat 4 Thornton,2,,3
Troy Ray,U.S.House,2,Independent,Holmes,Beat 4 Thornton,2,,3
Hillary Clinton,President,,Democrat,Holmes,Beat 4 Walden Chapel,164,,3
Donald J. Trump,President,,Republican,Holmes,Beat 4 Walden Chapel,13,,3
Darrell Castle,President,,Constitution,Holmes,Beat 4 Walden Chapel,2,,3
Rocky' Roque De La Fuente,President,,American Delta,Holmes,Beat 4 Walden Chapel,0,,3
Jim Hedges,President,,Prohibition,Holmes,Beat 4 Walden Chapel,0,,3
Gary Johnson,President,,Libertarian,Holmes,Beat 4 Walden Chapel,0,,3
Jill Stein,President,,Green,Holmes,Beat 4 Walden Chapel,0,,3
John Bouie ii,U.S.House,2,Republican,Holmes,Beat 4 Walden Chapel,8,,3
Bennie G. Thompson,U.S.House,2,Democrat,Holmes,Beat 4 Walden Chapel,165,,3
Johnny McLeod,U.S.House,2,Reform,Holmes,Beat 4 Walden Chapel,2,,3
Troy Ray,U.S.House,2,Independent,Holmes,Beat 4 Walden Chapel,3,,3
Hillary Clinton,President,,Democrat,Holmes,Beat 5 Cruger,180,,3
Donald J. Trump,President,,Republican,Holmes,Beat 5 Cruger,66,,3
Darrell Castle,President,,Constitution,Holmes,Beat 5 Cruger,0,,3
Rocky' Roque De La Fuente,President,,American Delta,Holmes,Beat 5 Cruger,0,,3
Jim Hedges,President,,Prohibition,Holmes,Beat 5 Cruger,0,,3
Gary Johnson,President,,Libertarian,Holmes,Beat 5 Cruger,1,,3
Jill Stein,President,,Green,Holmes,Beat 5 Cruger,0,,3
John Bouie ii,U.S.House,2,Republican,Holmes,Beat 5 Cruger,52,,3
