candidate,office,district,party,county,precinct,votes,winner ,page
Hillary Clinton,President,,Democrat,Lee,Auburn,83,,2
Donald J. Trump,President,,Republican,Lee,Auburn,875,,2
Darrell Castle,President,,Constitution,Lee,Auburn,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Lee,Auburn,0,,2
Jim Hedges,President,,Prohibition,Lee,Auburn,0,,2
Gary Johnson,President,,Libertarian,Lee,Auburn,12,,2
Jill Stein,President,,Green,Lee,Auburn,4,,2
Trent Kelly,U.S.House,1,Republican,Lee,Auburn,867,,2
Jacob Owens,U.S.House,1,Democrat,Lee,Auburn,61,,2
Cathy L. Toole,U.S.House,1,Reform,Lee,Auburn,10,,2
Chase Wilson,U.S.House,1,Libertarian,Lee,Auburn,13,,2
Hillary Clinton,President,,Democrat,Lee,Baldwyn,329,,2
Donald J. Trump,President,,Republican,Lee,Baldwyn,313,,2
Darrell Castle,President,,Constitution,Lee,Baldwyn,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Lee,Baldwyn,0,,2
Jim Hedges,President,,Prohibition,Lee,Baldwyn,0,,2
Gary Johnson,President,,Libertarian,Lee,Baldwyn,6,,2
Jill Stein,President,,Green,Lee,Baldwyn,2,,2
Trent Kelly,U.S.House,1,Republican,Lee,Baldwyn,373,,2
Jacob Owens,U.S.House,1,Democrat,Lee,Baldwyn,239,,2
Cathy L. Toole,U.S.House,1,Reform,Lee,Baldwyn,4,,2
Chase Wilson,U.S.House,1,Libertarian,Lee,Baldwyn,5,,2
Hillary Clinton,President,,Democrat,Lee,Beech Springs,149,,2
Donald J. Trump,President,,Republican,Lee,Beech Springs,311,,2
Darrell Castle,President,,Constitution,Lee,Beech Springs,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Lee,Beech Springs,0,,2
Jim Hedges,President,,Prohibition,Lee,Beech Springs,0,,2
Gary Johnson,President,,Libertarian,Lee,Beech Springs,4,,2
Jill Stein,President,,Green,Lee,Beech Springs,1,,2
Trent Kelly,U.S.House,1,Republican,Lee,Beech Springs,349,,2
Jacob Owens,U.S.House,1,Democrat,Lee,Beech Springs,104,,2
Cathy L. Toole,U.S.House,1,Reform,Lee,Beech Springs,4,,2
Chase Wilson,U.S.House,1,Libertarian,Lee,Beech Springs,9,,2
Hillary Clinton,President,,Democrat,Lee,Belden,515,,2
Donald J. Trump,President,,Republican,Lee,Belden,1114,,2
Darrell Castle,President,,Constitution,Lee,Belden,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Lee,Belden,0,,2
Jim Hedges,President,,Prohibition,Lee,Belden,0,,2
Gary Johnson,President,,Libertarian,Lee,Belden,29,,2
Jill Stein,President,,Green,Lee,Belden,6,,2
Trent Kelly,U.S.House,1,Republican,Lee,Belden,1195,,2
Jacob Owens,U.S.House,1,Democrat,Lee,Belden,401,,2
Cathy L. Toole,U.S.House,1,Reform,Lee,Belden,12,,2
Chase Wilson,U.S.House,1,Libertarian,Lee,Belden,20,,2
Hillary Clinton,President,,Democrat,Lee,Birmingham Ridge,104,,2
Donald J. Trump,President,,Republican,Lee,Birmingham Ridge,873,,2
Darrell Castle,President,,Constitution,Lee,Birmingham Ridge,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Lee,Birmingham Ridge,1,,2
Jim Hedges,President,,Prohibition,Lee,Birmingham Ridge,0,,2
Gary Johnson,President,,Libertarian,Lee,Birmingham Ridge,18,,2
Jill Stein,President,,Green,Lee,Birmingham Ridge,5,,2
Trent Kelly,U.S.House,1,Republican,Lee,Birmingham Ridge,889,,2
Jacob Owens,U.S.House,1,Democrat,Lee,Birmingham Ridge,77,,2
Cathy L. Toole,U.S.House,1,Reform,Lee,Birmingham Ridge,5,,2
Chase Wilson,U.S.House,1,Libertarian,Lee,Birmingham Ridge,18,,2
Hillary Clinton,President,,Democrat,Lee,Bissell,726,,2
Donald J. Trump,President,,Republican,Lee,Bissell,2883,,2
Darrell Castle,President,,Constitution,Lee,Bissell,19,,2
Rocky' Roque De La Fuente,President,,American Delta,Lee,Bissell,0,,2
Jim Hedges,President,,Prohibition,Lee,Bissell,2,,2
Gary Johnson,President,,Libertarian,Lee,Bissell,52,,2
Jill Stein,President,,Green,Lee,Bissell,8,,2
Trent Kelly,U.S.House,1,Republican,Lee,Bissell,3083,,2
Jacob Owens,U.S.House,1,Democrat,Lee,Bissell,509,,2
Cathy L. Toole,U.S.House,1,Reform,Lee,Bissell,18,,2
Chase Wilson,U.S.House,1,Libertarian,Lee,Bissell,47,,2
Hillary Clinton,President,,Democrat,Lee,Brewer,42,,2
Donald J. Trump,President,,Republican,Lee,Brewer,329,,2
Darrell Castle,President,,Constitution,Lee,Brewer,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Lee,Brewer,0,,2
Jim Hedges,President,,Prohibition,Lee,Brewer,1,,2
Gary Johnson,President,,Libertarian,Lee,Brewer,3,,2
Jill Stein,President,,Green,Lee,Brewer,0,,2
Trent Kelly,U.S.House,1,Republican,Lee,Brewer,345,,2
Jacob Owens,U.S.House,1,Democrat,Lee,Brewer,24,,2
Cathy L. Toole,U.S.House,1,Reform,Lee,Brewer,0,,2
Chase Wilson,U.S.House,1,Libertarian,Lee,Brewer,2,,2
Hillary Clinton,President,,Democrat,Lee,Cedar Hill,195,,2
Donald J. Trump,President,,Republican,Lee,Cedar Hill,964,,2
Darrell Castle,President,,Constitution,Lee,Cedar Hill,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Lee,Cedar Hill,0,,2
Jim Hedges,President,,Prohibition,Lee,Cedar Hill,3,,2
Gary Johnson,President,,Libertarian,Lee,Cedar Hill,16,,2
Jill Stein,President,,Green,Lee,Cedar Hill,2,,2
Trent Kelly,U.S.House,1,Republican,Lee,Cedar Hill,1017,,2
Jacob Owens,U.S.House,1,Democrat,Lee,Cedar Hill,128,,2
Cathy L. Toole,U.S.House,1,Reform,Lee,Cedar Hill,3,,2
Chase Wilson,U.S.House,1,Libertarian,Lee,Cedar Hill,13,,2
Hillary Clinton,President,,Democrat,Lee,Davis Box,67,,2
Donald J. Trump,President,,Republican,Lee,Davis Box,106,,2
Darrell Castle,President,,Constitution,Lee,Davis Box,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Lee,Davis Box,0,,2
Jim Hedges,President,,Prohibition,Lee,Davis Box,0,,2
Gary Johnson,President,,Libertarian,Lee,Davis Box,6,,2
Jill Stein,President,,Green,Lee,Davis Box,1,,2
Trent Kelly,U.S.House,1,Republican,Lee,Davis Box,112,,2
Jacob Owens,U.S.House,1,Democrat,Lee,Davis Box,46,,2
Cathy L. Toole,U.S.House,1,Reform,Lee,Davis Box,3,,2
Chase Wilson,U.S.House,1,Libertarian,Lee,Davis Box,7,,2
Hillary Clinton,President,,Democrat,Lee,East Heights,56,,2
Donald J. Trump,President,,Republican,Lee,East Heights,273,,2
Darrell Castle,President,,Constitution,Lee,East Heights,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Lee,East Heights,0,,2
Jim Hedges,President,,Prohibition,Lee,East Heights,0,,2
