candidate,office,district,party,county,precinct,votes,winner ,page
Hillary Clinton,President,,Democrat,Leflore,Central Gwd,322,,2
Donald J. Trump,President,,Republican,Leflore,Central Gwd,83,,2
Darrell Castle,President,,Constitution,Leflore,Central Gwd,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Leflore,Central Gwd,1,,2
Jim Hedges,President,,Prohibition,Leflore,Central Gwd,0,,2
Gary Johnson,President,,Libertarian,Leflore,Central Gwd,0,,2
Jill Stein,President,,Green,Leflore,Central Gwd,0,,2
John Bouie ii,U.S.House,2,Republican,Leflore,Central Gwd,59,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leflore,Central Gwd,325,,2
Johnny McLeod,U.S.House,2,Reform,Leflore,Central Gwd,2,,2
Troy Ray,U.S.House,2,Independent,Leflore,Central Gwd,8,,2
Hillary Clinton,President,,Democrat,Leflore,East Gwd,1148,,2
Donald J. Trump,President,,Republican,Leflore,East Gwd,14,,2
Darrell Castle,President,,Constitution,Leflore,East Gwd,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Leflore,East Gwd,1,,2
Jim Hedges,President,,Prohibition,Leflore,East Gwd,1,,2
Gary Johnson,President,,Libertarian,Leflore,East Gwd,3,,2
Jill Stein,President,,Green,Leflore,East Gwd,1,,2
John Bouie ii,U.S.House,2,Republican,Leflore,East Gwd,8,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leflore,East Gwd,1142,,2
Johnny McLeod,U.S.House,2,Reform,Leflore,East Gwd,2,,2
Troy Ray,U.S.House,2,Independent,Leflore,East Gwd,16,,2
Hillary Clinton,President,,Democrat,Leflore,Miner City,96,,2
Donald J. Trump,President,,Republican,Leflore,Miner City,125,,2
Darrell Castle,President,,Constitution,Leflore,Miner City,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Leflore,Miner City,1,,2
Jim Hedges,President,,Prohibition,Leflore,Miner City,0,,2
Gary Johnson,President,,Libertarian,Leflore,Miner City,1,,2
Jill Stein,President,,Green,Leflore,Miner City,1,,2
John Bouie ii,U.S.House,2,Republican,Leflore,Miner City,98,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leflore,Miner City,103,,2
Johnny McLeod,U.S.House,2,Reform,Leflore,Miner City,6,,2
Troy Ray,U.S.House,2,Independent,Leflore,Miner City,11,,2
Hillary Clinton,President,,Democrat,Leflore,Money,33,,2
Donald J. Trump,President,,Republican,Leflore,Money,87,,2
Darrell Castle,President,,Constitution,Leflore,Money,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Leflore,Money,0,,2
Jim Hedges,President,,Prohibition,Leflore,Money,0,,2
Gary Johnson,President,,Libertarian,Leflore,Money,1,,2
Jill Stein,President,,Green,Leflore,Money,0,,2
John Bouie ii,U.S.House,2,Republican,Leflore,Money,71,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leflore,Money,33,,2
Johnny McLeod,U.S.House,2,Reform,Leflore,Money,3,,2
Troy Ray,U.S.House,2,Independent,Leflore,Money,9,,2
Hillary Clinton,President,,Democrat,Leflore,Morgan City,112,,2
Donald J. Trump,President,,Republican,Leflore,Morgan City,64,,2
Darrell Castle,President,,Constitution,Leflore,Morgan City,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Leflore,Morgan City,0,,2
Jim Hedges,President,,Prohibition,Leflore,Morgan City,0,,2
Gary Johnson,President,,Libertarian,Leflore,Morgan City,0,,2
Jill Stein,President,,Green,Leflore,Morgan City,0,,2
John Bouie ii,U.S.House,2,Republican,Leflore,Morgan City,45,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leflore,Morgan City,116,,2
Johnny McLeod,U.S.House,2,Reform,Leflore,Morgan City,3,,2
Troy Ray,U.S.House,2,Independent,Leflore,Morgan City,7,,2
Hillary Clinton,President,,Democrat,Leflore,Mvsu,380,,2
Donald J. Trump,President,,Republican,Leflore,Mvsu,24,,2
Darrell Castle,President,,Constitution,Leflore,Mvsu,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Leflore,Mvsu,1,,2
Jim Hedges,President,,Prohibition,Leflore,Mvsu,0,,2
Gary Johnson,President,,Libertarian,Leflore,Mvsu,5,,2
Jill Stein,President,,Green,Leflore,Mvsu,4,,2
John Bouie ii,U.S.House,2,Republican,Leflore,Mvsu,31,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leflore,Mvsu,368,,2
Johnny McLeod,U.S.House,2,Reform,Leflore,Mvsu,3,,2
Troy Ray,U.S.House,2,Independent,Leflore,Mvsu,7,,2
Hillary Clinton,President,,Democrat,Leflore,Ne Gwd,589,,2
Donald J. Trump,President,,Republican,Leflore,Ne Gwd,104,,2
Darrell Castle,President,,Constitution,Leflore,Ne Gwd,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Leflore,Ne Gwd,0,,2
Jim Hedges,President,,Prohibition,Leflore,Ne Gwd,0,,2
Gary Johnson,President,,Libertarian,Leflore,Ne Gwd,3,,2
Jill Stein,President,,Green,Leflore,Ne Gwd,2,,2
John Bouie ii,U.S.House,2,Republican,Leflore,Ne Gwd,76,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leflore,Ne Gwd,599,,2
Johnny McLeod,U.S.House,2,Reform,Leflore,Ne Gwd,2,,2
Troy Ray,U.S.House,2,Independent,Leflore,Ne Gwd,14,,2
Hillary Clinton,President,,Democrat,Leflore,North Gwd,599,,2
Donald J. Trump,President,,Republican,Leflore,North Gwd,2010,,2
Darrell Castle,President,,Constitution,Leflore,North Gwd,11,,2
Rocky' Roque De La Fuente,President,,American Delta,Leflore,North Gwd,3,,2
Jim Hedges,President,,Prohibition,Leflore,North Gwd,1,,2
Gary Johnson,President,,Libertarian,Leflore,North Gwd,56,,2
Jill Stein,President,,Green,Leflore,North Gwd,8,,2
John Bouie ii,U.S.House,2,Republican,Leflore,North Gwd,1763,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leflore,North Gwd,665,,2
Johnny McLeod,U.S.House,2,Reform,Leflore,North Gwd,40,,2
Troy Ray,U.S.House,2,Independent,Leflore,North Gwd,133,,2
Hillary Clinton,President,,Democrat,Leflore,North Itta Bena,855,,2
Donald J. Trump,President,,Republican,Leflore,North Itta Bena,101,,2
Darrell Castle,President,,Constitution,Leflore,North Itta Bena,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Leflore,North Itta Bena,0,,2
Jim Hedges,President,,Prohibition,Leflore,North Itta Bena,1,,2
Gary Johnson,President,,Libertarian,Leflore,North Itta Bena,0,,2
Jill Stein,President,,Green,Leflore,North Itta Bena,1,,2
John Bouie ii,U.S.House,2,Republican,Leflore,North Itta Bena,77,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leflore,North Itta Bena,870,,2
Johnny McLeod,U.S.House,2,Reform,Leflore,North Itta Bena,4,,2
Troy Ray,U.S.House,2,Independent,Leflore,North Itta Bena,8,,2
Hillary Clinton,President,,Democrat,Leflore,Rising Sun,442,,2
Donald J. Trump,President,,Republican,Leflore,Rising Sun,15,,2
Darrell Castle,President,,Constitution,Leflore,Rising Sun,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Leflore,Rising Sun,0,,2
Jim Hedges,President,,Prohibition,Leflore,Rising Sun,1,,2
Gary Johnson,President,,Libertarian,Leflore,Rising Sun,0,,2
Jill Stein,President,,Green,Leflore,Rising Sun,1,,2
John Bouie ii,U.S.House,2,Republican,Leflore,Rising Sun,14,,2
Bennie G. Thompson,U.S.House,2,Democrat,Leflore,Rising Sun,442,,2
Johnny McLeod,U.S.House,2,Reform,Leflore,Rising Sun,1,,2
Troy Ray,U.S.House,2,Independent,Leflore,Rising Sun,5,,2
Hillary Clinton,President,,Democrat,Leflore,Schlater,117,,2
Donald J. Trump,President,,Republican,Leflore,Schlater,85,,2
