candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Jeff davis,Bassfield 26,161,,2
Donald J. Trump,President,,Republican,Jeff davis,Bassfield 26,184,,2
Darrell Castle,President,,Constitution,Jeff davis,Bassfield 26,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Jeff davis,Bassfield 26,1,,2
Jim Hedges,President,,Prohibition,Jeff davis,Bassfield 26,0,,2
Gary Johnson,President,,Libertarian,Jeff davis,Bassfield 26,4,,2
Jill Stein,President,,Green,Jeff davis,Bassfield 26,0,,2
Gregg Harper,U.S. House,3,Republican,Jeff davis,Bassfield 26,193,,2
Dennis C. Quinn,U.S. House,3,Democrat,Jeff davis,Bassfield 26,138,,2
Roger I. Gerrard,U.S. House,3,Veterans,Jeff davis,Bassfield 26,6,,2
Lajena Sheets,U.S. House,3,Reform,Jeff davis,Bassfield 26,4,,2
Hillary Clinton,President,,Democrat,Jeff davis,Bassfield 31,389,,2
Donald J. Trump,President,,Republican,Jeff davis,Bassfield 31,113,,2
Darrell Castle,President,,Constitution,Jeff davis,Bassfield 31,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Jeff davis,Bassfield 31,0,,2
Jim Hedges,President,,Prohibition,Jeff davis,Bassfield 31,1,,2
Gary Johnson,President,,Libertarian,Jeff davis,Bassfield 31,2,,2
Jill Stein,President,,Green,Jeff davis,Bassfield 31,0,,2
Gregg Harper,U.S. House,3,Republican,Jeff davis,Bassfield 31,145,,2
Dennis C. Quinn,U.S. House,3,Democrat,Jeff davis,Bassfield 31,339,,2
Roger I. Gerrard,U.S. House,3,Veterans,Jeff davis,Bassfield 31,5,,2
Lajena Sheets,U.S. House,3,Reform,Jeff davis,Bassfield 31,5,,2
Hillary Clinton,President,,Democrat,Jeff davis,Bassfield 32,434,,2
Donald J. Trump,President,,Republican,Jeff davis,Bassfield 32,82,,2
Darrell Castle,President,,Constitution,Jeff davis,Bassfield 32,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Jeff davis,Bassfield 32,0,,2
Jim Hedges,President,,Prohibition,Jeff davis,Bassfield 32,1,,2
Gary Johnson,President,,Libertarian,Jeff davis,Bassfield 32,2,,2
Jill Stein,President,,Green,Jeff davis,Bassfield 32,0,,2
Gregg Harper,U.S. House,3,Republican,Jeff davis,Bassfield 32,132,,2
Dennis C. Quinn,U.S. House,3,Democrat,Jeff davis,Bassfield 32,362,,2
Roger I. Gerrard,U.S. House,3,Veterans,Jeff davis,Bassfield 32,10,,2
Lajena Sheets,U.S. House,3,Reform,Jeff davis,Bassfield 32,3,,2
Hillary Clinton,President,,Democrat,Jeff davis,Carson 22,59,,2
Donald J. Trump,President,,Republican,Jeff davis,Carson 22,167,,2
Darrell Castle,President,,Constitution,Jeff davis,Carson 22,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Jeff davis,Carson 22,0,,2
Jim Hedges,President,,Prohibition,Jeff davis,Carson 22,0,,2
Gary Johnson,President,,Libertarian,Jeff davis,Carson 22,1,,2
Jill Stein,President,,Green,Jeff davis,Carson 22,0,,2
Gregg Harper,U.S. House,3,Republican,Jeff davis,Carson 22,155,,2
Dennis C. Quinn,U.S. House,3,Democrat,Jeff davis,Carson 22,55,,2
Roger I. Gerrard,U.S. House,3,Veterans,Jeff davis,Carson 22,8,,2
Lajena Sheets,U.S. House,3,Reform,Jeff davis,Carson 22,1,,2
Hillary Clinton,President,,Democrat,Jeff davis,Clem 41,87,,2
Donald J. Trump,President,,Republican,Jeff davis,Clem 41,85,,2
Darrell Castle,President,,Constitution,Jeff davis,Clem 41,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Jeff davis,Clem 41,0,,2
Jim Hedges,President,,Prohibition,Jeff davis,Clem 41,0,,2
Gary Johnson,President,,Libertarian,Jeff davis,Clem 41,2,,2
Jill Stein,President,,Green,Jeff davis,Clem 41,0,,2
Gregg Harper,U.S. House,3,Republican,Jeff davis,Clem 41,92,,2
Dennis C. Quinn,U.S. House,3,Democrat,Jeff davis,Clem 41,66,,2
Roger I. Gerrard,U.S. House,3,Veterans,Jeff davis,Clem 41,5,,2
Lajena Sheets,U.S. House,3,Reform,Jeff davis,Clem 41,6,,2
Hillary Clinton,President,,Democrat,Jeff davis,Good Hope 33,89,,2
Donald J. Trump,President,,Republican,Jeff davis,Good Hope 33,139,,2
Darrell Castle,President,,Constitution,Jeff davis,Good Hope 33,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Jeff davis,Good Hope 33,0,,2
Jim Hedges,President,,Prohibition,Jeff davis,Good Hope 33,0,,2
Gary Johnson,President,,Libertarian,Jeff davis,Good Hope 33,0,,2
Jill Stein,President,,Green,Jeff davis,Good Hope 33,1,,2
Gregg Harper,U.S. House,3,Republican,Jeff davis,Good Hope 33,146,,2
Dennis C. Quinn,U.S. House,3,Democrat,Jeff davis,Good Hope 33,72,,2
Roger I. Gerrard,U.S. House,3,Veterans,Jeff davis,Good Hope 33,10,,2
Lajena Sheets,U.S. House,3,Reform,Jeff davis,Good Hope 33,1,,2
Hillary Clinton,President,,Democrat,Jeff davis,Granby 11,84,,2
Donald J. Trump,President,,Republican,Jeff davis,Granby 11,40,,2
Darrell Castle,President,,Constitution,Jeff davis,Granby 11,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Jeff davis,Granby 11,0,,2
Jim Hedges,President,,Prohibition,Jeff davis,Granby 11,1,,2
Gary Johnson,President,,Libertarian,Jeff davis,Granby 11,0,,2
Jill Stein,President,,Green,Jeff davis,Granby 11,0,,2
Gregg Harper,U.S. House,3,Republican,Jeff davis,Granby 11,43,,2
Dennis C. Quinn,U.S. House,3,Democrat,Jeff davis,Granby 11,73,,2
Roger I. Gerrard,U.S. House,3,Veterans,Jeff davis,Granby 11,5,,2
Lajena Sheets,U.S. House,3,Reform,Jeff davis,Granby 11,1,,2
Hillary Clinton,President,,Democrat,Jeff davis,Green's Creek 23,93,,2
Donald J. Trump,President,,Republican,Jeff davis,Green's Creek 23,209,,2
Darrell Castle,President,,Constitution,Jeff davis,Green's Creek 23,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Jeff davis,Green's Creek 23,0,,2
Jim Hedges,President,,Prohibition,Jeff davis,Green's Creek 23,0,,2
Gary Johnson,President,,Libertarian,Jeff davis,Green's Creek 23,0,,2
Jill Stein,President,,Green,Jeff davis,Green's Creek 23,0,,2
Gregg Harper,U.S. House,3,Republican,Jeff davis,Green's Creek 23,214,,2
Dennis C. Quinn,U.S. House,3,Democrat,Jeff davis,Green's Creek 23,79,,2
Roger I. Gerrard,U.S. House,3,Veterans,Jeff davis,Green's Creek 23,8,,2
Lajena Sheets,U.S. House,3,Reform,Jeff davis,Green's Creek 23,0,,2
Hillary Clinton,President,,Democrat,Jeff davis,Gwinville 51,115,,2
Donald J. Trump,President,,Republican,Jeff davis,Gwinville 51,33,,2
Darrell Castle,President,,Constitution,Jeff davis,Gwinville 51,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Jeff davis,Gwinville 51,1,,2
Jim Hedges,President,,Prohibition,Jeff davis,Gwinville 51,0,,2
Gary Johnson,President,,Libertarian,Jeff davis,Gwinville 51,0,,2
Jill Stein,President,,Green,Jeff davis,Gwinville 51,0,,2
Gregg Harper,U.S. House,3,Republican,Jeff davis,Gwinville 51,48,,2
Dennis C. Quinn,U.S. House,3,Democrat,Jeff davis,Gwinville 51,90,,2
Roger I. Gerrard,U.S. House,3,Veterans,Jeff davis,Gwinville 51,6,,2
Lajena Sheets,U.S. House,3,Reform,Jeff davis,Gwinville 51,0,,2
Hillary Clinton,President,,Democrat,Jeff davis,Hathom 24,60,,2
