county,precinct,office,district,party,candidate,votes,winner
Pontotoc,Algoma,Governor,,Republican,Phil Bryant,332,
Pontotoc,Algoma,Governor,,Democrat,Robert Gray,44,
Pontotoc,Algoma,Governor,,Reform,Shawn O'Hara,4,
Pontotoc,Bankhead,Governor,,Republican,Phil Bryant,216,
Pontotoc,Bankhead,Governor,,Democrat,Robert Gray,141,
Pontotoc,Bankhead,Governor,,Reform,Shawn O'Hara,3,
Pontotoc,Beckham,Governor,,Republican,Phil Bryant,294,
Pontotoc,Beckham,Governor,,Democrat,Robert Gray,43,
Pontotoc,Beckham,Governor,,Reform,Shawn O'Hara,5,
Pontotoc,Bethel/Endville,Governor,,Republican,Phil Bryant,260,
Pontotoc,Bethel/Endville,Governor,,Democrat,Robert Gray,43,
Pontotoc,Bethel/Endville,Governor,,Reform,Shawn O'Hara,4,
Pontotoc,Buchanan,Governor,,Republican,Phil Bryant,232,
Pontotoc,Buchanan,Governor,,Democrat,Robert Gray,21,
Pontotoc,Buchanan,Governor,,Reform,Shawn O'Hara,6,
Pontotoc,Cherry Creek,Governor,,Republican,Phil Bryant,286,
Pontotoc,Cherry Creek,Governor,,Democrat,Robert Gray,34,
Pontotoc,Cherry Creek,Governor,,Reform,Shawn O'Hara,2,
Pontotoc,Ecru,Governor,,Republican,Phil Bryant,349,
Pontotoc,Ecru,Governor,,Democrat,Robert Gray,65,
Pontotoc,Ecru,Governor,,Reform,Shawn O'Hara,4,
Pontotoc,Friendship,Governor,,Republican,Phil Bryant,132,
Pontotoc,Friendship,Governor,,Democrat,Robert Gray,10,
Pontotoc,Friendship,Governor,,Reform,Shawn O'Hara,0,
Pontotoc,Hoyle,Governor,,Republican,Phil Bryant,229,
Pontotoc,Hoyle,Governor,,Democrat,Robert Gray,126,
Pontotoc,Hoyle,Governor,,Reform,Shawn O'Hara,3,
Pontotoc,Hurricane,Governor,,Republican,Phil Bryant,242,
Pontotoc,Hurricane,Governor,,Democrat,Robert Gray,18,
Pontotoc,Hurricane,Governor,,Reform,Shawn O'Hara,3,
Pontotoc,Judah,Governor,,Republican,Phil Bryant,191,
Pontotoc,Judah,Governor,,Democrat,Robert Gray,17,
Pontotoc,Judah,Governor,,Reform,Shawn O'Hara,1,
Pontotoc,Longview,Governor,,Republican,Phil Bryant,110,
Pontotoc,Longview,Governor,,Democrat,Robert Gray,65,
Pontotoc,Longview,Governor,,Reform,Shawn O'Hara,1,
Pontotoc,Oakhill,Governor,,Republican,Phil Bryant,157,
Pontotoc,Oakhill,Governor,,Democrat,Robert Gray,16,
Pontotoc,Oakhill,Governor,,Reform,Shawn O'Hara,1,
Pontotoc,Pontotoc 1,Governor,,Republican,Phil Bryant,204,
Pontotoc,Pontotoc 1,Governor,,Democrat,Robert Gray,36,
Pontotoc,Pontotoc 1,Governor,,Reform,Shawn O'Hara,3,
Pontotoc,Pontotoc 2,Governor,,Republican,Phil Bryant,265,
Pontotoc,Pontotoc 2,Governor,,Democrat,Robert Gray,36,
Pontotoc,Pontotoc 2,Governor,,Reform,Shawn O'Hara,3,
Pontotoc,Pontotoc 3,Governor,,Republican,Phil Bryant,457,
Pontotoc,Pontotoc 3,Governor,,Democrat,Robert Gray,85,
Pontotoc,Pontotoc 3,Governor,,Reform,Shawn O'Hara,6,
Pontotoc,Pontotoc 4,Governor,,Republican,Phil Bryant,250,
Pontotoc,Pontotoc 4,Governor,,Democrat,Robert Gray,77,
Pontotoc,Pontotoc 4,Governor,,Reform,Shawn O'Hara,4,
Pontotoc,Pontotoc 5,Governor,,Republican,Phil Bryant,560,
Pontotoc,Pontotoc 5,Governor,,Democrat,Robert Gray,118,
Pontotoc,Pontotoc 5,Governor,,Reform,Shawn O'Hara,6,
Pontotoc,Randolph,Governor,,Republican,Phil Bryant,428,
Pontotoc,Randolph,Governor,,Democrat,Robert Gray,41,
Pontotoc,Randolph,Governor,,Reform,Shawn O'Hara,3,
Pontotoc,Robbs,Governor,,Republican,Phil Bryant,26,
Pontotoc,Robbs,Governor,,Democrat,Robert Gray,11,
Pontotoc,Robbs,Governor,,Reform,Shawn O'Hara,1,
Pontotoc,Sherman,Governor,,Republican,Phil Bryant,170,
Pontotoc,Sherman,Governor,,Democrat,Robert Gray,19,
Pontotoc,Sherman,Governor,,Reform,Shawn O'Hara,1,
Pontotoc,Springville,Governor,,Republican,Phil Bryant,374,
Pontotoc,Springville,Governor,,Democrat,Robert Gray,66,
Pontotoc,Springville,Governor,,Reform,Shawn O'Hara,9,
Pontotoc,Thaxton,Governor,,Republican,Phil Bryant,311,
Pontotoc,Thaxton,Governor,,Democrat,Robert Gray,36,
Pontotoc,Thaxton,Governor,,Reform,Shawn O'Hara,7,
Pontotoc,Toccopola,Governor,,Republican,Phil Bryant,112,
Pontotoc,Toccopola,Governor,,Democrat,Robert Gray,32,
Pontotoc,Toccopola,Governor,,Reform,Shawn O'Hara,0,
Pontotoc,Troy,Governor,,Republican,Phil Bryant,303,
Pontotoc,Troy,Governor,,Democrat,Robert Gray,41,
Pontotoc,Troy,Governor,,Reform,Shawn O'Hara,2,
Pontotoc,Turnpike,Governor,,Republican,Phil Bryant,225,
Pontotoc,Turnpike,Governor,,Democrat,Robert Gray,22,
Pontotoc,Turnpike,Governor,,Reform,Shawn O'Hara,1,
Pontotoc,Woodland,Governor,,Republican,Phil Bryant,90,
Pontotoc,Woodland,Governor,,Democrat,Robert Gray,11,
Pontotoc,Woodland,Governor,,Reform,Shawn O'Hara,2,
Pontotoc,Zion,Governor,,Republican,Phil Bryant,203,
Pontotoc,Zion,Governor,,Democrat,Robert Gray,41,
Pontotoc,Zion,Governor,,Reform,Shawn O'Hara,2,
Pontotoc,,Governor,,Republican,Phil Bryant,7008,1
Pontotoc,,Governor,,Democrat,Robert Gray,1315,
Pontotoc,,Governor,,Reform,Shawn O'Hara,87,
Pontotoc,Algoma,Lieutenant Governor,,Democrat,Tim Johnson,51,
Pontotoc,Algoma,Lieutenant Governor,,Republican,Tate Reeves,311,
Pontotoc,Algoma,Lieutenant Governor,,Libertarian,Ron Williams,5,
Pontotoc,Algoma,Lieutenant Governor,,Reform,Rosa B. Williams,8,
Pontotoc,Bankhead,Lieutenant Governor,,Democrat,Tim Johnson,145,
Pontotoc,Bankhead,Lieutenant Governor,,Republican,Tate Reeves,196,
Pontotoc,Bankhead,Lieutenant Governor,,Libertarian,Ron Williams,11,
Pontotoc,Bankhead,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Pontotoc,Beckham,Lieutenant Governor,,Democrat,Tim Johnson,66,
Pontotoc,Beckham,Lieutenant Governor,,Republican,Tate Reeves,262,
Pontotoc,Beckham,Lieutenant Governor,,Libertarian,Ron Williams,5,
Pontotoc,Beckham,Lieutenant Governor,,Reform,Rosa B. Williams,6,
Pontotoc,Bethel/Endville,Lieutenant Governor,,Democrat,Tim Johnson,51,
Pontotoc,Bethel/Endville,Lieutenant Governor,,Republican,Tate Reeves,237,
Pontotoc,Bethel/Endville,Lieutenant Governor,,Libertarian,Ron Williams,7,
Pontotoc,Bethel/Endville,Lieutenant Governor,,Reform,Rosa B. Williams,3,
Pontotoc,Buchanan,Lieutenant Governor,,Democrat,Tim Johnson,33,
Pontotoc,Buchanan,Lieutenant Governor,,Republican,Tate Reeves,212,
Pontotoc,Buchanan,Lieutenant Governor,,Libertarian,Ron Williams,6,
Pontotoc,Buchanan,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Pontotoc,Cherry Creek,Lieutenant Governor,,Democrat,Tim Johnson,44,
Pontotoc,Cherry Creek,Lieutenant Governor,,Republican,Tate Reeves,265,
Pontotoc,Cherry Creek,Lieutenant Governor,,Libertarian,Ron Williams,4,
Pontotoc,Cherry Creek,Lieutenant Governor,,Reform,Rosa B. Williams,0,
Pontotoc,Ecru,Lieutenant Governor,,Democrat,Tim Johnson,77,
Pontotoc,Ecru,Lieutenant Governor,,Republican,Tate Reeves,325,
Pontotoc,Ecru,Lieutenant Governor,,Libertarian,Ron Williams,6,
Pontotoc,Ecru,Lieutenant Governor,,Reform,Rosa B. Williams,3,
Pontotoc,Friendship,Lieutenant Governor,,Democrat,Tim Johnson,18,
Pontotoc,Friendship,Lieutenant Governor,,Republican,Tate Reeves,118,
Pontotoc,Friendship,Lieutenant Governor,,Libertarian,Ron Williams,2,
Pontotoc,Friendship,Lieutenant Governor,,Reform,Rosa B. Williams,0,
Pontotoc,Hoyle,Lieutenant Governor,,Democrat,Tim Johnson,136,
Pontotoc,Hoyle,Lieutenant Governor,,Republican,Tate Reeves,201,
Pontotoc,Hoyle,Lieutenant Governor,,Libertarian,Ron Williams,8,
