county,precinct,office,district,party,candidate,votes,
DeSoto,101 Ingrams Mill,,,,Registration,1289,
DeSoto,101 Ingrams Mill,,,,Ballots,369,
DeSoto,101 Ingrams Mill,Governor,,Republican,Phil Bryant,279,
DeSoto,101 Ingrams Mill,Governor,,Democrat,Robert Gray,75,
DeSoto,101 Ingrams Mill,Governor,,Reform,Shawn O'Hara,8,
DeSoto,101 Ingrams Mill,Lieutenant Governor,,Democrat,Tim Johnson,86,
DeSoto,101 Ingrams Mill,Lieutenant Governor,,Republican,Tate Reeves,260,
DeSoto,101 Ingrams Mill,Lieutenant Governor,,Libertarian,Ron Williams,13,
DeSoto,101 Ingrams Mill,Lieutenant Governor,,Reform,Rosa B. Williams,0,
DeSoto,101 Ingrams Mill,Secretary of State,,Democrat,Charles E. Graham,93,
DeSoto,101 Ingrams Mill,Secretary of State,,Republican,Delbert Hosemann,252,
DeSoto,101 Ingrams Mill,Secretary of State,,Reform,Randy Walker,13,
DeSoto,101 Ingrams Mill,Attorney General,,Democrat,Jim Hood,127,
DeSoto,101 Ingrams Mill,Attorney General,,Republican,Mike Hurst,232,
DeSoto,101 Ingrams Mill,State Auditor,,Republican,Stacey E. Pickering,265,
DeSoto,101 Ingrams Mill,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",84,
DeSoto,101 Ingrams Mill,State Auditor,,Reform,Lajena Walley,6,
DeSoto,101 Ingrams Mill,State Auditor,,,Write-in,1,
DeSoto,101 Ingrams Mill,State Treasurer,,Republican,Lynn Fitch,296,
DeSoto,101 Ingrams Mill,State Treasurer,,Reform,Viola V. McFarland,34,
DeSoto,101 Ingrams Mill,State Treasurer,,,Write-in,2,
DeSoto,101 Ingrams Mill,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,95,
DeSoto,101 Ingrams Mill,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,249,
DeSoto,101 Ingrams Mill,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,10,
DeSoto,101 Ingrams Mill,Commissioner of Insurance,,Republican,Mike Chaney,303,
DeSoto,101 Ingrams Mill,Commissioner of Insurance,,,Write-in,6,
DeSoto,101 Ingrams Mill,State Senate,19,Republican,Kevin Blackwell,304,
DeSoto,101 Ingrams Mill,State Senate,19,,Write-in,8,
DeSoto,101 Ingrams Mill,State House,28,Republican,Robert Foster,305,
DeSoto,101 Ingrams Mill,State House,28,,Write-in,8,
DeSoto,102 Lewisburg East,,,,Registration,542,
DeSoto,102 Lewisburg East,,,,Ballots,190,
DeSoto,102 Lewisburg East,Governor,,Republican,Phil Bryant,162,
DeSoto,102 Lewisburg East,Governor,,Democrat,Robert Gray,17,
DeSoto,102 Lewisburg East,Governor,,Reform,Shawn O'Hara,3,
DeSoto,102 Lewisburg East,Lieutenant Governor,,Democrat,Tim Johnson,21,
DeSoto,102 Lewisburg East,Lieutenant Governor,,Republican,Tate Reeves,158,
DeSoto,102 Lewisburg East,Lieutenant Governor,,Libertarian,Ron Williams,2,
DeSoto,102 Lewisburg East,Lieutenant Governor,,Reform,Rosa B. Williams,0,
DeSoto,102 Lewisburg East,Lieutenant Governor,,,Write-in,1,
DeSoto,102 Lewisburg East,Secretary of State,,Democrat,Charles E. Graham,20,
DeSoto,102 Lewisburg East,Secretary of State,,Republican,Delbert Hosemann,162,
DeSoto,102 Lewisburg East,Secretary of State,,Reform,Randy Walker,2,
DeSoto,102 Lewisburg East,Attorney General,,Democrat,Jim Hood,49,
DeSoto,102 Lewisburg East,Attorney General,,Republican,Mike Hurst,135,
DeSoto,102 Lewisburg East,State Auditor,,Republican,Stacey E. Pickering,160,
DeSoto,102 Lewisburg East,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",22,
DeSoto,102 Lewisburg East,State Auditor,,Reform,Lajena Walley,1,
DeSoto,102 Lewisburg East,State Treasurer,,Republican,Lynn Fitch,172,
DeSoto,102 Lewisburg East,State Treasurer,,Reform,Viola V. McFarland,8,
DeSoto,102 Lewisburg East,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,20,
DeSoto,102 Lewisburg East,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,158,
DeSoto,102 Lewisburg East,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,2,
DeSoto,102 Lewisburg East,Commissioner of Insurance,,Republican,Mike Chaney,169,
DeSoto,102 Lewisburg East,State Senate,1,Republican,Chris Massey,170,
DeSoto,102 Lewisburg East,State Senate,1,,Write-in,1,
DeSoto,102 Lewisburg East,State House,28,Republican,Robert Foster,168,
DeSoto,102 Lewisburg East,State House,28,,Write-in,1,
DeSoto,103 Miller,,,,Registration,3955,
DeSoto,103 Miller,,,,Ballots,824,
DeSoto,103 Miller,Governor,,Republican,Phil Bryant,632,
DeSoto,103 Miller,Governor,,Democrat,Robert Gray,164,
DeSoto,103 Miller,Governor,,Reform,Shawn O'Hara,11,
DeSoto,103 Miller,Lieutenant Governor,,Democrat,Tim Johnson,192,
DeSoto,103 Miller,Lieutenant Governor,,Republican,Tate Reeves,580,
DeSoto,103 Miller,Lieutenant Governor,,Libertarian,Ron Williams,32,
DeSoto,103 Miller,Lieutenant Governor,,Reform,Rosa B. Williams,6,
DeSoto,103 Miller,Secretary of State,,Democrat,Charles E. Graham,196,
DeSoto,103 Miller,Secretary of State,,Republican,Delbert Hosemann,592,
DeSoto,103 Miller,Secretary of State,,Reform,Randy Walker,21,
DeSoto,103 Miller,Attorney General,,Democrat,Jim Hood,260,
DeSoto,103 Miller,Attorney General,,Republican,Mike Hurst,550,
DeSoto,103 Miller,State Auditor,,Republican,Stacey E. Pickering,608,
DeSoto,103 Miller,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",176,
DeSoto,103 Miller,State Auditor,,Reform,Lajena Walley,12,
DeSoto,103 Miller,State Treasurer,,Republican,Lynn Fitch,667,
DeSoto,103 Miller,State Treasurer,,Reform,Viola V. McFarland,82,
DeSoto,103 Miller,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,195,
DeSoto,103 Miller,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,581,
DeSoto,103 Miller,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,14,
DeSoto,103 Miller,Commissioner of Insurance,,Republican,Mike Chaney,678,
DeSoto,103 Miller,Commissioner of Insurance,,,Write-in,9,
DeSoto,103 Miller,State Senate,19,Republican,Kevin Blackwell,688,
DeSoto,103 Miller,State Senate,19,,Write-in,9,
DeSoto,103 Miller,State House,28,Republican,Robert Foster,50,
DeSoto,103 Miller,State House,52,Republican,William Kinkade,639,
DeSoto,103 Miller,State House,52,,Write-in,8,
DeSoto,104 Fairhaven,,,,Registeration,2418,
DeSoto,104 Fairhaven,,,,Ballots,516,
DeSoto,104 Fairhaven,Governor,,Republican,Phil Bryant,353,
DeSoto,104 Fairhaven,Governor,,Democrat,Robert Gray,145,
DeSoto,104 Fairhaven,Governor,,Reform,Shawn O'Hara,10,
DeSoto,104 Fairhaven,Lieutenant Governor,,Democrat,Tim Johnson,157,
DeSoto,104 Fairhaven,Lieutenant Governor,,Republican,Tate Reeves,334,
DeSoto,104 Fairhaven,Lieutenant Governor,,Libertarian,Ron Williams,5,
DeSoto,104 Fairhaven,Lieutenant Governor,,Reform,Rosa B. Williams,4,
DeSoto,104 Fairhaven,Lieutenant Governor,,,Write-in,1,
DeSoto,104 Fairhaven,Secretary of State,,Democrat,Charles E. Graham,154,
DeSoto,104 Fairhaven,Secretary of State,,Republican,Delbert Hosemann,327,
DeSoto,104 Fairhaven,Secretary of State,,Reform,Randy Walker,15,
DeSoto,104 Fairhaven,Secretary of State,,,Write-in,2,
DeSoto,104 Fairhaven,Attorney General,,Democrat,Jim Hood,188,
DeSoto,104 Fairhaven,Attorney General,,Republican,Mike Hurst,313,
DeSoto,104 Fairhaven,State Auditor,,Republican,Stacey E. Pickering,343,
DeSoto,104 Fairhaven,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",145,
DeSoto,104 Fairhaven,State Auditor,,Reform,Lajena Walley,10,
DeSoto,104 Fairhaven,State Treasurer,,Republican,Lynn Fitch,395,
DeSoto,104 Fairhaven,State Treasurer,,Reform,Viola V. McFarland,59,
DeSoto,104 Fairhaven,State Treasurer,,,Write-in,3,
DeSoto,104 Fairhaven,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,156,
DeSoto,104 Fairhaven,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,333,
DeSoto,104 Fairhaven,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,8,
DeSoto,104 Fairhaven,Commissioner of Agriculture & Commerce,,,Write-in,1,
DeSoto,104 Fairhaven,Commissioner of Insurance,,Republican,Mike Chaney,408,
DeSoto,104 Fairhaven,Commissioner of Insurance,,,Write-in,5,
DeSoto,104 Fairhaven,State Senate,19,Republican,Kevin Blackwell,404,
DeSoto,104 Fairhaven,State Senate,19,,Write-in,6,
DeSoto,104 Fairhaven,State House,6,Republican,Dana Criswell,407,
DeSoto,104 Fairhaven,State House,6,,Write-in,5,
