page,candidate,office,district,party,county,precinct,votes,winner,,,
2,Phil Bryant,Governor,,R,Attala,Aponaug,8,,,,
2,Mitch Young,Governor,,R,Attala,Aponaug,0,,,,
2,Phil Bryant,Governor,,R,Attala,Berea,6,,,,
2,Mitch Young,Governor,,R,Attala,Berea,0,,,,
2,Phil Bryant,Governor,,R,Attala,Carmack,8,,,,
2,Mitch Young,Governor,,R,Attala,Carmack,0,,,,
2,Phil Bryant,Governor,,R,Attala,East,65,,,,
2,Mitch Young,Governor,,R,Attala,East,2,,,,
2,Phil Bryant,Governor,,R,Attala,Ethel,3,,,,
2,Mitch Young,Governor,,R,Attala,Ethel,0,,,,
2,Phil Bryant,Governor,,R,Attala,Hesterville,2,,,,
2,Mitch Young,Governor,,R,Attala,Hesterville,1,,,,
2,Phil Bryant,Governor,,R,Attala,Liberty Chapel,4,,,,
2,Mitch Young,Governor,,R,Attala,Liberty Chapel,0,,,,
2,Phil Bryant,Governor,,R,Attala,Mcadams,14,,,,
2,Mitch Young,Governor,,R,Attala,Mcadams,0,,,,
2,Phil Bryant,Governor,,R,Attala,Mccool,19,,,,
2,Mitch Young,Governor,,R,Attala,Mccool,1,,,,
2,Phil Bryant,Governor,,R,Attala,Newport,21,,,,
2,Mitch Young,Governor,,R,Attala,Newport,0,,,,
2,Phil Bryant,Governor,,R,Attala,North Central,23,,,,
2,Mitch Young,Governor,,R,Attala,North Central,0,,,,
3,Phil Bryant,Governor,,R,Attala,North East,27,,,,
3,Mitch Young,Governor,,R,Attala,North East,0,,,,
3,Phil Bryant,Governor,,R,Attala,North West,15,,,,
3,Mitch Young,Governor,,R,Attala,North West,1,,,,
3,Phil Bryant,Governor,,R,Attala,Possumneck,14,,,,
3,Mitch Young,Governor,,R,Attala,Possumneck,1,,,,
3,Phil Bryant,Governor,,R,Attala,Providence,20,,,,
3,Mitch Young,Governor,,R,Attala,Providence,1,,,,
3,Phil Bryant,Governor,,R,Attala,Sallis,19,,,,
3,Mitch Young,Governor,,R,Attala,Sallis,2,,,,
3,Phil Bryant,Governor,,R,Attala,South Central,36,,,,
3,Mitch Young,Governor,,R,Attala,South Central,1,,,,
3,Phil Bryant,Governor,,R,Attala,South West,11,,,,
3,Mitch Young,Governor,,R,Attala,South West,0,,,,
3,Phil Bryant,Governor,,R,Attala,Thompson,6,,,,
3,Mitch Young,Governor,,R,Attala,Thompson,0,,,,
3,Phil Bryant,Governor,,R,Attala,Williamsville,54,,,,
3,Mitch Young,Governor,,R,Attala,Williamsville,1,,,,
3,Phil Bryant,Governor,,R,Attala,Zama,18,,,,
3,Mitch Young,Governor,,R,Attala,Zama,0,,,,
3,Phil Bryant,Governor,,R,Attala,TOTAL,393,,,,
3,Mitch Young,Governor,,R,Attala,TOTAL,11,,,,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,Aponaug,0,,,,
2,Tate Reeves,Lieutenant Governor,,R,Attala,Aponaug,8,,,,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,Berea,0,,,,
2,Tate Reeves,Lieutenant Governor,,R,Attala,Berea,6,,,,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,Carmack,2,,,,
2,Tate Reeves,Lieutenant Governor,,R,Attala,Carmack,6,,,,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,East,5,,,,
2,Tate Reeves,Lieutenant Governor,,R,Attala,East,58,,,,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,Ethel,2,,,,
2,Tate Reeves,Lieutenant Governor,,R,Attala,Ethel,1,,,,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,Hesterville,1,,,,
2,Tate Reeves,Lieutenant Governor,,R,Attala,Hesterville,2,,,,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,Liberty Chapel,1,,,,
2,Tate Reeves,Lieutenant Governor,,R,Attala,Liberty Chapel,3,,,,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,Mcadams,1,,,,
2,Tate Reeves,Lieutenant Governor,,R,Attala,Mcadams,13,,,,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,Mccool,7,,,,
2,Tate Reeves,Lieutenant Governor,,R,Attala,Mccool,12,,,,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,Newport,1,,,,
2,Tate Reeves,Lieutenant Governor,,R,Attala,Newport,20,,,,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,North Central,1,,,,
2,Tate Reeves,Lieutenant Governor,,R,Attala,North Central,21,,,,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,North East,1,,,,
3,Tate Reeves,Lieutenant Governor,,R,Attala,North East,24,,,,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,North West,2,,,,
3,Tate Reeves,Lieutenant Governor,,R,Attala,North West,14,,,,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,Possumneck,2,,,,
3,Tate Reeves,Lieutenant Governor,,R,Attala,Possumneck,13,,,,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,Providence,1,,,,
3,Tate Reeves,Lieutenant Governor,,R,Attala,Providence,20,,,,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,Sallis,3,,,,
3,Tate Reeves,Lieutenant Governor,,R,Attala,Sallis,28,,,,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,South Central,7,,,,
3,Tate Reeves,Lieutenant Governor,,R,Attala,South Central,29,,,,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Attala,South West,0,,,,
3,Tate Reeves,Lieutenant Governor,,R,Attala,South West,11,,,,
