104000,10000,county,precinct,office,district,candidate,party,votes
104001,10001,Attala,Aponaug,Governor,,Phil Bryant,Republican,87
104001,10002,Attala,Aponaug,Governor,,Robert Gray,Democrat,22
104001,10003,Attala,Aponaug,Governor,,Shawn O'Hara,Reform,2
104001,11001,Attala,Aponaug,Lieutenant Governor,,Tim Johnson,Democrat,62
104001,11002,Attala,Aponaug,Lieutenant Governor,,Tate Reeves,Republican,46
104001,11003,Attala,Aponaug,Lieutenant Governor,,Ron Williams,Libertarian,2
104001,11004,Attala,Aponaug,Lieutenant Governor,,Rosa B. Williams,Reform,1
104001,12001,Attala,Aponaug,Secretary of State,,Charles E. Graham,Democrat,28
104001,12002,Attala,Aponaug,Secretary of State,,Delbert Hosemann,Republican,78
104001,12003,Attala,Aponaug,Secretary of State,,Randy Walker,Reform,2
104001,13001,Attala,Aponaug,Attorney General,,Jim Hood,Democrat,67
104001,13002,Attala,Aponaug,Attorney General,,Mike Hurst,Republican,44
104001,14001,Attala,Aponaug,State Auditor,,Stacey E. Pickering,Democrat,83
104001,14002,Attala,Aponaug,State Auditor,,Joceyln Pepper Pritchett,Republican,27
104001,14003,Attala,Aponaug,State Auditor,,Lajena Walley,Reform,0
104001,15001,Attala,Aponaug,State Treasurer,,Lynn Fitch,Republican,92
104001,15002,Attala,Aponaug,State Treasurer,,Viola V. McFarland,Reform,11
104001,16001,Attala,Aponaug,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,24
104001,16002,Attala,Aponaug,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,82
104001,16003,Attala,Aponaug,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,3
104001,18021,Attala,Aponaug,State Senate,21,Barbara Blackmon,Democrat,85
104001,18027,Attala,Aponaug,State House,27,Ricky Dewayne Gill,Republican,10
104001,18027,Attala,Aponaug,State House,27,Kenneth Walker,Democrat,10
104001,18048,Attala,Aponaug,State House,48,Jill Butler,Democrat,22
104001,18048,Attala,Aponaug,State House,48,Jason White,Republican,67
104999,10001,Attala,,Governor,,Phil Bryant,Republican,3449
104999,10002,Attala,,Governor,,Robert Gray,Democrat,1577
104999,10003,Attala,,Governor,,Shawn O'Hara,Reform,49
104999,18014,Attala,,State Senate,14,Lydia Graves Chassaniol,Republican,1278
104999,18014,Attala,,State Senate,14,Georgio Proctor,Democrat,461
104999,18014,Attala,,State Senate,14,Donny Ryals,Independent,142
104999,18021,Attala,,State Senate,21,Barbara Blackmon,Democrat,2518
104999,19047,Attala,,State House,47,Bryant W. Clark,Democrat,624
104999,19048,Attala,,State House,48,Jill Butler,Democrat,803
104999,19048,Attala,,State House,48,Jason White,Republican,2217
104002,10001,Attala,Berea,Governor,,Phil Bryant,Republican,69
104002,10002,Attala,Berea,Governor,,Robert Gray,Democrat,6
104002,10003,Attala,Berea,Governor,,Shawn O'Hara,Reform,0
104002,11001,Attala,Berea,Lieutenant Governor,,Tim Johnson,Democrat,21
104002,11002,Attala,Berea,Lieutenant Governor,,Tate Reeves,Republican,53
104002,11003,Attala,Berea,Lieutenant Governor,,Ron Williams,Libertarian,1
104002,11004,Attala,Berea,Lieutenant Governor,,Rosa B. Williams,Reform,1
104002,12001,Attala,Berea,Secretary of State,,Charles E. Graham,Democrat,8
104002,12002,Attala,Berea,Secretary of State,,Delbert Hosemann,Republican,64
104002,12003,Attala,Berea,Secretary of State,,Randy Walker,Reform,4
104002,13001,Attala,Berea,Attorney General,,Jim Hood,Democrat,31
104002,13002,Attala,Berea,Attorney General,,Mike Hurst,Republican,44
104002,14001,Attala,Berea,State Auditor,,Stacey E. Pickering,Democrat,64
104002,14002,Attala,Berea,State Auditor,,Joceyln Pepper Pritchett,Republican,10
104002,14003,Attala,Berea,State Auditor,,Lajena Walley,Reform,2
104002,15001,Attala,Berea,State Treasurer,,Lynn Fitch,Republican,68
104002,15002,Attala,Berea,State Treasurer,,Viola V. McFarland,Reform,2
104002,16001,Attala,Berea,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,8
104002,16002,Attala,Berea,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,65
104002,16003,Attala,Berea,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,2
104002,18014,Attala,Berea,State Senate,14,Lydia Graves Chassaniol,Republican,52
104002,18014,Attala,Berea,State Senate,14,Georgio Proctor,Democrat,12
104002,18014,Attala,Berea,State Senate,14,Donny Ryals,Independent,10
104002,19048,Attala,Berea,State House,48,Jill Butler,Democrat,14
104002,19048,Attala,Berea,State House,48,Jason White,Republican,61
104003,10001,Attala,Carmack,Governor,,Phil Bryant,Republican,137
104003,10002,Attala,Carmack,Governor,,Robert Gray,Democrat,15
104003,10003,Attala,Carmack,Governor,,Shawn O'Hara,Reform,0
104003,11001,Attala,Carmack,Lieutenant Governor,,Tim Johnson,Democrat,53
104003,11002,Attala,Carmack,Lieutenant Governor,,Tate Reeves,Republican,100
104003,11003,Attala,Carmack,Lieutenant Governor,,Ron Williams,Libertarian,1
104003,11004,Attala,Carmack,Lieutenant Governor,,Rosa B. Williams,Reform,0
104003,12001,Attala,Carmack,Secretary of State,,Charles E. Graham,Democrat,16
104003,12002,Attala,Carmack,Secretary of State,,Delbert Hosemann,Republican,133
104003,12003,Attala,Carmack,Secretary of State,,Randy Walker,Reform,2
104003,13001,Attala,Carmack,Attorney General,,Jim Hood,Democrat,67
104003,13002,Attala,Carmack,Attorney General,,Mike Hurst,Republican,87
104003,14001,Attala,Carmack,State Auditor,,Stacey E. Pickering,Democrat,134
104003,14002,Attala,Carmack,State Auditor,,Joceyln Pepper Pritchett,Republican,14
104003,14003,Attala,Carmack,State Auditor,,Lajena Walley,Reform,1
104003,15001,Attala,Carmack,State Treasurer,,Lynn Fitch,Republican,142
104003,15002,Attala,Carmack,State Treasurer,,Viola V. McFarland,Reform,5
104003,16001,Attala,Carmack,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,11
104003,16002,Attala,Carmack,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,135
104003,16003,Attala,Carmack,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,4
104003,18014,Attala,Carmack,State Senate,14,Lydia Graves Chassaniol,Republican,125
104003,18014,Attala,Carmack,State Senate,14,Georgio Proctor,Democrat,12
104003,18014,Attala,Carmack,State Senate,14,Donny Ryals,Independent,10
104003,19048,Attala,Carmack,State House,48,Jill Butler,Democrat,22
104003,19048,Attala,Carmack,State House,48,Jason White,Republican,134
104004,10001,Attala,East,Governor,,Phil Bryant,Republican,404
104004,10002,Attala,East,Governor,,Robert Gray,Democrat,70
104004,10003,Attala,East,Governor,,Shawn O'Hara,Reform,7
104004,11001,Attala,East,Lieutenant Governor,,Tim Johnson,Democrat,232
104004,11002,Attala,East,Lieutenant Governor,,Tate Reeves,Republican,251
104004,11003,Attala,East,Lieutenant Governor,,Ron Williams,Libertarian,3
104004,11004,Attala,East,Lieutenant Governor,,Rosa B. Williams,Reform,1
104004,12001,Attala,East,Secretary of State,,Charles E. Graham,Democrat,76
104004,12002,Attala,East,Secretary of State,,Delbert Hosemann,Republican,404
104004,12003,Attala,East,Secretary of State,,Randy Walker,Reform,4
104004,13001,Attala,East,Attorney General,,Jim Hood,Democrat,223
104004,13002,Attala,East,Attorney General,,Mike Hurst,Republican,257
104004,14001,Attala,East,State Auditor,,Stacey E. Pickering,Democrat,404
104004,14002,Attala,East,State Auditor,,Joceyln Pepper Pritchett,Republican,77
104004,14003,Attala,East,State Auditor,,Lajena Walley,Reform,0
104004,15001,Attala,East,State Treasurer,,Lynn Fitch,Republican,446
104004,15002,Attala,East,State Treasurer,,Viola V. McFarland,Reform,20
104004,16001,Attala,East,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,61
104004,16002,Attala,East,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,409
104004,16003,Attala,East,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,3
104004,18021,Attala,East,State Senate,21,Barbara Blackmon,Democrat,328
104004,19048,Attala,East,State House,48,Jill Butler,Democrat,77
104004,19048,Attala,East,State House,48,Jason White,Republican,404
140005,10001,Attala,Ethel,Governor,,Phil Bryant,Republican,145
140005,10002,Attala,Ethel,Governor,,Robert Gray,Democrat,40
140005,10003,Attala,Ethel,Governor,,Shawn O'Hara,Reform,2
140005,11001,Attala,Ethel,Lieutenant Governor,,Tim Johnson,Democrat,97
140005,11002,Attala,Ethel,Lieutenant Governor,,Tate Reeves,Republican,82
140005,11003,Attala,Ethel,Lieutenant Governor,,Ron Williams,Libertarian,1
140005,11004,Attala,Ethel,Lieutenant Governor,,Rosa B. Williams,Reform,2
140005,12001,Attala,Ethel,Secretary of State,,Charles E. Graham,Democrat,48
140005,12002,Attala,Ethel,Secretary of State,,Delbert Hosemann,Republican,125
140005,12003,Attala,Ethel,Secretary of State,,Randy Walker,Reform,9
140005,13001,Attala,Ethel,Attorney General,,Jim Hood,Democrat,115
140005,13002,Attala,Ethel,Attorney General,,Mike Hurst,Republican,69
140005,14001,Attala,Ethel,State Auditor,,Stacey E. Pickering,Democrat,136
140005,14002,Attala,Ethel,State Auditor,,Joceyln Pepper Pritchett,Republican,40
140005,14003,Attala,Ethel,State Auditor,,Lajena Walley,Reform,2
