county,precinct,office,district,party,candidate,total
Lafayette,Abbeville,Governor,,Republican,Phil Bryant,346
Lafayette,Abbeville,Governor,,Democrat,Robert Gray,266
Lafayette,Abbeville,Governor,,Reform,Shawn O'Hara,3
Lafayette,Abbeville,Lieutenant Governor,,Democrat,Tim Johnson,338
Lafayette,Abbeville,Lieutenant Governor,,Republican,Tate Reeves,244
Lafayette,Abbeville,Lieutenant Governor,,Libertarian,Ron Williams,14
Lafayette,Abbeville,Lieutenant Governor,,Reform,Rosa B. Williams,6
Lafayette,Abbeville,Secretary of State,,Democrat,Charles E. Graham,355
Lafayette,Abbeville,Secretary of State,,Republican,Delbert Hosemann,238
Lafayette,Abbeville,Secretary of State,,Reform,Randy Walker,12
Lafayette,Abbeville,Attorney General,,Democrat,Jim Hood,412
Lafayette,Abbeville,Attorney General,,Republican,Mike Hurst,196
Lafayette,Abbeville,State Auditor,,Republican,Stacey E. Pickering,336
Lafayette,Abbeville,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,262
Lafayette,Abbeville,State Auditor,,Reform,Lajena Walley,5
Lafayette,Airport Grocery,Governor,,Republican,Phil Bryant,55
Lafayette,Airport Grocery,Governor,,Democrat,Robert Gray,239
Lafayette,Airport Grocery,Governor,,Reform,Shawn O'Hara,13
Lafayette,Airport Grocery,Lieutenant Governor,,Democrat,Tim Johnson,71
Lafayette,Airport Grocery,Lieutenant Governor,,Republican,Tate Reeves,218
Lafayette,Airport Grocery,Lieutenant Governor,,Libertarian,Ron Williams,18
Lafayette,Airport Grocery,Lieutenant Governor,,Reform,Rosa B. Williams,2
Lafayette,Airport Grocery,Secretary of State,,Democrat,Charles E. Graham,67
Lafayette,Airport Grocery,Secretary of State,,Republican,Delbert Hosemann,219
Lafayette,Airport Grocery,Secretary of State,,Reform,Randy Walker,17
Lafayette,Airport Grocery,Attorney General,,Democrat,Jim Hood,143
Lafayette,Airport Grocery,Attorney General,,Republican,Mike Hurst,167
Lafayette,Airport Grocery,State Auditor,,Republican,Stacey E. Pickering,60
Lafayette,Airport Grocery,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,240
Lafayette,Airport Grocery,State Auditor,,Reform,Lajena Walley,5
Lafayette,Anchor-Taylor 4,Governor,,Republican,Phil Bryant,27
Lafayette,Anchor-Taylor 4,Governor,,Democrat,Robert Gray,208
Lafayette,Anchor-Taylor 4,Governor,,Reform,Shawn O'Hara,2
Lafayette,Anchor-Taylor 4,Lieutenant Governor,,Democrat,Tim Johnson,34
Lafayette,Anchor-Taylor 4,Lieutenant Governor,,Republican,Tate Reeves,201
Lafayette,Anchor-Taylor 4,Lieutenant Governor,,Libertarian,Ron Williams,3
Lafayette,Anchor-Taylor 4,Lieutenant Governor,,Reform,Rosa B. Williams,0
Lafayette,Anchor-Taylor 4,Secretary of State,,Democrat,Charles E. Graham,33
