candidate,office,district,party,county,votes
Robert Gray,Governor,,D,Adams,4287
Valerie Adream Smartt Short,Governor,,D,Adams,1131
Vicki Slater,Governor,,D,Adams,1766
Jelani Barr,Lt. Governor,,D,Adams,1468
Tim Johnson,Lt. Governor,,D,Adams,5276
Steve Hale,State Senate,10,D,Adams,
Bill Stone,State Senate,10,D,Adams,
Clara/Claire Dawkins-Davis,State Senate,11,D,Adams,
"James Jimmy S. Edwards, Jr.",State Senate,11,D,Adams,
Robert L. Jackson,State Senate,11,D,Adams,
Barbara Blackmon,State Senate,21,D,Adams,
Kenneth Wayne Jones,State Senate,21,D,Adams,
John Horhn,State Senate,26,D,Adams,
Stephen Thompson,State Senate,26,D,Adams,
David Blount,State Senate,29,D,Adams,
Eclecius L. Franklin,State Senate,29,D,Adams,
Kathryn Michell Orey Perry,State Senate,29,D,Adams,
Keith K. Jackson,State Senate,32,D,Adams,
"Sampson Jackson, II",State Senate,32,D,Adams,
Juan Barnett,State Senate,34,D,Adams,
Trey Chinn,State Senate,34,D,Adams,
Deborah Shelby Woullard,State Senate,34,D,Adams,
Albert Butler,State Senate,36,D,Adams,
"Elvis E. Colenburg, Sr.",State Senate,36,D,Adams,
Jeffery Coach Harness,State Senate,36,D,Adams,
Etta Batteaste-Taplin,State Senate,37,D,Adams,2422
Bob M. Dearing,State Senate,37,D,Adams,4064
Angela Baker Brooks,State Senate,38,D,Adams,1472
Albert Eubanks,State Senate,38,D,Adams,37
Gregory Harris,State Senate,38,D,Adams,118
"Daryl L. Porter, Jr.",State Senate,38,D,Adams,126
Tammy Felder Witherspoon,State Senate,38,D,Adams,
Deborah Dawkins,State Senate,48,D,Adams,312
"Joseph B. Piernas, Sr.",State Senate,48,D,Adams,
Lauren Childers,State House,3,D,Adams,
Jimmy Wayne Russell,State House,3,D,Adams,
John Faulkner,State House,5,D,Adams,
Jacqueline Simon,State House,5,D,Adams,
Cedric Burnett,State House,9,D,Adams,
Marilyn L. Young,State House,9,D,Adams,
Michael Cathey,State House,11,D,Adams,
Lataisha M. Jackson,State House,11,D,Adams,
Jim Newman,State House,17,D,Adams,
Charles Penson,State House,17,D,Adams,
Sanford Johnson,State House,26,D,Adams,
Orlando W. Paden,State House,26,D,Adams,
Leroy Lacy,State House,27,D,Adams,
"Bulus E. Leflore, Jr.",State House,27,D,Adams,
Kenneth Walker,State House,27,D,Adams,
Robert E. Huddleston,State House,30,D,Adams,
Zack Huffman,State House,30,D,Adams,
Tracey Rosebud,State House,30,D,Adams,
Lester Williams,State House,30,D,Adams,
Charles Modley,State House,31,D,Adams,
Sara Richardson Thomas,State House,31,D,Adams,
Reta Holden,State House,34,D,Adams,
Kevin Horan,State House,34,D,Adams,
Jimmy Davidson,State House,36,D,Adams,
Karl Malinski Gibbs,State House,36,D,Adams,
"Edward N. Houston, Jr.",State House,36,D,Adams,
