candidate,office,district,party,county,precinct,votes,winner
Phil Bryant,Governor,,Republican,Quitman,,Crenshaw,15,
Robert Gray,Governor,,Democrat,Quitman,,Crenshaw,61,
Shawn O'Hara,Governor,,Reform,Quitman,,Crenshaw,5,
Phil Bryant,Governor,,Republican,Quitman,,Crowder,227,
Robert Gray,Governor,,Democrat,Quitman,,Crowder,20,
Shawn O'Hara,Governor,,Reform,Quitman,,Crowder,0,
Phil Bryant,Governor,,Republican,Quitman,,Darling,73,
Robert Gray,Governor,,Democrat,Quitman,,Darling,65,
Shawn O'Hara,Governor,,Reform,Quitman,,Darling,7,
Phil Bryant,Governor,,Republican,Quitman,,District 3 North,259,
Robert Gray,Governor,,Democrat,Quitman,,District 3 North,125,
Shawn O'Hara,Governor,,Reform,Quitman,,District 3 North,3,
Phil Bryant,Governor,,Republican,Quitman,,District 3 South,220,
Robert Gray,Governor,,Democrat,Quitman,,District 3 South,126,
Shawn O'Hara,Governor,,Reform,Quitman,,District 3 South,4,
Phil Bryant,Governor,,Republican,Quitman,,Lambert,114,
Robert Gray,Governor,,Democrat,Quitman,,Lambert,167,
Shawn O'Hara,Governor,,Reform,Quitman,,Lambert,7,
Phil Bryant,Governor,,Republican,Quitman,,North West Marks,197,
Robert Gray,Governor,,Democrat,Quitman,,North West Marks,254,
Shawn O'Hara,Governor,,Reform,Quitman,,North West Marks,6,
Phil Bryant,Governor,,Republican,Quitman,,Sledge,103,
Robert Gray,Governor,,Democrat,Quitman,,Sledge,229,
Shawn O'Hara,Governor,,Reform,Quitman,,Sledge,12,
Phil Bryant,Governor,,Republican,Quitman,,South West Marks,122,
Robert Gray,Governor,,Democrat,Quitman,,South West Marks,150,
Shawn O'Hara,Governor,,Reform,Quitman,,South West Marks,10,
Phil Bryant,Governor,,Republican,Quitman,,West Lambert,119,
Robert Gray,Governor,,Democrat,Quitman,,West Lambert,162,
Shawn O'Hara,Governor,,Reform,Quitman,,West Lambert,4,
Phil Bryant,Governor,,Republican,Quitman,,,1449,1
Robert Gray,Governor,,Democrat,Quitman,,,1359,
Shawn O'Hara,Governor,,Reform,Quitman,,,58,
Tim Johnson,Lieutenant Governor,,Democrat,Quitman,,Crenshaw,59,
Tate Reeves,Lieutenant Governor,,Republican,Quitman,,Crenshaw,9,
Ron Williams,Lieutenant Governor,,Libertarian,Quitman,,Crenshaw,2,
Rosa B. Williams,Lieutenant Governor,,Reform,Quitman,,Crenshaw,10,
Tim Johnson,Lieutenant Governor,,Democrat,Quitman,,Crowder,41,
Tate Reeves,Lieutenant Governor,,Republican,Quitman,,Crowder,185,
Ron Williams,Lieutenant Governor,,Libertarian,Quitman,,Crowder,6,
Rosa B. Williams,Lieutenant Governor,,Reform,Quitman,,Crowder,7,
Tim Johnson,Lieutenant Governor,,Democrat,Quitman,,Darling,75,
Tate Reeves,Lieutenant Governor,,Republican,Quitman,,Darling,47,
Ron Williams,Lieutenant Governor,,Libertarian,Quitman,,Darling,5,
