county ,precinct,office,district,party,candidate ,votes,winner
Perry,Arlington 4100,Attorney General,,Democrat,Jim Hood,173,
Perry,Arlington 4100,Attorney General,,Republican,Mike Hurst,173,
Perry,Arlington 4100,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,280,
Perry,Arlington 4100,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,60,
Perry,Arlington 4100,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Perry,Arlington 4100,Commissioner of Insurance,,Republican,Mike Chaney,328,
Perry,Arlington 4100,District Attorney,12,Republican,Patricia Burchell,314,
Perry,Arlington 4100,Governor,,Republican,Phil Bryant,306,
Perry,Arlington 4100,Governor,,Reform,Shawn O'Hara,6,
Perry,Arlington 4100,Governor ,,Democrat,Robert Gray,40,
Perry,Arlington 4100,Lieutenant Governor,,Democrat,Tim Johnson,39,
Perry,Arlington 4100,Lieutenant Governor,,Republican,Tate Reeves,284,
Perry,Arlington 4100,Lieutenant Governor,,Libertarian,Ron Williams,17,
Perry,Arlington 4100,Lieutenant Governor,,Reform,Rosa B. Williams,4,
Perry,Arlington 4100,Public Service Commissioner,,Democrat,Tom Blanton ,92,
Perry,Arlington 4100,Public Service Commissioner,,Republican,"Samuel E. ""sam"" Britton ",229,
Perry,Arlington 4100,Public Service Commissioner,,Reform,Lonny Kenneth Spence,14,
Perry,Arlington 4100,Secretary of State ,,Democrat,Charles E. Graham,60,
Perry,Arlington 4100,Secretary of State ,,Republican,Delbert Hoseman,271,
Perry,Arlington 4100,Secretary of State ,,Reform,Randy Walker,14,
Perry,Arlington 4100,State Auditor,,Republican,Stacey E. Pickering,295,
Perry,Arlington 4100,State Auditor,,Democrat,Jocelyn Pepper Pritchett,36,
Perry,Arlington 4100,State Auditor,,Reform,Lajena Wallay,13,
Perry,Arlington 4100,State House,105,Democrat,Dennis Cochran,204,
Perry,Arlington 4100,State House,105,Republican,Roun McNeal,136,
Perry,Arlington 4100,State Senate,45,Republican,Billy Hudson ,319,
Perry,Arlington 4100,State Senate,45,Reform,Eli Jackson ,16,
Perry,Arlington 4100,State Treasurer,,Republican,Lynn Fitch,312,
Perry,Arlington 4100,State Treasurer,,Reform,Viola V. McFarland,26,
Perry,Arlington 4100,Transportation Commissioner,,Reform,Sheranda Atkinson ,12,
Perry,Arlington 4100,Transportation Commissioner,,Republican,Tom King ,279,
Perry,Arlington 4100,Transportation Commissioner,,Democrat,Chad Toney ,51,
Perry,Beaumont District 1 1030,Attorney General,,Democrat,Jim Hood,234,
Perry,Beaumont District 1 1030,Attorney General,,Republican,Mike Hurst,50,
Perry,Beaumont District 1 1030,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,84,
Perry,Beaumont District 1 1030,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,168,
Perry,Beaumont District 1 1030,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,13,
Perry,Beaumont District 1 1030,Commissioner of Insurance,,Republican,Mike Chaney,198,
Perry,Beaumont District 1 1030,District Attorney,12,Republican,Patricia Burchell,187,
Perry,Beaumont District 1 1030,Governor,,Republican,Phil Bryant,129,
Perry,Beaumont District 1 1030,Governor,,Reform,Shawn O'Hara,11,
Perry,Beaumont District 1 1030,Governor ,,Democrat,Robert Gray,151,
Perry,Beaumont District 1 1030,Lieutenant Governor,,Democrat,Tim Johnson,155,
Perry,Beaumont District 1 1030,Lieutenant Governor,,Republican,Tate Reeves,106,
Perry,Beaumont District 1 1030,Lieutenant Governor,,Libertarian,Ron Williams,10,
Perry,Beaumont District 1 1030,Lieutenant Governor,,Reform,Rosa B. Williams,11,
Perry,Beaumont District 1 1030,Public Service Commissioner,,Democrat,Tom Blanton ,204,
Perry,Beaumont District 1 1030,Public Service Commissioner,,Republican,"Samuel E. ""sam"" Britton ",76,
Perry,Beaumont District 1 1030,Public Service Commissioner,,Reform,Lonny Kenneth Spence,6,
Perry,Beaumont District 1 1030,Secretary of State ,,Democrat,Charles E. Graham,186,
Perry,Beaumont District 1 1030,Secretary of State ,,Republican,Delbert Hoseman,88,
Perry,Beaumont District 1 1030,Secretary of State ,,Reform,Randy Walker,10,
Perry,Beaumont District 1 1030,State Auditor,,Republican,Stacey E. Pickering,106,
Perry,Beaumont District 1 1030,State Auditor,,Democrat,Jocelyn Pepper Pritchett,169,
Perry,Beaumont District 1 1030,State Auditor,,Reform,Lajena Wallay,11,
Perry,Beaumont District 1 1030,State House,105,Democrat,Dennis Cochran,222,
Perry,Beaumont District 1 1030,State House,105,Republican,Roun McNeal,54,
Perry,Beaumont District 1 1030,State Senate,45,Republican,Billy Hudson ,155,
Perry,Beaumont District 1 1030,State Senate,45,Reform,Eli Jackson ,67,
Perry,Beaumont District 1 1030,State Treasurer,,Republican,Lynn Fitch,162,
Perry,Beaumont District 1 1030,State Treasurer,,Reform,Viola V. McFarland,89,
Perry,Beaumont District 1 1030,Transportation Commissioner,,Reform,Sheranda Atkinson ,11,
Perry,Beaumont District 1 1030,Transportation Commissioner,,Republican,Tom King ,100,
Perry,Beaumont District 1 1030,Transportation Commissioner,,Democrat,Chad Toney ,166,
Perry,Beaumont Senior Citizens 5120,Attorney General,,Democrat,Jim Hood,85,
Perry,Beaumont Senior Citizens 5120,Attorney General,,Republican,Mike Hurst,60,
Perry,Beaumont Senior Citizens 5120,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,94,
Perry,Beaumont Senior Citizens 5120,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,43,
Perry,Beaumont Senior Citizens 5120,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Perry,Beaumont Senior Citizens 5120,Commissioner of Insurance,,Republican,Mike Chaney,125,
Perry,Beaumont Senior Citizens 5120,District Attorney,12,Republican,Patricia Burchell,118,
Perry,Beaumont Senior Citizens 5120,Governor,,Republican,Phil Bryant,112,
Perry,Beaumont Senior Citizens 5120,Governor,,Reform,Shawn O'Hara,2,
Perry,Beaumont Senior Citizens 5120,Governor ,,Democrat,Robert Gray,31,
Perry,Beaumont Senior Citizens 5120,Lieutenant Governor,,Democrat,Tim Johnson,35,
Perry,Beaumont Senior Citizens 5120,Lieutenant Governor,,Republican,Tate Reeves,100,
Perry,Beaumont Senior Citizens 5120,Lieutenant Governor,,Libertarian,Ron Williams,4,
Perry,Beaumont Senior Citizens 5120,Lieutenant Governor,,Reform,Rosa B. Williams,3,
