office,county,candidate,party,votes,,,,,,,,,,,,,
Governor,Adams,Phil Bryant,Republican,3767,,,,,,,,,,,,,
Governor,Adams,Robert Gray,Democrat,3539,,,,,,,,,,,,,
Governor,Adams,Shawn O'Hara,Reform,71,,,,,,,,,,,,,
Governor,Alcorn,Phil Bryant,Republican,8817,,,,,,,,,,,,,
Governor,Alcorn,Robert Gray,Democrat,1649,,,,,,,,,,,,,
Governor,Alcorn,Shawn O'Hara,Reform,113,,,,,,,,,,,,,
Governor,Amite,Phil Bryant,Republican,3176,,,,,,,,,,,,,
Governor,Amite,Robert Gray,Democrat,1874,,,,,,,,,,,,,
Governor,Amite,Shawn O'Hara,Reform,76,,,,,,,,,,,,,
Governor,Attala,Phil Bryant,Republican,3449,,,,,,,,,,,,,
Governor,Attala,Robert Gray,Democrat,1577,,,,,,,,,,,,,
Governor,Attala,Shawn O'Hara,Reform,49,,,,,,,,,,,,,Clarke
Governor,Benton,Phil Bryant,Republican,1753,,,,,,,,,,,,,Clay
Governor,Benton,Robert Gray,Democrat,958,,,,,,,,,,,,,Coahoma
Governor,Benton,Shawn O'Hara,Reform,54,,,,,,,,,,,,,Copiah
Governor,Bolivar,Phil Bryant,Republican,4255,,,,,,,,,,,,,Covington
Governor,Bolivar,Robert Gray,Democrat,5040,,,,,,,,,,,,,Desoto
Governor,Bolivar,Shawn O'Hara,Reform,98,,,,,,,,,,,,,Forrest
Governor,Calhoun,Phil Bryant,Republican,3957,,,,,,,,,,,,,Franklin
Governor,Calhoun,Robert Gray,Democrat,1144,,,,,,,,,,,,,George
Governor,Calhoun,Shawn O'Hara,Reform,51,,,,,,,,,,,,,Greene
Governor,Carroll,Phil Bryant,Republican,2934,,,,,,,,,,,,,Grenada
Governor,Carroll,Robert Gray,Democrat,1096,,,,,,,,,,,,,Hancock
Governor,Carroll,Shawn O'Hara,Reform,31,,,,,,,,,,,,,Harrison
Governor,Chickasaw,Phil Bryant,Republican,3545,,,,,,,,,,,,,Hinds
Governor,Chickasaw,Robert Gray,Democrat,2141,,,,,,,,,,,,,Holmes
Governor,Chickasaw,Shawn O'Hara,Reform,54,,,,,,,,,,,,,Humphreys
Governor,Choctaw,Phil Bryant,Republican,2215,,,,,,,,,,,,,Issaquena
Governor,Choctaw,Robert Gray,Democrat,570,,,,,,,,,,,,,Itawamba
Governor,Choctaw,Shawn O'Hara,Reform,31,,,,,,,,,,,,,Jackson
Governor,Claiborne,Phil Bryant,Republican,1158,,,,,,,,,,,,,Jasper
Governor,Claiborne,Robert Gray,Democrat,2250,,,,,,,,,,,,,Jefferson Davis
Governor,Claiborne,Shawn O'Hara,Reform,76,,,,,,,,,,,,,Jefferson
Lieutenant Governor,Adams,Tim Johnson,Democrat,3657,,,,,,,,,,,,,Jones
Lieutenant Governor,Adams,Tate Reeves,Republican,3410,,,,,,,,,,,,,Kemper
Lieutenant Governor,Adams,Ron Williams,Libertarian,117,,,,,,,,,,,,,Lafayette
Lieutenant Governor,Adams,Rosa B. Williams,Reform,98,,,,,,,,,,,,,Lamar
Lieutenant Governor,Alcorn,Tim Johnson,Democrat,2228,,,,,,,,,,,,,Lauderdale
Lieutenant Governor,Alcorn,Tate Reeves,Republican,7727,,,,,,,,,,,,,Lawrence
Lieutenant Governor,Alcorn,Ron Williams,Libertarian,205,,,,,,,,,,,,,Leake
Lieutenant Governor,Alcorn,Rosa B. Williams,Reform,161,,,,,,,,,,,,,Lee
Lieutenant Governor,Amite,Tim Johnson,Democrat,1998,,,,,,,,,,,,,Leflore
Lieutenant Governor,Amite,Tate Reeves,Republican,2851,,,,,,,,,,,,,Lincoln
Lieutenant Governor,Amite,Ron Williams,Libertarian,117,,,,,,,,,,,,,Lowndes
Lieutenant Governor,Amite,Rosa B. Williams,Reform,66,,,,,,,,,,,,,Madison
Lieutenant Governor,Attala,Tim Johnson,Democrat,2774,,,,,,,,,,,,,Marion
Lieutenant Governor,Attala,Tate Reeves,Republican,2183,,,,,,,,,,,,,Marshall
Lieutenant Governor,Attala,Ron Williams,Libertarian,80,,,,,,,,,,,,,Monroe
Lieutenant Governor,Attala,Rosa B. Williams,Reform,39,,,,,,,,,,,,,Montgomery
Lieutenant Governor,Benton,Tim Johnson,Democrat,1178,,,,,,,,,,,,,Neshoba
