county,office,district,party,candidate,votes,winner
Alcorn,U.S. House,1,Republican,Trent Kelly,2841,
Alcorn,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",744,
Alcorn,U.S. House,1,,,3585,
Benton,U.S. House,1,Republican,Trent Kelly,696,
Benton,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",424,
Benton,U.S. House,1,,,1120,
Calhoun,U.S. House,1,Republican,Trent Kelly,1820,
Calhoun,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",688,
Calhoun,U.S. House,1,,,2508,
Chickasaw,U.S. House,1,Republican,Trent Kelly,1967,
Chickasaw,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",1803,
Chickasaw,U.S. House,1,,,3770,
Choctaw,U.S. House,1,Republican,Trent Kelly,1141,
Choctaw,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",378,
Choctaw,U.S. House,1,,,1519,
Clay,U.S. House,1,Republican,Trent Kelly,2092,
Clay,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",2407,
Clay,U.S. House,1,,,4499,
Desoto,U.S. House,1,Republican,Trent Kelly,9764,
Desoto,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",2704,
Desoto,U.S. House,1,,,12468,
Itawamba,U.S. House,1,Republican,Trent Kelly,3127,
Itawamba,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",405,
Itawamba,U.S. House,1,,,3532,
Lafayette,U.S. House,1,Republican,Trent Kelly,3338,
Lafayette,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",2401,
Lafayette,U.S. House,1,,,5739,
Lee,U.S. House,1,Republican,Trent Kelly,10723,
Lee,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",3839,
Lee,U.S. House,1,,,14562,
Lowndes,U.S. House,1,Republican,Trent Kelly,5283,
Lowndes,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",3052,
Lowndes,U.S. House,1,,,8335,
Marshall,U.S. House,1,Republican,Trent Kelly,1932,
Marshall,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",2256,
Marshall,U.S. House,1,,,4188,
Monroe,U.S. House,1,Republican,Trent Kelly,4116,
Monroe,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",2288,
Monroe,U.S. House,1,,,6404,
Oktibbeha,U.S. House,1,Republican,Trent Kelly,320,
Oktibbeha,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",178,
Oktibbeha,U.S. House,1,,,498,
Pontotoc,U.S. House,1,Republican,Trent Kelly,4038,
Pontotoc,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",1513,
Pontotoc,U.S. House,1,,,5551,
Prentiss,U.S. House,1,Republican,Trent Kelly,2528,
Prentiss,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",720,
Prentiss,U.S. House,1,,,3248,
Tate,U.S. House,1,Republican,Trent Kelly,2041,
Tate,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",801,
Tate,U.S. House,1,,,2842,
Tippah,U.S. House,1,Republican,Trent Kelly,2472,
Tippah,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",608,
Tippah,U.S. House,1,,,3080,
Tishomingo,U.S. House,1,Republican,Trent Kelly,2026,
Tishomingo,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",361,
Tishomingo,U.S. House,1,,,2387,
Union,U.S. House,1,Republican,Trent Kelly,3663,
Union,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",806,
Union,U.S. House,1,,,4469,
Webster,U.S. House,1,Republican,Trent Kelly,1728,
Webster,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",276,
Webster,U.S. House,1,,,2004,
Winston,U.S. House,1,Republican,Trent Kelly,1860,
Winston,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",1179,
Winston,U.S. House,1,,,3039,
