county,precinct,office,district,party,candidate,votes,winner
Prentiss,Baldwyn,Governor,,Republican,Phil Bryant,333,
Prentiss,Baldwyn,Governor,,Democrat,Robert Gray,175,
Prentiss,Baldwyn,Governor,,Reform,Shawn O'Hara,2,
Prentiss,Baldwyn,Lieutenant Governor,,Democrat,Tim Johnson,199,
Prentiss,Baldwyn,Lieutenant Governor,,Republican,Tate Reeves,301,
Prentiss,Baldwyn,Lieutenant Governor,,libertarian,Ron Williams,6,
Prentiss,Baldwyn,Lieutenant Governor,,Reform,Rosa B. Williams,0,
Prentiss,Baldwyn,Secretary of State,,Democrat,Charles E. Graham,187,
Prentiss,Baldwyn,Secretary of State,,Republican,Delbert Hoseman,314,
Prentiss,Baldwyn,Secretary of State,,Reform,Randy Walker,12,
Prentiss,Baldwyn,Attorney General,,Democrat,Jim Hood,334,
Prentiss,Baldwyn,Attorney General,,Republican,Mike Hurst,180,
Prentiss,Baldwyn,State Auditor,,Republican,Stacey E. Pickering,313,
Prentiss,Baldwyn,State Auditor,,Democrat,Jocelyn Pepper Pritchett,188,
Prentiss,Baldwyn,State Auditor,,Reform,Lajena Wallay,5,
Prentiss,Baldwyn,State Treasurer,,Republican,Lynn Fitch,353,
Prentiss,Baldwyn,State Treasurer,,Reform,Viola V. McFarland,93,
Prentiss,Baldwyn,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,218,
Prentiss,Baldwyn,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,272,
Prentiss,Baldwyn,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,8,
Prentiss,Baldwyn,Commissioner of Insurance,,Republican,Mike Chaney,404,
Prentiss,Baldwyn,Public Service Commissioner,,Republican,Mike Maynard,114,
Prentiss,Baldwyn,Public Service Commissioner,,Democrat,Brandon Presley,402,
Prentiss,Baldwyn,Transportation Commissioner,,Republican,Mike Tagert,306,
Prentiss,Baldwyn,Transportation Commissioner,,Democrat,Danny Woods,200,
Prentiss,Baldwyn,District Attorney,1,Democrat,Arch Bullard,251,
Prentiss,Baldwyn,District Attorney,1,Republican,John Weedle,260,
Prentiss,Baldwyn,State Senate,5,Democrat,"J.P. Wilemon, Jr.",462,
Prentiss,Baldwyn,State House,18,Republican,Jerry R. Turner,410,
Prentiss,Blackland,Governor,,Republican,Phil Bryant,210,
Prentiss,Blackland,Governor,,Democrat,Robert Gray,28,
Prentiss,Blackland,Governor,,Reform,Shawn O'Hara,4,
Prentiss,Blackland,Lieutenant Governor,,Democrat,Tim Johnson,49,
Prentiss,Blackland,Lieutenant Governor,,Republican,Tate Reeves,190,
Prentiss,Blackland,Lieutenant Governor,,libertarian,Ron Williams,2,
Prentiss,Blackland,Lieutenant Governor,,Reform,Rosa B. Williams,1,
Prentiss,Blackland,Secretary of State,,Democrat,Charles E. Graham,32,
Prentiss,Blackland,Secretary of State,,Republican,Delbert Hoseman,203,
Prentiss,Blackland,Secretary of State,,Reform,Randy Walker,8,
Prentiss,Blackland,Attorney General,,Democrat,Jim Hood,122,
Prentiss,Blackland,Attorney General,,Republican,Mike Hurst,125,
Prentiss,Blackland,State Auditor,,Republican,Stacey E. Pickering,208,
Prentiss,Blackland,State Auditor,,Democrat,Jocelyn Pepper Pritchett,31,
Prentiss,Blackland,State Auditor,,Reform,Lajena Wallay,2,
Prentiss,Blackland,State Treasurer,,Republican,Lynn Fitch,209,
Prentiss,Blackland,State Treasurer,,Reform,Viola V. McFarland,24,
Prentiss,Blackland,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,53,
Prentiss,Blackland,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,178,
Prentiss,Blackland,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,6,
Prentiss,Blackland,Commissioner of Insurance,,Republican,Mike Chaney,222,
Prentiss,Blackland,Public Service Commissioner,,Republican,Mike Maynard,101,
Prentiss,Blackland,Public Service Commissioner,,Democrat,Brandon Presley,144,
Prentiss,Blackland,Transportation Commissioner,,Republican,Mike Tagert,191,
Prentiss,Blackland,Transportation Commissioner,,Democrat,Danny Woods,49,
Prentiss,Blackland,District Attorney,1,Democrat,Arch Bullard,122,
Prentiss,Blackland,District Attorney,1,Republican,John Weedle,123,
Prentiss,Blackland,State Senate,5,Democrat,"J.P. Wilemon, Jr.",209,
Prentiss,Blackland,State House,3,Republican,William Tracy Arnold,153,
Prentiss,Blackland,State House,3,Democrat,Lauren Childers,90,
Prentiss,Booneville/Ag-Ctr,Governor,,Republican,Phil Bryant,598,
Prentiss,Booneville/Ag-Ctr,Governor,,Democrat,Robert Gray,61,
Prentiss,Booneville/Ag-Ctr,Governor,,Reform,Shawn O'Hara,13,
Prentiss,Booneville/Ag-Ctr,Lieutenant Governor,,Democrat,Tim Johnson,113,
Prentiss,Booneville/Ag-Ctr,Lieutenant Governor,,Republican,Tate Reeves,532,
Prentiss,Booneville/Ag-Ctr,Lieutenant Governor,,libertarian,Ron Williams,10,
Prentiss,Booneville/Ag-Ctr,Lieutenant Governor,,Reform,Rosa B. Williams,8,
Prentiss,Booneville/Ag-Ctr,Secretary of State,,Democrat,Charles E. Graham,93,
Prentiss,Booneville/Ag-Ctr,Secretary of State,,Republican,Delbert Hoseman,556,
Prentiss,Booneville/Ag-Ctr,Secretary of State,,Reform,Randy Walker,20,
Prentiss,Booneville/Ag-Ctr,Attorney General,,Democrat,Jim Hood,312,
Prentiss,Booneville/Ag-Ctr,Attorney General,,Republican,Mike Hurst,361,
Prentiss,Booneville/Ag-Ctr,State Auditor,,Republican,Stacey E. Pickering,560,
Prentiss,Booneville/Ag-Ctr,State Auditor,,Democrat,Jocelyn Pepper Pritchett,86,
Prentiss,Booneville/Ag-Ctr,State Auditor,,Reform,Lajena Wallay,11,
Prentiss,Booneville/Ag-Ctr,State Treasurer,,Republican,Lynn Fitch,600,
Prentiss,Booneville/Ag-Ctr,State Treasurer,,Reform,Viola V. McFarland,45,
Prentiss,Booneville/Ag-Ctr,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,154,
Prentiss,Booneville/Ag-Ctr,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,486,
Prentiss,Booneville/Ag-Ctr,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,12,
Prentiss,Booneville/Ag-Ctr,Commissioner of Insurance,,Republican,Mike Chaney,617,
Prentiss,Booneville/Ag-Ctr,Public Service Commissioner,,Republican,Mike Maynard,234,
Prentiss,Booneville/Ag-Ctr,Public Service Commissioner,,Democrat,Brandon Presley,435,
Prentiss,Booneville/Ag-Ctr,Transportation Commissioner,,Republican,Mike Tagert,546,
Prentiss,Booneville/Ag-Ctr,Transportation Commissioner,,Democrat,Danny Woods,111,
Prentiss,Booneville/Ag-Ctr,District Attorney,1,Democrat,Arch Bullard,274,
Prentiss,Booneville/Ag-Ctr,District Attorney,1,Republican,John Weedle,398,
Prentiss,Booneville/Ag-Ctr,State Senate,5,Democrat,"J.P. Wilemon, Jr.",579,
Prentiss,Booneville/Ag-Ctr,State House,3,Republican,William Tracy Arnold,419,
Prentiss,Booneville/Ag-Ctr,State House,3,Democrat,Lauren Childers,250,
Prentiss,Cairo,Governor,,Republican,Phil Bryant,181,
Prentiss,Cairo,Governor,,Democrat,Robert Gray,40,
Prentiss,Cairo,Governor,,Reform,Shawn O'Hara,1,
Prentiss,Cairo,Lieutenant Governor,,Democrat,Tim Johnson,40,
Prentiss,Cairo,Lieutenant Governor,,Republican,Tate Reeves,168,
Prentiss,Cairo,Lieutenant Governor,,libertarian,Ron Williams,6,
Prentiss,Cairo,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Prentiss,Cairo,Secretary of State,,Democrat,Charles E. Graham,48,
Prentiss,Cairo,Secretary of State,,Republican,Delbert Hoseman,162,
Prentiss,Cairo,Secretary of State,,Reform,Randy Walker,9,
Prentiss,Cairo,Attorney General,,Democrat,Jim Hood,105,
Prentiss,Cairo,Attorney General,,Republican,Mike Hurst,117,
Prentiss,Cairo,State Auditor,,Republican,Stacey E. Pickering,173,
Prentiss,Cairo,State Auditor,,Democrat,Jocelyn Pepper Pritchett,41,
Prentiss,Cairo,State Auditor,,Reform,Lajena Wallay,4,
Prentiss,Cairo,State Treasurer,,Republican,Lynn Fitch,173,
Prentiss,Cairo,State Treasurer,,Reform,Viola V. McFarland,28,
Prentiss,Cairo,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,61,
Prentiss,Cairo,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,148,
Prentiss,Cairo,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Prentiss,Cairo,Commissioner of Insurance,,Republican,Mike Chaney,193,
Prentiss,Cairo,Public Service Commissioner,,Republican,Mike Maynard,76,
Prentiss,Cairo,Public Service Commissioner,,Democrat,Brandon Presley,145,
Prentiss,Cairo,Transportation Commissioner,,Republican,Mike Tagert,168,
Prentiss,Cairo,Transportation Commissioner,,Democrat,Danny Woods,48,
Prentiss,Cairo,District Attorney,1,Democrat,Arch Bullard,92,
Prentiss,Cairo,District Attorney,1,Republican,John Weedle,126,
Prentiss,Cairo,State Senate,5,Democrat,"J.P. Wilemon, Jr.",193,
Prentiss,Cairo,State House,3,Republican,William Tracy Arnold,151,
Prentiss,Cairo,State House,3,Democrat,Lauren Childers,70,
Prentiss,Cross Roads,Governor,,Republican,Phil Bryant,282,
Prentiss,Cross Roads,Governor,,Democrat,Robert Gray,80,
Prentiss,Cross Roads,Governor,,Reform,Shawn O'Hara,6,
Prentiss,Cross Roads,Lieutenant Governor,,Democrat,Tim Johnson,109,
Prentiss,Cross Roads,Lieutenant Governor,,Republican,Tate Reeves,244,
Prentiss,Cross Roads,Lieutenant Governor,,libertarian,Ron Williams,4,
Prentiss,Cross Roads,Lieutenant Governor,,Reform,Rosa B. Williams,3,
Prentiss,Cross Roads,Secretary of State,,Democrat,Charles E. Graham,68,
Prentiss,Cross Roads,Secretary of State,,Republican,Delbert Hoseman,268,
Prentiss,Cross Roads,Secretary of State,,Reform,Randy Walker,12,
Prentiss,Cross Roads,Attorney General,,Democrat,Jim Hood,214,
Prentiss,Cross Roads,Attorney General,,Republican,Mike Hurst,156,
Prentiss,Cross Roads,State Auditor,,Republican,Stacey E. Pickering,270,
