county,precinct,office,district,party,candidate,total
Marion,Balls Mill,Governor,,Republican,Phil Bryant,291
Marion,Balls Mill,Governor,,Democrat,Robert Gray,58
Marion,Balls Mill,Governor,,Reform,Shawn O'Hara,1
Marion,Balls Mill,Lieutenant Governor,,Democrat,Tim Johnson,66
Marion,Balls Mill,Lieutenant Governor,,Republican,Tate Reeves,277
Marion,Balls Mill,Lieutenant Governor,,Libertarian,Ron Williams,4
Marion,Balls Mill,Lieutenant Governor,,Reform,Rosa B. Williams,3
Marion,Balls Mill,Secretary of State,,Democrat,Charles E. Graham,68
Marion,Balls Mill,Secretary of State,,Republican,Delbert Hosemann,276
Marion,Balls Mill,Secretary of State,,Reform,Randy Walker,6
Marion,Balls Mill,Attorney General,,Democrat,Jim Hood,131
Marion,Balls Mill,Attorney General,,Republican,Mike Hurst,217
Marion,Balls Mill,State Auditor,,Republican,Stacey E. Pickering,285
Marion,Balls Mill,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,64
Marion,Balls Mill,State Auditor,,Reform,Lajena Walley,1
Marion,Balls Mill,State Treasurer,,Republican,Lynn Fitch,293
Marion,Balls Mill,State Treasurer,,Reform,Viola McFarland,30
Marion,Balls Mill,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,68
Marion,Balls Mill,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,276
Marion,Balls Mill,Commissioner of Agriculture & Commerce,,Reform,Cathy L Toole,5
Marion,Balls Mill,Commissioner of Insurance,,Republican,Mike Chaney,305
Marion,Balls Mill,State Senate,40,Republican,Angela Burks Hill,303
Marion,Balls Mill,State House,99,Republican,Bill Pigott,304
Marion,Carley,Governor,,Republican,Phil Bryant,495
Marion,Carley,Governor,,Democrat,Robert Gray,35
Marion,Carley,Governor,,Reform,Shawn O'Hara,4
Marion,Carley,Lieutenant Governor,,Democrat,Tim Johnson,38
Marion,Carley,Lieutenant Governor,,Republican,Tate Reeves,480
Marion,Carley,Lieutenant Governor,,Libertarian,Ron Williams,10
Marion,Carley,Lieutenant Governor,,Reform,Rosa B. Williams,0
Marion,Carley,Secretary of State,,Democrat,Charles E. Graham,37
Marion,Carley,Secretary of State,,Republican,Delbert Hosemann,478
Marion,Carley,Secretary of State,,Reform,Randy Walker,11
Marion,Carley,Attorney General,,Democrat,Jim Hood,140
Marion,Carley,Attorney General,,Republican,Mike Hurst,393
Marion,Carley,State Auditor,,Republican,Stacey E. Pickering,490
Marion,Carley,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,34
Marion,Carley,State Auditor,,Reform,Lajena Walley,2
Marion,Carley,State Treasurer,,Republican,Lynn Fitch,498
Marion,Carley,State Treasurer,,Reform,Viola McFarland,24
Marion,Carley,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,43
Marion,Carley,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,475
Marion,Carley,Commissioner of Agriculture & Commerce,,Reform,Cathy L Toole,6
Marion,Carley,Commissioner of Insurance,,Republican,Mike Chaney,518
Marion,Carley,State Senate,40,Republican,Angela Burks Hill,515
Marion,Carley,State House,100,Republican,Ken Morgan,517
Marion,Cedar Grove,Governor,,Republican,Phil Bryant,194
Marion,Cedar Grove,Governor,,Democrat,Robert Gray,65
Marion,Cedar Grove,Governor,,Reform,Shawn O'Hara,2
Marion,Cedar Grove,Lieutenant Governor,,Democrat,Tim Johnson,72
Marion,Cedar Grove,Lieutenant Governor,,Republican,Tate Reeves,176
Marion,Cedar Grove,Lieutenant Governor,,Libertarian,Ron Williams,6
Marion,Cedar Grove,Lieutenant Governor,,Reform,Rosa B. Williams,3
Marion,Cedar Grove,Secretary of State,,Democrat,Charles E. Graham,74
Marion,Cedar Grove,Secretary of State,,Republican,Delbert Hosemann,178
Marion,Cedar Grove,Secretary of State,,Reform,Randy Walker,9
Marion,Cedar Grove,Attorney General,,Democrat,Jim Hood,118
Marion,Cedar Grove,Attorney General,,Republican,Mike Hurst,146
Marion,Cedar Grove,State Auditor,,Republican,Stacey E. Pickering,187
Marion,Cedar Grove,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,71
Marion,Cedar Grove,State Auditor,,Reform,Lajena Walley,4
Marion,Cedar Grove,State Treasurer,,Republican,Lynn Fitch,201
Marion,Cedar Grove,State Treasurer,,Reform,Viola McFarland,44
Marion,Cedar Grove,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,77
Marion,Cedar Grove,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,180
Marion,Cedar Grove,Commissioner of Agriculture & Commerce,,Reform,Cathy L Toole,2
