county,precinct,office,district,party,candidate,total
Lamar,Lamar Park,Governor,,Republican,Phil  Bryant,424
Lamar,Lamar Park,Governor,,Democrat,Robert  Gray,194
Lamar,Lamar Park,Governor,,Reform,Shawn  O'Hara,8
Lamar,Lamar Park,Lieutenant Governor,,Democrat,Tim  Johnson,219
Lamar,Lamar Park,Lieutenant Governor,,Republican,Tate  Reeves,383
Lamar,Lamar Park,Lieutenant Governor,,Libertarian,Ron  Williams,16
Lamar,Lamar Park,Lieutenant Governor,,Reform,Rosa  B.  Williams,9
Lamar,Lamar Park,Secretary of State,,Democrat,Charles  E.  Graham,187
Lamar,Lamar Park,Secretary of State,,Republican,Delbert  Hosemann,426
Lamar,Lamar Park,Secretary of State,,Reform,Randy  Walker,10
Lamar,Lamar Park,Attorney General,,Democrat,Jim  Hood,325
Lamar,Lamar Park,Attorney General,,Republican,Mike  Hurst,298
Lamar,Lamar Park,State Auditor,,Republican,Stacey  E.  Pickering,416
Lamar,Lamar Park,State Auditor,,Democrat,Jocelyn  'Joce'  Pepper  Pritchett,200
Lamar,Lamar Park,State Auditor,,Reform,Lajena  Walley,6
Lamar,Okahola,Governor,,Republican,Phil  Bryant,242
Lamar,Okahola,Governor,,Democrat,Robert  Gray,27
Lamar,Okahola,Governor,,Reform,Shawn  O'Hara,1
Lamar,Okahola,Lieutenant Governor,,Democrat,Tim  Johnson,30
Lamar,Okahola,Lieutenant Governor,,Republican,Tate  Reeves,229
Lamar,Okahola,Lieutenant Governor,,Libertarian,Ron  Williams,13
Lamar,Okahola,Lieutenant Governor,,Reform,Rosa  B.  Williams,0
Lamar,Okahola,Secretary of State,,Democrat,Charles  E.  Graham,28
Lamar,Okahola,Secretary of State,,Republican,Delbert  Hosemann,235
Lamar,Okahola,Secretary of State,,Reform,Randy  Walker,8
Lamar,Okahola,Attorney General,,Democrat,Jim  Hood,66
Lamar,Okahola,Attorney General,,Republican,Mike  Hurst,203
Lamar,Okahola,State Auditor,,Republican,Stacey  E.  Pickering,240
Lamar,Okahola,State Auditor,,Democrat,Jocelyn  'Joce'  Pepper  Pritchett,26
Lamar,Okahola,State Auditor,,Reform,Lajena  Walley,2
Lamar,Richburg,Governor,,Republican,Phil  Bryant,718
Lamar,Richburg,Governor,,Democrat,Robert  Gray,131
Lamar,Richburg,Governor,,Reform,Shawn  O'Hara,12
Lamar,Richburg,Lieutenant Governor,,Democrat,Tim  Johnson,158
Lamar,Richburg,Lieutenant Governor,,Republican,Tate  Reeves,678
Lamar,Richburg,Lieutenant Governor,,Libertarian,Ron  Williams,20
Lamar,Richburg,Lieutenant Governor,,Reform,Rosa  B.  Williams,3
Lamar,Richburg,Secretary of State,,Democrat,Charles  E.  Graham,141
Lamar,Richburg,Secretary of State,,Republican,Delbert  Hosemann,701
Lamar,Richburg,Secretary of State,,Reform,Randy  Walker,25
Lamar,Richburg,Attorney General,,Democrat,Jim  Hood,313
Lamar,Richburg,Attorney General,,Republican,Mike  Hurst,553
Lamar,Richburg,State Auditor,,Republican,Stacey  E.  Pickering,709
Lamar,Richburg,State Auditor,,Democrat,Jocelyn  'Joce'  Pepper  Pritchett,146
Lamar,Richburg,State Auditor,,Reform,Lajena  Walley,8
Lamar,NE Lamar,Governor,,Republican,Phil  Bryant,381
Lamar,NE Lamar,Governor,,Democrat,Robert  Gray,158
Lamar,NE Lamar,Governor,,Reform,Shawn  O'Hara,13
Lamar,NE Lamar,Lieutenant Governor,,Democrat,Tim  Johnson,183
Lamar,NE Lamar,Lieutenant Governor,,Republican,Tate  Reeves,340
Lamar,NE Lamar,Lieutenant Governor,,Libertarian,Ron  Williams,17
Lamar,NE Lamar,Lieutenant Governor,,Reform,Rosa  B.  Williams,4
Lamar,NE Lamar,Secretary of State,,Democrat,Charles  E.  Graham,160
Lamar,NE Lamar,Secretary of State,,Republican,Delbert  Hosemann,384
Lamar,NE Lamar,Secretary of State,,Reform,Randy  Walker,5
Lamar,NE Lamar,Attorney General,,Democrat,Jim  Hood,277
Lamar,NE Lamar,Attorney General,,Republican,Mike  Hurst,269
Lamar,NE Lamar,State Auditor,,Republican,Stacey  E.  Pickering,365
Lamar,NE Lamar,State Auditor,,Democrat,Jocelyn  'Joce'  Pepper  Pritchett,177
Lamar,NE Lamar,State Auditor,,Reform,Lajena  Walley,3
Lamar,Lumberton,Governor,,Republican,Phil  Bryant,386
Lamar,Lumberton,Governor,,Democrat,Robert  Gray,231
Lamar,Lumberton,Governor,,Reform,Shawn  O'Hara,15
Lamar,Lumberton,Lieutenant Governor,,Democrat,Tim  Johnson,275
Lamar,Lumberton,Lieutenant Governor,,Republican,Tate  Reeves,338
Lamar,Lumberton,Lieutenant Governor,,Libertarian,Ron  Williams,9
Lamar,Lumberton,Lieutenant Governor,,Reform,Rosa  B.  Williams,5
Lamar,Lumberton,Secretary of State,,Democrat,Charles  E.  Graham,266
Lamar,Lumberton,Secretary of State,,Republican,Delbert  Hosemann,340
Lamar,Lumberton,Secretary of State,,Reform,Randy  Walker,20
Lamar,Lumberton,Attorney General,,Democrat,Jim  Hood,365
Lamar,Lumberton,Attorney General,,Republican,Mike  Hurst,258
Lamar,Lumberton,State Auditor,,Republican,Stacey  E.  Pickering,363
Lamar,Lumberton,State Auditor,,Democrat,Jocelyn  'Joce'  Pepper  Pritchett,254
Lamar,Lumberton,State Auditor,,Reform,Lajena  Walley,8
Lamar,South Purvis,Governor,,Republican,Phil  Bryant,849
Lamar,South Purvis,Governor,,Democrat,Robert  Gray,48
Lamar,South Purvis,Governor,,Reform,Shawn  O'Hara,7
Lamar,South Purvis,Lieutenant Governor,,Democrat,Tim  Johnson,56
Lamar,South Purvis,Lieutenant Governor,,Republican,Tate  Reeves,817
Lamar,South Purvis,Lieutenant Governor,,Libertarian,Ron  Williams,23
Lamar,South Purvis,Lieutenant Governor,,Reform,Rosa  B.  Williams,5
Lamar,South Purvis,Secretary of State,,Democrat,Charles  E.  Graham,50
Lamar,South Purvis,Secretary of State,,Republican,Delbert  Hosemann,820
Lamar,South Purvis,Secretary of State,,Reform,Randy  Walker,31
Lamar,South Purvis,Attorney General,,Democrat,Jim  Hood,279
Lamar,South Purvis,Attorney General,,Republican,Mike  Hurst,619
Lamar,South Purvis,State Auditor,,Republican,Stacey  E.  Pickering,831
Lamar,South Purvis,State Auditor,,Democrat,Jocelyn  'Joce'  Pepper  Pritchett,58
Lamar,South Purvis,State Auditor,,Reform,Lajena  Walley,8
Lamar,Yawn,Governor,,Republican,Phil  Bryant,146
Lamar,Yawn,Governor,,Democrat,Robert  Gray,8
Lamar,Yawn,Governor,,Reform,Shawn  O'Hara,1
Lamar,Yawn,Lieutenant Governor,,Democrat,Tim  Johnson,16
Lamar,Yawn,Lieutenant Governor,,Republican,Tate  Reeves,134
Lamar,Yawn,Lieutenant Governor,,Libertarian,Ron  Williams,2
Lamar,Yawn,Lieutenant Governor,,Reform,Rosa  B.  Williams,0
Lamar,Yawn,Secretary of State,,Democrat,Charles  E.  Graham,12
Lamar,Yawn,Secretary of State,,Republican,Delbert  Hosemann,133
Lamar,Yawn,Secretary of State,,Reform,Randy  Walker,8
Lamar,Yawn,Attorney General,,Democrat,Jim  Hood,50
Lamar,Yawn,Attorney General,,Republican,Mike  Hurst,103
Lamar,Yawn,State Auditor,,Republican,Stacey  E.  Pickering,141
Lamar,Yawn,State Auditor,,Democrat,Jocelyn  'Joce'  Pepper  Pritchett,10
Lamar,Yawn,State Auditor,,Reform,Lajena  Walley,1
Lamar,Wesley Manor,Governor,,Republican,Phil  Bryant,272
Lamar,Wesley Manor,Governor,,Democrat,Robert  Gray,161
Lamar,Wesley Manor,Governor,,Reform,Shawn  O'Hara,7
Lamar,Wesley Manor,Lieutenant Governor,,Democrat,Tim  Johnson,182
Lamar,Wesley Manor,Lieutenant Governor,,Republican,Tate  Reeves,248
Lamar,Wesley Manor,Lieutenant Governor,,Libertarian,Ron  Williams,12
Lamar,Wesley Manor,Lieutenant Governor,,Reform,Rosa  B.  Williams,6
Lamar,Wesley Manor,Secretary of State,,Democrat,Charles  E.  Graham,177
Lamar,Wesley Manor,Secretary of State,,Republican,Delbert  Hosemann,267
Lamar,Wesley Manor,Secretary of State,,Reform,Randy  Walker,7
Lamar,Wesley Manor,Attorney General,,Democrat,Jim  Hood,282
Lamar,Wesley Manor,Attorney General,,Republican,Mike  Hurst,166
Lamar,Wesley Manor,State Auditor,,Republican,Stacey  E.  Pickering,267
Lamar,Wesley Manor,State Auditor,,Democrat,Jocelyn  'Joce'  Pepper  Pritchett,182
Lamar,Wesley Manor,State Auditor,,Reform,Lajena  Walley,4
Lamar,Westover,Governor,,Republican,Phil  Bryant,58
Lamar,Westover,Governor,,Democrat,Robert  Gray,51
Lamar,Westover,Governor,,Reform,Shawn  O'Hara,3
Lamar,Westover,Lieutenant Governor,,Democrat,Tim  Johnson,50
Lamar,Westover,Lieutenant Governor,,Republican,Tate  Reeves,54
Lamar,Westover,Lieutenant Governor,,Libertarian,Ron  Williams,3
Lamar,Westover,Lieutenant Governor,,Reform,Rosa  B.  Williams,3
Lamar,Westover,Secretary of State,,Democrat,Charles  E.  Graham,48
Lamar,Westover,Secretary of State,,Republican,Delbert  Hosemann,59
Lamar,Westover,Secretary of State,,Reform,Randy  Walker,1
Lamar,Westover,Attorney General,,Democrat,Jim  Hood,77
Lamar,Westover,Attorney General,,Republican,Mike  Hurst,32
Lamar,Westover,State Auditor,,Republican,Stacey  E.  Pickering,55
Lamar,Westover,State Auditor,,Democrat,Jocelyn  'Joce'  Pepper  Pritchett,54
Lamar,Westover,State Auditor,,Reform,Lajena  Walley,0
Lamar,Pine Grove,Governor,,Republican,Phil  Bryant,261
Lamar,Pine Grove,Governor,,Democrat,Robert  Gray,6
Lamar,Pine Grove,Governor,,Reform,Shawn  O'Hara,2
Lamar,Pine Grove,Lieutenant Governor,,Democrat,Tim  Johnson,8
Lamar,Pine Grove,Lieutenant Governor,,Republican,Tate  Reeves,245
Lamar,Pine Grove,Lieutenant Governor,,Libertarian,Ron  Williams,7
Lamar,Pine Grove,Lieutenant Governor,,Reform,Rosa  B.  Williams,0
Lamar,Pine Grove,Secretary of State,,Democrat,Charles  E.  Graham,5
Lamar,Pine Grove,Secretary of State,,Republican,Delbert  Hosemann,257
Lamar,Pine Grove,Secretary of State,,Reform,Randy  Walker,4
Lamar,Pine Grove,Attorney General,,Democrat,Jim  Hood,60
Lamar,Pine Grove,Attorney General,,Republican,Mike  Hurst,208
Lamar,Pine Grove,State Auditor,,Republican,Stacey  E.  Pickering,252
Lamar,Pine Grove,State Auditor,,Democrat,Jocelyn  'Joce'  Pepper  Pritchett,8
Lamar,Pine Grove,State Auditor,,Reform,Lajena  Walley,1
Lamar,Baxterville,Governor,,Republican,Phil  Bryant,183
Lamar,Baxterville,Governor,,Democrat,Robert  Gray,8
Lamar,Baxterville,Governor,,Reform,Shawn  O'Hara,1
Lamar,Baxterville,Lieutenant Governor,,Democrat,Tim  Johnson,13
Lamar,Baxterville,Lieutenant Governor,,Republican,Tate  Reeves,170
Lamar,Baxterville,Lieutenant Governor,,Libertarian,Ron  Williams,6
Lamar,Baxterville,Lieutenant Governor,,Reform,Rosa  B.  Williams,1
Lamar,Baxterville,Secretary of State,,Democrat,Charles  E.  Graham,11
Lamar,Baxterville,Secretary of State,,Republican,Delbert  Hosemann,168
Lamar,Baxterville,Secretary of State,,Reform,Randy  Walker,12
Lamar,Baxterville,Attorney General,,Democrat,Jim  Hood,56
Lamar,Baxterville,Attorney General,,Republican,Mike  Hurst,133
Lamar,Baxterville,State Auditor,,Republican,Stacey  E.  Pickering,178
Lamar,Baxterville,State Auditor,,Democrat,Jocelyn  'Joce'  Pepper  Pritchett,8
Lamar,Baxterville,State Auditor,,Reform,Lajena  Walley,3
Lamar,Greenville,Governor,,Republican,Phil  Bryant,370
Lamar,Greenville,Governor,,Democrat,Robert  Gray,8
Lamar,Greenville,Governor,,Reform,Shawn  O'Hara,4
Lamar,Greenville,Lieutenant Governor,,Democrat,Tim  Johnson,25
Lamar,Greenville,Lieutenant Governor,,Republican,Tate  Reeves,348
Lamar,Greenville,Lieutenant Governor,,Libertarian,Ron  Williams,4
Lamar,Greenville,Lieutenant Governor,,Reform,Rosa  B.  Williams,4
Lamar,Greenville,Secretary of State,,Democrat,Charles  E.  Graham,19
Lamar,Greenville,Secretary of State,,Republican,Delbert  Hosemann,343
Lamar,Greenville,Secretary of State,,Reform,Randy  Walker,17
Lamar,Greenville,Attorney General,,Democrat,Jim  Hood,72
Lamar,Greenville,Attorney General,,Republican,Mike  Hurst,305
Lamar,Greenville,State Auditor,,Republican,Stacey  E.  Pickering,369
Lamar,Greenville,State Auditor,,Democrat,Jocelyn  'Joce'  Pepper  Pritchett,8
Lamar,Greenville,State Auditor,,Reform,Lajena  Walley,4
