county,precinct,office,district,party,candidate,total
Lee,113 Auburn,Governor,,Republican,Phil Bryant,488
Lee,113 Auburn,Governor,,Democrat,Robert Gray,38
Lee,113 Auburn,Governor,,Reform,Shawn O'Hara,6
Lee,113 Auburn,Lieutenant Governor,,Democrat,Tim Johnson,59
Lee,113 Auburn,Lieutenant Governor,,Republican,Tate Reeves,457
Lee,113 Auburn,Lieutenant Governor,,Libertarian,Ron Williams,6
Lee,113 Auburn,Lieutenant Governor,,Reform,Rosa B. Williams,3
Lee,113 Auburn,Secretary of State,,Democrat,Charles E. Graham,47
Lee,113 Auburn,Secretary of State,,Republican,Delbert Hosemann,473
Lee,113 Auburn,Secretary of State,,Reform,Randy Walker,7
Lee,113 Auburn,Attorney General,,Democrat,Jim Hood,189
Lee,113 Auburn,Attorney General,,Republican,Mike Hurst,341
Lee,113 Auburn,State Auditor,,Republican,Stacey E. Pickering,486
Lee,113 Auburn,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,38
Lee,113 Auburn,State Auditor,,Reform,Lajena Walley,3
Lee,113 Auburn,State Treasurer,,Republican,Lynn Fitch,482
Lee,113 Auburn,State Treasurer,,Reform,Viola McFarland,34
Lee,113 Auburn,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,57
Lee,113 Auburn,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,427
Lee,113 Auburn,Commissioner of Agriculture & Commerce,,Reform,Cathy L Toole,14
Lee,113 Auburn,Commissioner of Insurance,,Republican,Mike Chaney,445
Lee,113 Auburn,State Senate,6,Republican,Chad McMahan,445
Lee,113 Auburn,State House,19,Republican,Randy Boyd,323
Lee,113 Auburn,State House,19,Democrat,Clint Gannon,200
Lee,102 Baldwyn,Governor,,Republican,Phil Bryant,220
Lee,102 Baldwyn,Governor,,Democrat,Robert Gray,158
Lee,102 Baldwyn,Governor,,Reform,Shawn O'Hara,1
Lee,102 Baldwyn,Lieutenant Governor,,Democrat,Tim Johnson,177
Lee,102 Baldwyn,Lieutenant Governor,,Republican,Tate Reeves,196
Lee,102 Baldwyn,Lieutenant Governor,,Libertarian,Ron Williams,6
Lee,102 Baldwyn,Lieutenant Governor,,Reform,Rosa B. Williams,4
Lee,102 Baldwyn,Secretary of State,,Democrat,Charles E. Graham,173
Lee,102 Baldwyn,Secretary of State,,Republican,Delbert Hosemann,199
Lee,102 Baldwyn,Secretary of State,,Reform,Randy Walker,6
Lee,102 Baldwyn,Attorney General,,Democrat,Jim Hood,265
Lee,102 Baldwyn,Attorney General,,Republican,Mike Hurst,119
Lee,102 Baldwyn,State Auditor,,Republican,Stacey E. Pickering,199
Lee,102 Baldwyn,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,175
Lee,102 Baldwyn,State Auditor,,Reform,Lajena Walley,1
Lee,102 Baldwyn,State Treasurer,,Republican,Lynn Fitch,235
Lee,102 Baldwyn,State Treasurer,,Reform,Viola McFarland,62
Lee,102 Baldwyn,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,188
Lee,102 Baldwyn,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,172
Lee,102 Baldwyn,Commissioner of Agriculture & Commerce,,Reform,Cathy L Toole,5
Lee,102 Baldwyn,Commissioner of Insurance,,Republican,Mike Chaney,289
Lee,102 Baldwyn,State Senate,6,Republican,Chad McMahan,237
Lee,102 Baldwyn,State House,18,Republican,Jerry Turner,276
Lee,207 Beech Sprs,Governor,,Republican,Phil Bryant,232
Lee,207 Beech Sprs,Governor,,Democrat,Robert Gray,78
Lee,207 Beech Sprs,Governor,,Reform,Shawn O'Hara,3
Lee,207 Beech Sprs,Lieutenant Governor,,Democrat,Tim Johnson,92
Lee,207 Beech Sprs,Lieutenant Governor,,Republican,Tate Reeves,209
Lee,207 Beech Sprs,Lieutenant Governor,,Libertarian,Ron Williams,10
Lee,207 Beech Sprs,Lieutenant Governor,,Reform,Rosa B. Williams,2
Lee,207 Beech Sprs,Secretary of State,,Democrat,Charles E. Graham,78
Lee,207 Beech Sprs,Secretary of State,,Republican,Delbert Hosemann,228
Lee,207 Beech Sprs,Secretary of State,,Reform,Randy Walker,8
Lee,207 Beech Sprs,Attorney General,,Democrat,Jim Hood,147
Lee,207 Beech Sprs,Attorney General,,Republican,Mike Hurst,166
Lee,207 Beech Sprs,State Auditor,,Republican,Stacey E. Pickering,222
Lee,207 Beech Sprs,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,84
