county,office,district,party,candidate,votes,winner
Alcorn,U.S. House,1,Republican,Boyce Adams,37,
Alcorn,U.S. House,1,Republican,Sam Adcock,68,
Alcorn,U.S. House,1,Republican,Nancy Adams Collins,167,
Alcorn,U.S. House,1,Republican,Edward Troy Holliday,149,
Alcorn,U.S. House,1,Republican,Starner Jones,561,
Alcorn,U.S. House,1,Republican,Trent Kelly,429,
Alcorn,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",244,
Alcorn,U.S. House,1,Republican,Greg Pirkle,299,
Alcorn,U.S. House,1,Republican,Henry Ross,274,
Alcorn,U.S. House,1,Republican,Daniel Sparks,171,
Alcorn,U.S. House,1,Republican,Mike Tagert,672,
Alcorn,U.S. House,1,Republican,Quentin Whitwell,74,
Alcorn,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",328,
Alcorn,U.S. House,1,,,3473,
Benton,U.S. House,1,Republican,Boyce Adams,17,
Benton,U.S. House,1,Republican,Sam Adcock,24,
Benton,U.S. House,1,Republican,Nancy Adams Collins,59,
Benton,U.S. House,1,Republican,Edward Troy Holliday,84,
Benton,U.S. House,1,Republican,Starner Jones,98,
Benton,U.S. House,1,Republican,Trent Kelly,46,
Benton,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",44,
Benton,U.S. House,1,Republican,Greg Pirkle,68,
Benton,U.S. House,1,Republican,Henry Ross,30,
Benton,U.S. House,1,Republican,Daniel Sparks,9,
Benton,U.S. House,1,Republican,Mike Tagert,76,
Benton,U.S. House,1,Republican,Quentin Whitwell,94,
Benton,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",135,
Benton,U.S. House,1,,,784,
Calhoun,U.S. House,1,Republican,Boyce Adams,90,
Calhoun,U.S. House,1,Republican,Sam Adcock,107,
Calhoun,U.S. House,1,Republican,Nancy Adams Collins,72,
Calhoun,U.S. House,1,Republican,Edward Troy Holliday,23,
Calhoun,U.S. House,1,Republican,Starner Jones,145,
Calhoun,U.S. House,1,Republican,Trent Kelly,595,
Calhoun,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",81,
