county,precinct,office,district,party,candidate,votes,winner,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Governor,,Republican,Phil Bryant,1039,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Governor,,Democrat,Robert Gray,276,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Governor,,Reform,Shawn O'Harra,26,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Lieutenant Governor,,Democrat,Tim Johnson,353,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Lieutenant Governor,,Republican,Tate Reeves,900,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Lieutenant Governor,,Libertarian,Ron Williams,41,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Lieutenant Governor,,Reform,Rosa B. Williams,22,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Secretary of State,,Democrat,Charles E. Grahm,340,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Secretary of State,,Republican,Delbert Hosemann,915,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Secretary of State,,Reform,Randy Walker,68,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Attorney General,,Democrat,Jim Hood,659,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Attorney General,,Republican,Mike Hurst,662,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Auditor,,Republican,Stacey E. Pickering,959,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Auditor,,Democrat,Jocelyn 'Joyce' Pepper Pritchett,325,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Auditor,,Reform,Lajena Walley,28,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Governor,,Republican,Phil Bryant,521,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Governor,,Democrat,Robert Gray,77,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Governor,,Reform,Shawn O'Harra,6,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Lieutenant Governor,,Democrat,Tim Johnson,98,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Lieutenant Governor,,Republican,Tate Reeves,467,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Lieutenant Governor,,Libertarian,Ron Williams,15,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Lieutenant Governor,,Reform,Rosa B. Williams,10,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Secretary of State,,Democrat,Charles E. Grahm,107,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Secretary of State,,Republican,Delbert Hosemann,456,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Secretary of State,,Reform,Randy Walker,27,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Attorney General,,Democrat,Jim Hood,261,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Attorney General,,Republican,Mike Hurst,336,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Auditor,,Republican,Stacey E. Pickering,481,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Auditor,,Democrat,Jocelyn 'Joyce' Pepper Pritchett,88,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Auditor,,Reform,Lajena Walley,14,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Governor,,Republican,Phil Bryant,518,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Governor,,Democrat,Robert Gray,77,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Governor,,Reform,Shawn O'Harra,8,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Lieutenant Governor,,Democrat,Tim Johnson,115,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Lieutenant Governor,,Republican,Tate Reeves,438,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Lieutenant Governor,,Libertarian,Ron Williams,19,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Lieutenant Governor,,Reform,Rosa B. Williams,8,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Secretary of State,,Democrat,Charles E. Grahm,127,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Secretary of State,,Republican,Delbert Hosemann,436,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Secretary of State,,Reform,Randy Walker,26,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Attorney General,,Democrat,Jim Hood,261,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Attorney General,,Republican,Mike Hurst,338,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Auditor,,Republican,Stacey E. Pickering,472,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Auditor,,Democrat,Jocelyn 'Joyce' Pepper Pritchett,105,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Auditor,,Reform,Lajena Walley,11,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Governor,,Republican,Phil Bryant,248,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Governor,,Democrat,Robert Gray,51,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Governor,,Reform,Shawn O'Harra,15,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Lieutenant Governor,,Democrat,Tim Johnson,64,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Lieutenant Governor,,Republican,Tate Reeves,219,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Lieutenant Governor,,Libertarian,Ron Williams,6,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Lieutenant Governor,,Reform,Rosa B. Williams,12,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Secretary of State,,Democrat,Charles E. Grahm,69,,,,,,,,,,,,,,,,,,,
