county,precinct,office,district,party,candidate,votes,winner
Warren,3-61,Governor,,Republican,Phil Bryant,57,
Warren,3-61,Governor,,Democrat,Robert Gray,22,
Warren,3-61,Governor,,Reform,Shawn O'Hara,0,
Warren,3-61,Lieutenant Governor,,Democrat,Tim Johnson,25,
Warren,3-61,Lieutenant Governor,,Republican,Tate Reeves,56,
Warren,3-61,Lieutenant Governor,,Libertarian,Ron Williams,0,
Warren,3-61,Lieutenant Governor,,Reform,Rosa B. Williams,1,
Warren,3-61,Secretary of State,,Democrat,Charles E. Graham,21,
Warren,3-61,Secretary of State,,Republican,Delbert Hosemann,58,
Warren,3-61,Secretary of State,,Reform,Randy Walker,0,
Warren,3-61,Attorney General,,Democrat,Jim Hood,46,
Warren,3-61,Attorney General,,Republican,Mike Hurst,35,
Warren,3-61,State Auditor,,Republican,Stacey E. Pickering,56,
Warren,3-61,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",23,
Warren,3-61,State Auditor,,Reform,Lajena Walley,0,
Warren,3-61,State Treasurer,,Republican,Lynn Fitch,61,
Warren,3-61,State Treasurer,,Reform,Viola V. McFarland,14,
Warren,3-61,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,25,
Warren,3-61,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,54,
Warren,3-61,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,0,
Warren,3-61,Commissioner of Insurance,,Republican,Mike Chaney,72,
Warren,3-61,State Senate,23,Republican,Briggs Hopson,71,
Warren,3-61,State House of Rep,54,Republican,Alex Monsour,66,
Warren,American Legion Post,Governor,,Republican,Phil Bryant,227,
Warren,American Legion Post,Governor,,Democrat,Robert Gray,441,
Warren,American Legion Post,Governor,,Reform,Shawn O'Hara,11,
Warren,American Legion Post,Lieutenant Governor,,Democrat,Tim Johnson,458,
Warren,American Legion Post,Lieutenant Governor,,Republican,Tate Reeves,172,
Warren,American Legion Post,Lieutenant Governor,,Libertarian,Ron Williams,24,
Warren,American Legion Post,Lieutenant Governor,,Reform,Rosa B. Williams,24,
Warren,American Legion Post,Secretary of State,,Democrat,Charles E. Graham,432,
Warren,American Legion Post,Secretary of State,,Republican,Delbert Hosemann,219,
Warren,American Legion Post,Secretary of State,,Reform,Randy Walker,30,
Warren,American Legion Post,Attorney General,,Democrat,Jim Hood,548,
Warren,American Legion Post,Attorney General,,Republican,Mike Hurst,133,
Warren,American Legion Post,State Auditor,,Republican,Stacey E. Pickering,221,
Warren,American Legion Post,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",439,
Warren,American Legion Post,State Auditor,,Reform,Lajena Walley,10,
Warren,American Legion Post,State Treasurer,,Republican,Lynn Fitch,287,
Warren,American Legion Post,State Treasurer,,Reform,Viola V. McFarland,280,
Warren,American Legion Post,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,473,
Warren,American Legion Post,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,189,
Warren,American Legion Post,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,11,
Warren,American Legion Post,Commissioner of Insurance,,Republican,Mike Chaney,481,
Warren,American Legion Post,State Senate,23,Republican,Briggs Hopson,465,
Warren,American Legion Post,State House of Rep,55,Democrat,Oscar Denton,632,
Warren,Auditorium,Governor,,Republican,Phil Bryant,134,
Warren,Auditorium,Governor,,Democrat,Robert Gray,322,
Warren,Auditorium,Governor,,Reform,Shawn O'Hara,6,
Warren,Auditorium,Lieutenant Governor,,Democrat,Tim Johnson,339,
Warren,Auditorium,Lieutenant Governor,,Republican,Tate Reeves,92,
Warren,Auditorium,Lieutenant Governor,,Libertarian,Ron Williams,14,
Warren,Auditorium,Lieutenant Governor,,Reform,Rosa B. Williams,15,
Warren,Auditorium,Secretary of State,,Democrat,Charles E. Graham,331,
Warren,Auditorium,Secretary of State,,Republican,Delbert Hosemann,113,
Warren,Auditorium,Secretary of State,,Reform,Randy Walker,19,
Warren,Auditorium,Attorney General,,Democrat,Jim Hood,409,
Warren,Auditorium,Attorney General,,Republican,Mike Hurst,58,
Warren,Auditorium,State Auditor,,Republican,Stacey E. Pickering,117,
Warren,Auditorium,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",330,
Warren,Auditorium,State Auditor,,Reform,Lajena Walley,11,
Warren,Auditorium,State Treasurer,,Republican,Lynn Fitch,174,
Warren,Auditorium,State Treasurer,,Reform,Viola V. McFarland,213,
Warren,Auditorium,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,373,
Warren,Auditorium,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,86,
Warren,Auditorium,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,7,
Warren,Auditorium,Commissioner of Insurance,,Republican,Mike Chaney,311,
Warren,Auditorium,State Senate,23,Republican,Briggs Hopson,305,
Warren,Auditorium,State House of Rep,55,Democrat,Oscar Denton,429,
Warren,Beechwood,Governor,,Republican,Phil Bryant,734,
Warren,Beechwood,Governor,,Democrat,Robert Gray,109,
Warren,Beechwood,Governor,,Reform,Shawn O'Hara,9,
Warren,Beechwood,Lieutenant Governor,,Democrat,Tim Johnson,137,
