page,candidate,office,district,party,county,precinct,votes,winner,,,
2,Phil Bryant ,Governor ,,R,Noxubee,Brooksville,9,,,,
2,Mitch Young ,Governor ,,R,Noxubee,Brooksville,0,,,,
2,Phil Bryant ,Governor ,,R,Noxubee,Cliftonville,6,,,,
2,Mitch Young ,Governor ,,R,Noxubee,Cliftonville,0,,,,
2,Phil Bryant ,Governor ,,R,Noxubee,District 3 Central ,16,,,,
2,Mitch Young ,Governor ,,R,Noxubee,District 3 Central ,0,,,,
2,Phil Bryant ,Governor ,,R,Noxubee,Earl Nash Gym ,9,,,,
2,Mitch Young ,Governor ,,R,Noxubee,Earl Nash Gym ,0,,,,
2,Phil Bryant ,Governor ,,R,Noxubee,Mashulaville,10,,,,
2,Mitch Young ,Governor ,,R,Noxubee,Mashulaville,1,,,,
2,Phil Bryant ,Governor ,,R,Noxubee,Prairie Point,1,,,,
2,Mitch Young ,Governor ,,R,Noxubee,Prairie Point,0,,,,
2,Phil Bryant ,Governor ,,R,Noxubee,Shuqualak ,6,,,,
2,Mitch Young ,Governor ,,R,Noxubee,Shuqualak ,0,,,,
2,Phil Bryant ,Governor ,,R,Noxubee,Summerville,0,,,,
2,Mitch Young ,Governor ,,R,Noxubee,Summerville,0,,,,
2,Phil Bryant ,Governor ,,R,Noxubee,TOTAL ,57,,,,
2,Mitch Young ,Governor ,,R,Noxubee,TOTAL ,1,,,,
2,Alisha Nelson McElhenney ,Lieutenant Governor ,,R,Noxubee,Brooksville,0,,,,
2,Tate Reeves,Lieutenant Governor ,,R,Noxubee,Brooksville,10,,,,
2,Alisha Nelson McElhenney ,Lieutenant Governor ,,R,Noxubee,Cliftonville,2,,,,
2,Tate Reeves,Lieutenant Governor ,,R,Noxubee,Cliftonville,4,,,,
2,Alisha Nelson McElhenney ,Lieutenant Governor ,,R,Noxubee,District 3 Central ,2,,,,
2,Tate Reeves,Lieutenant Governor ,,R,Noxubee,District 3 Central ,14,,,,
2,Alisha Nelson McElhenney ,Lieutenant Governor ,,R,Noxubee,Earl Nash Gym ,1,,,,
2,Tate Reeves,Lieutenant Governor ,,R,Noxubee,Earl Nash Gym ,8,,,,
2,Alisha Nelson McElhenney ,Lieutenant Governor ,,R,Noxubee,Mashulaville,0,,,,
2,Tate Reeves,Lieutenant Governor ,,R,Noxubee,Mashulaville,11,,,,
2,Alisha Nelson McElhenney ,Lieutenant Governor ,,R,Noxubee,Prairie Point,0,,,,
2,Tate Reeves,Lieutenant Governor ,,R,Noxubee,Prairie Point,1,,,,
2,Alisha Nelson McElhenney ,Lieutenant Governor ,,R,Noxubee,Shuqualak ,1,,,,
2,Tate Reeves,Lieutenant Governor ,,R,Noxubee,Shuqualak ,5,,,,
2,Alisha Nelson McElhenney ,Lieutenant Governor ,,R,Noxubee,Summerville,0,,,,
2,Tate Reeves,Lieutenant Governor ,,R,Noxubee,Summerville,0,,,,
2,Alisha Nelson McElhenney ,Lieutenant Governor ,,R,Noxubee,TOTAL ,6,,,,
2,Tate Reeves,Lieutenant Governor ,,R,Noxubee,TOTAL ,53,,,,
2,Delbert Hosemann,Secretary of State,,R,Noxubee,Brooksville,7,,,,
2,Delbert Hosemann,Secretary of State,,R,Noxubee,Cliftonville,3,,,,
2,Delbert Hosemann,Secretary of State,,R,Noxubee,District 3 Central ,16,,,,
2,Delbert Hosemann,Secretary of State,,R,Noxubee,Earl Nash Gym ,9,,,,
2,Delbert Hosemann,Secretary of State,,R,Noxubee,Mashulaville,11,,,,
2,Delbert Hosemann,Secretary of State,,R,Noxubee,Prairie Point,1,,,,
2,Delbert Hosemann,Secretary of State,,R,Noxubee,Shuqualak ,6,,,,
2,Delbert Hosemann,Secretary of State,,R,Noxubee,Summerville,0,,,,
2,Delbert Hosemann,Secretary of State,,R,Noxubee,TOTAL ,53,,,,
2,Mike Hurst ,Attorney General ,,R,Noxubee,Brooksville,10,,,,
2,Mike Hurst ,Attorney General ,,R,Noxubee,Cliftonville,5,,,,
2,Mike Hurst ,Attorney General ,,R,Noxubee,District 3 Central ,15,,,,
2,Mike Hurst ,Attorney General ,,R,Noxubee,Earl Nash Gym ,9,,,,
2,Mike Hurst ,Attorney General ,,R,Noxubee,Mashulaville,11,,,,
2,Mike Hurst ,Attorney General ,,R,Noxubee,Prairie Point,1,,,,
2,Mike Hurst ,Attorney General ,,R,Noxubee,Shuqualak ,6,,,,
2,Mike Hurst ,Attorney General ,,R,Noxubee,Summerville,0,,,,
2,Mike Hurst ,Attorney General ,,R,Noxubee,TOTAL ,57,,,,
2,Mary Hawkins Butler ,State Auditor,,R,Noxubee,Brooksville,3,,,,
2,Stacey E. Pickering ,State Auditor,,R,Noxubee,Brooksville,7,,,,
2,Mary Hawkins Butler ,State Auditor,,R,Noxubee,Cliftonville,2,,,,
2,Stacey E. Pickering ,State Auditor,,R,Noxubee,Cliftonville,3,,,,
2,Mary Hawkins Butler ,State Auditor,,R,Noxubee,District 3 Central ,4,,,,
2,Stacey E. Pickering ,State Auditor,,R,Noxubee,District 3 Central ,12,,,,
2,Mary Hawkins Butler ,State Auditor,,R,Noxubee,Earl Nash Gym ,2,,,,
2,Stacey E. Pickering ,State Auditor,,R,Noxubee,Earl Nash Gym ,7,,,,
2,Mary Hawkins Butler ,State Auditor,,R,Noxubee,Mashulaville,4,,,,
2,Stacey E. Pickering ,State Auditor,,R,Noxubee,Mashulaville,7,,,,
2,Mary Hawkins Butler ,State Auditor,,R,Noxubee,Prairie Point,0,,,,
2,Stacey E. Pickering ,State Auditor,,R,Noxubee,Prairie Point,1,,,,
2,Mary Hawkins Butler ,State Auditor,,R,Noxubee,Shuqualak ,0,,,,
2,Stacey E. Pickering ,State Auditor,,R,Noxubee,Shuqualak ,6,,,,
2,Mary Hawkins Butler ,State Auditor,,R,Noxubee,Summerville,0,,,,
2,Stacey E. Pickering ,State Auditor,,R,Noxubee,Summerville,0,,,,
2,Mary Hawkins Butler ,State Auditor,,R,Noxubee,TOTAL ,15,,,,
2,Stacey E. Pickering ,State Auditor,,R,Noxubee,TOTAL ,43,,,,
2,Lynn Fitch ,State Treasurer ,,R,Noxubee,Brooksville,7,,,,
2,David McRae,State Treasurer ,,R,Noxubee,Brooksville,3,,,,
2,Lynn Fitch ,State Treasurer ,,R,Noxubee,Cliftonville,3,,,,
2,David McRae,State Treasurer ,,R,Noxubee,Cliftonville,2,,,,
2,Lynn Fitch ,State Treasurer ,,R,Noxubee,District 3 Central ,4,,,,
2,David McRae,State Treasurer ,,R,Noxubee,District 3 Central ,12,,,,
2,Lynn Fitch ,State Treasurer ,,R,Noxubee,Earl Nash Gym ,4,,,,
2,David McRae,State Treasurer ,,R,Noxubee,Earl Nash Gym ,5,,,,
2,Lynn Fitch ,State Treasurer ,,R,Noxubee,Mashulaville,6,,,,
2,David McRae,State Treasurer ,,R,Noxubee,Mashulaville,5,,,,
2,Lynn Fitch ,State Treasurer ,,R,Noxubee,Prairie Point,0,,,,
2,David McRae,State Treasurer ,,R,Noxubee,Prairie Point,1,,,,
2,Lynn Fitch ,State Treasurer ,,R,Noxubee,Shuqualak ,2,,,,
2,David McRae,State Treasurer ,,R,Noxubee,Shuqualak ,4,,,,
2,Lynn Fitch ,State Treasurer ,,R,Noxubee,Summerville,0,,,,
2,David McRae,State Treasurer ,,R,Noxubee,Summerville,0,,,,
2,Lynn Fitch ,State Treasurer ,,R,Noxubee,TOTAL ,26,,,,
2,David McRae,State Treasurer ,,R,Noxubee,TOTAL ,32,,,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Noxubee,Brooksville,10,,,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Noxubee,Cliftonville,4,,,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Noxubee,District 3 Central ,15,,,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Noxubee,Earl Nash Gym ,9,,,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Noxubee,Mashulaville,11,,,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Noxubee,Prairie Point,1,,,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Noxubee,Shuqualak ,6,,,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Noxubee,Summerville,0,,,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Noxubee,TOTAL ,56,,,,
2,Mike Chaney,Commissioner of Insurance,,R,Noxubee,Brooksville,10,,,,
2,Mike Chaney,Commissioner of Insurance,,R,Noxubee,Cliftonville,4,,,,
2,Mike Chaney,Commissioner of Insurance,,R,Noxubee,District 3 Central ,12,,,,
2,Mike Chaney,Commissioner of Insurance,,R,Noxubee,Earl Nash Gym ,6,,,,
2,Mike Chaney,Commissioner of Insurance,,R,Noxubee,Mashulaville,8,,,,
2,Mike Chaney,Commissioner of Insurance,,R,Noxubee,Prairie Point,0,,,,
2,Mike Chaney,Commissioner of Insurance,,R,Noxubee,Shuqualak ,5,,,,
