candidate,office,district,party,county,precinct,votes
Phil Bryant,Governor,,Republican,Amite,Amite River,97
Robert Gray,Governor,,Democrat,Amite,Amite River,114
Shawn O'Hara,Governor,,Reform,Amite,Amite River,7
Phil Bryant,Governor,,Republican,Amite,Ariel,54
Robert Gray,Governor,,Democrat,Amite,Ariel,174
Shawn O'Hara,Governor,,Reform,Amite,Ariel,4
Phil Bryant,Governor,,Republican,Amite,Berwick,72
Robert Gray,Governor,,Democrat,Amite,Berwick,158
Shawn O'Hara,Governor,,Reform,Amite,Berwick,8
Phil Bryant,Governor,,Republican,Amite,Crosby,76
Robert Gray,Governor,,Democrat,Amite,Crosby,56
Shawn O'Hara,Governor,,Reform,Amite,Crosby,2
Phil Bryant,Governor,,Republican,Amite,East Centreville,150
Robert Gray,Governor,,Democrat,Amite,East Centreville,83
Shawn O'Hara,Governor,,Reform,Amite,East Centreville,4
Phil Bryant,Governor,,Republican,Amite,East Fork,249
Robert Gray,Governor,,Democrat,Amite,East Fork,43
Shawn O'Hara,Governor,,Reform,Amite,East Fork,0
Phil Bryant,Governor,,Republican,Amite,East Gloster,135
Robert Gray,Governor,,Democrat,Amite,East Gloster,48
Shawn O'Hara,Governor,,Reform,Amite,East Gloster,7
Phil Bryant,Governor,,Republican,Amite,East Liberty,148
Robert Gray,Governor,,Democrat,Amite,East Liberty,42
Shawn O'Hara,Governor,,Reform,Amite,East Liberty,1
Phil Bryant,Governor,,Republican,Amite,Gloster,119
Robert Gray,Governor,,Democrat,Amite,Gloster,389
Shawn O'Hara,Governor,,Reform,Amite,Gloster,8
Phil Bryant,Governor,,Republican,Amite,Homochitto,59
Robert Gray,Governor,,Democrat,Amite,Homochitto,5
Shawn O'Hara,Governor,,Reform,Amite,Homochitto,1
Phil Bryant,Governor,,Republican,Amite,Liberty,304
Robert Gray,Governor,,Democrat,Amite,Liberty,106
Shawn O'Hara,Governor,,Reform,Amite,Liberty,6
Phil Bryant,Governor,,Republican,Amite,New Zion,195
Robert Gray,Governor,,Democrat,Amite,New Zion,46
Shawn O'Hara,Governor,,Reform,Amite,New Zion,2
Phil Bryant,Governor,,Republican,Amite,Oneil,195
Robert Gray,Governor,,Democrat,Amite,Oneil,9
Shawn O'Hara,Governor,,Reform,Amite,Oneil,2
Phil Bryant,Governor,,Republican,Amite,Riceville,122
Robert Gray,Governor,,Democrat,Amite,Riceville,86
Shawn O'Hara,Governor,,Reform,Amite,Riceville,0
Phil Bryant,Governor,,Republican,Amite,Smithdale,158
Robert Gray,Governor,,Democrat,Amite,Smithdale,86
Shawn O'Hara,Governor,,Reform,Amite,Smithdale,3
Phil Bryant,Governor,,Republican,Amite,South Liberty,85
Robert Gray,Governor,,Democrat,Amite,South Liberty,129
Shawn O'Hara,Governor,,Reform,Amite,South Liberty,8
Phil Bryant,Governor,,Republican,Amite,Tangipahoa,269
Robert Gray,Governor,,Democrat,Amite,Tangipahoa,30
Shawn O'Hara,Governor,,Reform,Amite,Tangipahoa,5
Phil Bryant,Governor,,Republican,Amite,Tickfaw,88
Robert Gray,Governor,,Democrat,Amite,Tickfaw,80
Shawn O'Hara,Governor,,Reform,Amite,Tickfaw,1
Phil Bryant,Governor,,Republican,Amite,Vance Park,127
Robert Gray,Governor,,Democrat,Amite,Vance Park,16
Shawn O'Hara,Governor,,Reform,Amite,Vance Park,0
Phil Bryant,Governor,,Republican,Amite,Walls,266
Robert Gray,Governor,,Democrat,Amite,Walls,128
Shawn O'Hara,Governor,,Reform,Amite,Walls,6
Phil Bryant,Governor,,Republican,Amite,Zion Hill,208
Robert Gray,Governor,,Democrat,Amite,Zion Hill,46
Shawn O'Hara,Governor,,Reform,Amite,Zion Hill,1
Phil Bryant,Governor,,Republican,Amite,,3176
Robert Gray,Governor,,Democrat,Amite,,1874
Shawn O'Hara,Governor,,Reform,Amite,,76
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Amite River,115
Tate Reeves,Lieutenant Governor,,Republican,Amite,Amite River,85
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Amite River,2
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Amite River,11
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Ariel,179
Tate Reeves,Lieutenant Governor,,Republican,Amite,Ariel,47
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Ariel,1
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Ariel,3
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Berwick,163
Tate Reeves,Lieutenant Governor,,Republican,Amite,Berwick,54
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Berwick,6
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Berwick,10
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Crosby,60
Tate Reeves,Lieutenant Governor,,Republican,Amite,Crosby,67
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Crosby,1
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Crosby,1
Tim Johnson,Lieutenant Governor,,Democrat,Amite,East Centreville,91
Tate Reeves,Lieutenant Governor,,Republican,Amite,East Centreville,135
Ron Williams,Lieutenant Governor,,Libertarian,Amite,East Centreville,2
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,East Centreville,5
Tim Johnson,Lieutenant Governor,,Democrat,Amite,East Fork,54
Tate Reeves,Lieutenant Governor,,Republican,Amite,East Fork,226
Ron Williams,Lieutenant Governor,,Libertarian,Amite,East Fork,10
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,East Fork,1
Tim Johnson,Lieutenant Governor,,Democrat,Amite,East Gloster,50
Tate Reeves,Lieutenant Governor,,Republican,Amite,East Gloster,129
Ron Williams,Lieutenant Governor,,Libertarian,Amite,East Gloster,4
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,East Gloster,3
Tim Johnson,Lieutenant Governor,,Democrat,Amite,East Liberty,48
Tate Reeves,Lieutenant Governor,,Republican,Amite,East Liberty,135
Ron Williams,Lieutenant Governor,,Libertarian,Amite,East Liberty,5
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,East Liberty,1
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Gloster,389
Tate Reeves,Lieutenant Governor,,Republican,Amite,Gloster,91
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Gloster,13
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Gloster,10
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Homochitto,9
Tate Reeves,Lieutenant Governor,,Republican,Amite,Homochitto,53
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Homochitto,2
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Homochitto,0
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Liberty,121
Tate Reeves,Lieutenant Governor,,Republican,Amite,Liberty,271
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Liberty,13
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Liberty,4
Tim Johnson,Lieutenant Governor,,Democrat,Amite,New Zion,50
Tate Reeves,Lieutenant Governor,,Republican,Amite,New Zion,181
Ron Williams,Lieutenant Governor,,Libertarian,Amite,New Zion,6
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,New Zion,3
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Oneil,21
Tate Reeves,Lieutenant Governor,,Republican,Amite,Oneil,175
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Oneil,5
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Oneil,0
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Riceville,88
Tate Reeves,Lieutenant Governor,,Republican,Amite,Riceville,111
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Riceville,2
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Riceville,1
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Smithdale,93
Tate Reeves,Lieutenant Governor,,Republican,Amite,Smithdale,140
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Smithdale,7
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Smithdale,3
Tim Johnson,Lieutenant Governor,,Democrat,Amite,South Liberty,131
Tate Reeves,Lieutenant Governor,,Republican,Amite,South Liberty,73
Ron Williams,Lieutenant Governor,,Libertarian,Amite,South Liberty,6
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,South Liberty,6
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Tangipahoa,34
Tate Reeves,Lieutenant Governor,,Republican,Amite,Tangipahoa,259
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Tangipahoa,7
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Tangipahoa,1
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Tickfaw,79
Tate Reeves,Lieutenant Governor,,Republican,Amite,Tickfaw,80
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Tickfaw,7
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Tickfaw,0
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Vance Park,25
Tate Reeves,Lieutenant Governor,,Republican,Amite,Vance Park,110
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Vance Park,3
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Vance Park,1
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Walls,139
Tate Reeves,Lieutenant Governor,,Republican,Amite,Walls,242
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Walls,12
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Walls,2
Tim Johnson,Lieutenant Governor,,Democrat,Amite,Zion Hill,59
Tate Reeves,Lieutenant Governor,,Republican,Amite,Zion Hill,187
Ron Williams,Lieutenant Governor,,Libertarian,Amite,Zion Hill,3
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,Zion Hill,0
Tim Johnson,Lieutenant Governor,,Democrat,Amite,,1998
Tate Reeves,Lieutenant Governor,,Republican,Amite,,2851
Ron Williams,Lieutenant Governor,,Libertarian,Amite,,117
Rosa B. Williams,Lieutenant Governor,,Reform,Amite,,66
Charles E. Graham,Secretary of State,,Democrat,Amite,Amite River,123
Delbert Hosemann,Secretary of State,,Republican,Amite,Amite River,82
Randy Walker,Secretary of State,,Reform,Amite,Amite River,10
Charles E. Graham,Secretary of State,,Democrat,Amite,Ariel,178
Delbert Hosemann,Secretary of State,,Republican,Amite,Ariel,47
Randy Walker,Secretary of State,,Reform,Amite,Ariel,3
Charles E. Graham,Secretary of State,,Democrat,Amite,Berwick,169
Delbert Hosemann,Secretary of State,,Republican,Amite,Berwick,55
Randy Walker,Secretary of State,,Reform,Amite,Berwick,13
Charles E. Graham,Secretary of State,,Democrat,Amite,Crosby,62
Delbert Hosemann,Secretary of State,,Republican,Amite,Crosby,66
Randy Walker,Secretary of State,,Reform,Amite,Crosby,3
