county,precinct,office,district,candidate,party,total
Noxubee,Brooksville,Governor,,Phil  Bryant,Republican,281
Noxubee,Brooksville,Governor,,Robert  Gray,Democrat,403
Noxubee,Brooksville,Governor,,Shawn  O'Hara,Reform,16
Noxubee,Brooksville,Lieutenant Governor,,Tim  Johnson,Democrat,425
Noxubee,Brooksville,Lieutenant Governor,,Tate  Reeves,Republican,238
Noxubee,Brooksville,Lieutenant Governor,,Ron  Williams,Libertarian,13
Noxubee,Brooksville,Lieutenant Governor,,Rosa  B.  Williams,Reform,13
Noxubee,Brooksville,Secretary of State,,Charles  E.  Graham,Democrat,466
Noxubee,Brooksville,Secretary of State,,Delbert  Hosemann,Republican,186
Noxubee,Brooksville,Secretary of State,,Randy  Walker,Reform,36
Noxubee,Brooksville,Attorney General,,Jim  Hood,Democrat,554
Noxubee,Brooksville,Attorney General,,Mike  Hurst,Republican,149
Noxubee,Brooksville,State Auditor,,Stacey  E.  Pickering,Republican,229
Noxubee,Brooksville,State Auditor,,Jocelyn Pepper Pritchett,Democrat,438
Noxubee,Brooksville,State Auditor,,Lajena  Walley,Reform,10
Noxubee,Brooksville,State Treasurer,,Lynn Fitch,Republican,316
Noxubee,Brooksville,State Treasurer,,Viola McFarland,Reform,186
Noxubee,Brooksville,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,462
Noxubee,Brooksville,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,201
Noxubee,Brooksville,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,13
Noxubee,Brooksville,Commissioner of Insurance,,Mike Chaney,Republican,404
Noxubee,Brooksville,State Senate,16,Angela Turner,Democrat,522
Noxubee,Brooksville,State House,42,Carl Mickens,Democrat,536
Noxubee,Brooksville,State House,42,Dorothy Baker Hines,Independent,194
Noxubee,Citronville,Governor,,Phil  Bryant,Republican,51
Noxubee,Citronville,Governor,,Robert  Gray,Democrat,219
Noxubee,Citronville,Governor,,Shawn  O'Hara,Reform,7
Noxubee,Citronville,Lieutenant Governor,,Tim  Johnson,Democrat,224
Noxubee,Citronville,Lieutenant Governor,,Tate  Reeves,Republican,44
Noxubee,Citronville,Lieutenant Governor,,Ron  Williams,Libertarian,2
Noxubee,Citronville,Lieutenant Governor,,Rosa  B.  Williams,Reform,7
Noxubee,Citronville,Secretary of State,,Charles  E.  Graham,Democrat,227
Noxubee,Citronville,Secretary of State,,Delbert  Hosemann,Republican,30
Noxubee,Citronville,Secretary of State,,Randy  Walker,Reform,10
Noxubee,Citronville,Attorney General,,Jim  Hood,Democrat,275
Noxubee,Citronville,Attorney General,,Mike  Hurst,Republican,16
Noxubee,Citronville,State Auditor,,Stacey  E.  Pickering,Republican,48
Noxubee,Citronville,State Auditor,,Jocelyn Pepper Pritchett,Democrat,220
Noxubee,Citronville,State Auditor,,Lajena  Walley,Reform,5
Noxubee,Citronville,State Treasurer,,Lynn Fitch,Republican,75
Noxubee,Citronville,State Treasurer,,Viola McFarland,Reform,82
Noxubee,Citronville,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,232
Noxubee,Citronville,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,28
Noxubee,Citronville,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,6
Noxubee,Citronville,Commissioner of Insurance,,Mike Chaney,Republican,113
Noxubee,Citronville,State Senate,16,Angela Turner,Democrat,211
Noxubee,Citronville,State House,42,Carl Mickens,Democrat,259
Noxubee,Citronville,State House,42,Dorothy Baker Hines,Independent,38
Noxubee,Dist 3 Central,Governor,,Phil  Bryant,Republican,207
Noxubee,Dist 3 Central,Governor,,Robert  Gray,Democrat,542
Noxubee,Dist 3 Central,Governor,,Shawn  O'Hara,Reform,9
Noxubee,Dist 3 Central,Lieutenant Governor,,Tim  Johnson,Democrat,566
Noxubee,Dist 3 Central,Lieutenant Governor,,Tate  Reeves,Republican,161
Noxubee,Dist 3 Central,Lieutenant Governor,,Ron  Williams,Libertarian,15
Noxubee,Dist 3 Central,Lieutenant Governor,,Rosa  B.  Williams,Reform,15
Noxubee,Dist 3 Central,Secretary of State,,Charles  E.  Graham,Democrat,565
Noxubee,Dist 3 Central,Secretary of State,,Delbert  Hosemann,Republican,130
Noxubee,Dist 3 Central,Secretary of State,,Randy  Walker,Reform,36
Noxubee,Dist 3 Central,Attorney General,,Jim  Hood,Democrat,651
Noxubee,Dist 3 Central,Attorney General,,Mike  Hurst,Republican,99
Noxubee,Dist 3 Central,State Auditor,,Stacey  E.  Pickering,Republican,161
Noxubee,Dist 3 Central,State Auditor,,Jocelyn Pepper Pritchett,Democrat,550
Noxubee,Dist 3 Central,State Auditor,,Lajena  Walley,Reform,15
Noxubee,Dist 3 Central,State Treasurer,,Lynn Fitch,Republican,224
Noxubee,Dist 3 Central,State Treasurer,,Viola McFarland,Reform,222
Noxubee,Dist 3 Central,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,570
Noxubee,Dist 3 Central,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,137
Noxubee,Dist 3 Central,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,18
Noxubee,Dist 3 Central,Commissioner of Insurance,,Mike Chaney,Republican,314
Noxubee,Dist 3 Central,State Senate,16,Angela Turner,Democrat,572
Noxubee,Dist 3 Central,State Senate,32,Wallace Pogue,Democrat,1
Noxubee,Dist 3 Central,State Senate,32,Randy Rushing,Republican,0
Noxubee,Dist 3 Central,State House,42,Carl Mickens,Democrat,591
Noxubee,Dist 3 Central,State House,42,Dorothy Baker Hines,Independent,238
Noxubee,Earl Nash,Governor,,Phil  Bryant,Republican,240
Noxubee,Earl Nash,Governor,,Robert  Gray,Democrat,463
Noxubee,Earl Nash,Governor,,Shawn  O'Hara,Reform,9
Noxubee,Earl Nash,Lieutenant Governor,,Tim  Johnson,Democrat,525
Noxubee,Earl Nash,Lieutenant Governor,,Tate  Reeves,Republican,183
Noxubee,Earl Nash,Lieutenant Governor,,Ron  Williams,Libertarian,14
Noxubee,Earl Nash,Lieutenant Governor,,Rosa  B.  Williams,Reform,11
Noxubee,Earl Nash,Secretary of State,,Charles  E.  Graham,Democrat,497
Noxubee,Earl Nash,Secretary of State,,Delbert  Hosemann,Republican,168
Noxubee,Earl Nash,Secretary of State,,Randy  Walker,Reform,27
Noxubee,Earl Nash,Attorney General,,Jim  Hood,Democrat,598
Noxubee,Earl Nash,Attorney General,,Mike  Hurst,Republican,130
Noxubee,Earl Nash,State Auditor,,Stacey  E.  Pickering,Republican,192
Noxubee,Earl Nash,State Auditor,,Jocelyn Pepper Pritchett,Democrat,486
Noxubee,Earl Nash,State Auditor,,Lajena  Walley,Reform,6
Noxubee,Earl Nash,State Treasurer,,Lynn Fitch,Republican,258
Noxubee,Earl Nash,State Treasurer,,Viola McFarland,Reform,203
Noxubee,Earl Nash,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,518
Noxubee,Earl Nash,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,167
Noxubee,Earl Nash,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,14
