candidate,office,district,party,county,precinct,votes
Joseph R. Biden,President,,D,Scott,Beat 4/Branch,84
Donald J. Trump,President,,R,Scott,Beat 4/Branch,452
Don Blankenship,President,,AC,Scott,Beat 4/Branch,0
Brian Carroll,President,,AS,Scott,Beat 4/Branch,0
Phil Collins,President,,IND,Scott,Beat 4/Branch,1
Howie Hawkins,President,,G,Scott,Beat 4/Branch,1
Jo Jorgensen,President,,L,Scott,Beat 4/Branch,1
Brock Pierce,President,,IND,Scott,Beat 4/Branch,0
Kanye West,President,,IND,Scott,Beat 4/Branch,1
Mike Espy,U.S. Senate,,D,Scott,Beat 4/Branch,105
Cindy Hyde-Smith,U.S. Senate,,R,Scott,Beat 4/Branch,424
Jimmy L Edwards,U.S. Senate,,L,Scott,Beat 4/Branch,10
Dorothy Dot Benford,U.S. House,3,D,Scott,Beat 4/Branch,87
Michael Guest,U.S. House,3,R,Scott,Beat 4/Branch,441
Joseph R. Biden,President,,D,Scott,Beat 1/Harperville,393
Donald J. Trump,President,,R,Scott,Beat 1/Harperville,286
Don Blankenship,President,,AC,Scott,Beat 1/Harperville,0
Brian Carroll,President,,AS,Scott,Beat 1/Harperville,1
Phil Collins,President,,IND,Scott,Beat 1/Harperville,0
Howie Hawkins,President,,G,Scott,Beat 1/Harperville,1
Jo Jorgensen,President,,L,Scott,Beat 1/Harperville,1
Brock Pierce,President,,IND,Scott,Beat 1/Harperville,0
Kanye West,President,,IND,Scott,Beat 1/Harperville,0
Mike Espy,U.S. Senate,,D,Scott,Beat 1/Harperville,402
Cindy Hyde-Smith,U.S. Senate,,R,Scott,Beat 1/Harperville,276
Jimmy L Edwards,U.S. Senate,,L,Scott,Beat 1/Harperville,3
Dorothy Dot Benford,U.S. House,3,D,Scott,Beat 1/Harperville,364
Michael Guest,U.S. House,3,R,Scott,Beat 1/Harperville,293
Joseph R. Biden,President,,D,Scott,Beat 1/Hillsboro,448
Donald J. Trump,President,,R,Scott,Beat 1/Hillsboro,282
Don Blankenship,President,,AC,Scott,Beat 1/Hillsboro,1
Brian Carroll,President,,AS,Scott,Beat 1/Hillsboro,1
Phil Collins,President,,IND,Scott,Beat 1/Hillsboro,0
Howie Hawkins,President,,G,Scott,Beat 1/Hillsboro,3
Jo Jorgensen,President,,L,Scott,Beat 1/Hillsboro,6
Brock Pierce,President,,IND,Scott,Beat 1/Hillsboro,0
Kanye West,President,,IND,Scott,Beat 1/Hillsboro,3
Mike Espy,U.S. Senate,,D,Scott,Beat 1/Hillsboro,486
Cindy Hyde-Smith,U.S. Senate,,R,Scott,Beat 1/Hillsboro,258
Jimmy L Edwards,U.S. Senate,,L,Scott,Beat 1/Hillsboro,4
Dorothy Dot Benford,U.S. House,3,D,Scott,Beat 1/Hillsboro,419
Michael Guest,U.S. House,3,R,Scott,Beat 1/Hillsboro,281
Joseph R. Biden,President,,D,Scott,Beat 1/ North Forest,530
Donald J. Trump,President,,R,Scott,Beat 1/ North Forest,96
Don Blankenship,President,,AC,Scott,Beat 1/ North Forest,1
Brian Carroll,President,,AS,Scott,Beat 1/ North Forest,1
Phil Collins,President,,IND,Scott,Beat 1/ North Forest,0
Howie Hawkins,President,,G,Scott,Beat 1/ North Forest,2
Jo Jorgensen,President,,L,Scott,Beat 1/ North Forest,2
Brock Pierce,President,,IND,Scott,Beat 1/ North Forest,0
Kanye West,President,,IND,Scott,Beat 1/ North Forest,2
Mike Espy,U.S. Senate,,D,Scott,Beat 1/ North Forest,541
Cindy Hyde-Smith,U.S. Senate,,R,Scott,Beat 1/ North Forest,94
Jimmy L Edwards,U.S. Senate,,L,Scott,Beat 1/ North Forest,0
Dorothy Dot Benford,U.S. House,3,D,Scott,Beat 1/ North Forest,496
Michael Guest,U.S. House,3,R,Scott,Beat 1/ North Forest,117
Joseph R. Biden,President,,D,Scott,Beat 2/High Hill,174
Donald J. Trump,President,,R,Scott,Beat 2/High Hill,154
Don Blankenship,President,,AC,Scott,Beat 2/High Hill,0
Brian Carroll,President,,AS,Scott,Beat 2/High Hill,1
Phil Collins,President,,IND,Scott,Beat 2/High Hill,0
Howie Hawkins,President,,G,Scott,Beat 2/High Hill,0
Jo Jorgensen,President,,L,Scott,Beat 2/High Hill,1
Brock Pierce,President,,IND,Scott,Beat 2/High Hill,0
Kanye West,President,,IND,Scott,Beat 2/High Hill,0
Mike Espy,U.S. Senate,,D,Scott,Beat 2/High Hill,176
Cindy Hyde-Smith,U.S. Senate,,R,Scott,Beat 2/High Hill,149
Jimmy L Edwards,U.S. Senate,,L,Scott,Beat 2/High Hill,9
Dorothy Dot Benford,U.S. House,3,D,Scott,Beat 2/High Hill,155
Michael Guest,U.S. House,3,R,Scott,Beat 2/High Hill,167
Joseph R. Biden,President,,D,Scott,Beat 2/Homewood,56
Donald J. Trump,President,,R,Scott,Beat 2/Homewood,223
Don Blankenship,President,,AC,Scott,Beat 2/Homewood,0
Brian Carroll,President,,AS,Scott,Beat 2/Homewood,0
Phil Collins,President,,IND,Scott,Beat 2/Homewood,0
Howie Hawkins,President,,G,Scott,Beat 2/Homewood,0
Jo Jorgensen,President,,L,Scott,Beat 2/Homewood,0
Brock Pierce,President,,IND,Scott,Beat 2/Homewood,1
Kanye West,President,,IND,Scott,Beat 2/Homewood,0
