candidate,office,district,party,county,precinct,votes
Roque 'Rocky' De La Fuente,President,,R,Amite,Amite River,0
Donald J. Trump,President,,R,Amite,Amite River,52
Bill Weld,President,,R,Amite,Amite River,0
Cindy Hyde-Smith,U.S. Senate,,R,Amite,Amite River,52
Michael Guest,U.S. House,3,R,Amite,Amite River,37
James Tulp,U.S. House,3,R,Amite,Amite River,13
Joseph R. Biden,President,,D,Amite,Amite River,97
Michael R Bloomberg,President,,D,Amite,Amite River,0
Pete Buttigieg,President,,D,Amite,Amite River,0
Tulsi Gabbard,President,,D,Amite,Amite River,1
Amy Klobuchar,President,,D,Amite,Amite River,1
Deval Patrick,President,,D,Amite,Amite River,0
Bernie Sanders,President,,D,Amite,Amite River,6
Tom Steyer,President,,D,Amite,Amite River,0
Elizabeth Warren,President,,D,Amite,Amite River,0
Andrew Yang,President,,D,Amite,Amite River,1
Tobey Bernard Bartee,U.S. Senate,,D,Amite,Amite River,6
Jensen Bohren,U.S. Senate,,D,Amite,Amite River,7
Mike Espy,U.S. Senate,,D,Amite,Amite River,92
Dorothy 'Dot' Benford,U.S. House,3,D,Amite,Amite River,79
Katelyn Lee,U.S. House,3,D,Amite,Amite River,19
Roque 'Rocky' De La Fuente,President,,R,Amite,Ariel,0
Donald J. Trump,President,,R,Amite,Ariel,17
Bill Weld,President,,R,Amite,Ariel,0
Cindy Hyde-Smith,U.S. Senate,,R,Amite,Ariel,15
Michael Guest,U.S. House,3,R,Amite,Ariel,9
James Tulp,U.S. House,3,R,Amite,Ariel,6
Joseph R. Biden,President,,D,Amite,Ariel,118
Michael R Bloomberg,President,,D,Amite,Ariel,4
Pete Buttigieg,President,,D,Amite,Ariel,0
Tulsi Gabbard,President,,D,Amite,Ariel,0
Amy Klobuchar,President,,D,Amite,Ariel,0
Deval Patrick,President,,D,Amite,Ariel,0
Bernie Sanders,President,,D,Amite,Ariel,10
Tom Steyer,President,,D,Amite,Ariel,1
Elizabeth Warren,President,,D,Amite,Ariel,0
Andrew Yang,President,,D,Amite,Ariel,1
Tobey Bernard Bartee,U.S. Senate,,D,Amite,Ariel,5
Jensen Bohren,U.S. Senate,,D,Amite,Ariel,3
Mike Espy,U.S. Senate,,D,Amite,Ariel,125
Dorothy 'Dot' Benford,U.S. House,3,D,Amite,Ariel,87
