candidate,office,district,party,county,precinct,votes
Joseph R. Biden,President,,D,Forrest,Bar Mac,375
Donald J. Trump,President,,R,Forrest,Bar Mac,1784
Don Blankenship,President,,AC,Forrest,Bar Mac,3
Brian Carroll,President,,AS,Forrest,Bar Mac,1
Phil Collins,President,,IND,Forrest,Bar Mac,1
Howie Hawkins,President,,G,Forrest,Bar Mac,2
Jo Jorgensen,President,,L,Forrest,Bar Mac,13
Brock Pierce,President,,IND,Forrest,Bar Mac,0
Kanye West,President,,IND,Forrest,Bar Mac,3
Mike Espy,U.S. Senate,,D,Forrest,Bar Mac,421
Cindy Hyde-Smith,U.S. Senate,,R,Forrest,Bar Mac,1680
Jimmy L Edwards,U.S. Senate,,L,Forrest,Bar Mac,68
Steven M Palazzo,U.S. House,4,R,Forrest,Bar Mac,1916
Joseph R. Biden,President,,D,Forrest,Brooklyn,30
Donald J. Trump,President,,R,Forrest,Brooklyn,467
Don Blankenship,President,,AC,Forrest,Brooklyn,0
Brian Carroll,President,,AS,Forrest,Brooklyn,0
Phil Collins,President,,IND,Forrest,Brooklyn,1
Howie Hawkins,President,,G,Forrest,Brooklyn,0
Jo Jorgensen,President,,L,Forrest,Brooklyn,6
Brock Pierce,President,,IND,Forrest,Brooklyn,0
Kanye West,President,,IND,Forrest,Brooklyn,0
Mike Espy,U.S. Senate,,D,Forrest,Brooklyn,47
Cindy Hyde-Smith,U.S. Senate,,R,Forrest,Brooklyn,445
Jimmy L Edwards,U.S. Senate,,L,Forrest,Brooklyn,10
Steven M Palazzo,U.S. House,4,R,Forrest,Brooklyn,476
Joseph R. Biden,President,,D,Forrest,Camp,337
Donald J. Trump,President,,R,Forrest,Camp,224
Don Blankenship,President,,AC,Forrest,Camp,0
Brian Carroll,President,,AS,Forrest,Camp,1
Phil Collins,President,,IND,Forrest,Camp,2
Howie Hawkins,President,,G,Forrest,Camp,2
Jo Jorgensen,President,,L,Forrest,Camp,7
Brock Pierce,President,,IND,Forrest,Camp,1
Kanye West,President,,IND,Forrest,Camp,6
Mike Espy,U.S. Senate,,D,Forrest,Camp,357
Cindy Hyde-Smith,U.S. Senate,,R,Forrest,Camp,206
Jimmy L Edwards,U.S. Senate,,L,Forrest,Camp,19
Steven M Palazzo,U.S. House,4,R,Forrest,Camp,393
Joseph R. Biden,President,,D,Forrest,Carnes,28
Donald J. Trump,President,,R,Forrest,Carnes,716
Don Blankenship,President,,AC,Forrest,Carnes,2
Brian Carroll,President,,AS,Forrest,Carnes,0
Phil Collins,President,,IND,Forrest,Carnes,0
Howie Hawkins,President,,G,Forrest,Carnes,1
Jo Jorgensen,President,,L,Forrest,Carnes,4
Brock Pierce,President,,IND,Forrest,Carnes,1
Kanye West,President,,IND,Forrest,Carnes,0
Mike Espy,U.S. Senate,,D,Forrest,Carnes,67
Cindy Hyde-Smith,U.S. Senate,,R,Forrest,Carnes,657
Jimmy L Edwards,U.S. Senate,,L,Forrest,Carnes,24
Steven M Palazzo,U.S. House,4,R,Forrest,Carnes,707
Joseph R. Biden,President,,D,Forrest,Court Street,431
Donald J. Trump,President,,R,Forrest,Court Street,78
Don Blankenship,President,,AC,Forrest,Court Street,1
Brian Carroll,President,,AS,Forrest,Court Street,0
Phil Collins,President,,IND,Forrest,Court Street,1
Howie Hawkins,President,,G,Forrest,Court Street,2
Jo Jorgensen,President,,L,Forrest,Court Street,2
Brock Pierce,President,,IND,Forrest,Court Street,0
Kanye West,President,,IND,Forrest,Court Street,3
Mike Espy,U.S. Senate,,D,Forrest,Court Street,447
Cindy Hyde-Smith,U.S. Senate,,R,Forrest,Court Street,67
Jimmy L Edwards,U.S. Senate,,L,Forrest,Court Street,3
Steven M Palazzo,U.S. House,4,R,Forrest,Court Street,267
Joseph R. Biden,President,,D,Forrest,Dantzler,36
Donald J. Trump,President,,R,Forrest,Dantzler,510
Don Blankenship,President,,AC,Forrest,Dantzler,0
Brian Carroll,President,,AS,Forrest,Dantzler,0
Phil Collins,President,,IND,Forrest,Dantzler,1
Howie Hawkins,President,,G,Forrest,Dantzler,0
Jo Jorgensen,President,,L,Forrest,Dantzler,2
Brock Pierce,President,,IND,Forrest,Dantzler,1
Kanye West,President,,IND,Forrest,Dantzler,0
Mike Espy,U.S. Senate,,D,Forrest,Dantzler,57
Cindy Hyde-Smith,U.S. Senate,,R,Forrest,Dantzler,482
Jimmy L Edwards,U.S. Senate,,L,Forrest,Dantzler,9
Steven M Palazzo,U.S. House,4,R,Forrest,Dantzler,511
Joseph R. Biden,President,,D,Forrest,Dixie,147
Donald J. Trump,President,,R,Forrest,Dixie,1115
Don Blankenship,President,,AC,Forrest,Dixie,2
Brian Carroll,President,,AS,Forrest,Dixie,0
Phil Collins,President,,IND,Forrest,Dixie,0
Howie Hawkins,President,,G,Forrest,Dixie,2
Jo Jorgensen,President,,L,Forrest,Dixie,10
Brock Pierce,President,,IND,Forrest,Dixie,1
Kanye West,President,,IND,Forrest,Dixie,1
Mike Espy,U.S. Senate,,D,Forrest,Dixie,197
Cindy Hyde-Smith,U.S. Senate,,R,Forrest,Dixie,1033
Jimmy L Edwards,U.S. Senate,,L,Forrest,Dixie,41
Steven M Palazzo,U.S. House,4,R,Forrest,Dixie,1170
Joseph R. Biden,President,,D,Forrest,Dixie Pine Central,731
Donald J. Trump,President,,R,Forrest,Dixie Pine Central,200
