candidate,office,district,party,county,precinct,votes
Joseph R. Biden,President,,D,Carroll,430 School,173
Donald J. Trump,President,,R,Carroll,430 School,94
Don Blankenship,President,,AC,Carroll,430 School,0
Brian Carroll,President,,AS,Carroll,430 School,1
Phil Collins,President,,IND,Carroll,430 School,0
Howie Hawkins,President,,G,Carroll,430 School,0
Jo Jorgensen,President,,L,Carroll,430 School,0
Brock Pierce,President,,IND,Carroll,430 School,2
Kanye West,President,,IND,Carroll,430 School,2
Mike Espy,U.S. Senate,,D,Carroll,430 School,183
Cindy Hyde-Smith,U.S. Senate,,R,Carroll,430 School,89
Jimmy L Edwards,U.S. Senate,,L,Carroll,430 School,2
Brian Flowers,U.S. House,2,R,Carroll,430 School,87
Bennie G Thompson,U.S. House,2,D,Carroll,430 School,181
Joseph R. Biden,President,,D,Carroll,Black Hawk,74
Donald J. Trump,President,,R,Carroll,Black Hawk,213
Don Blankenship,President,,AC,Carroll,Black Hawk,0
Brian Carroll,President,,AS,Carroll,Black Hawk,0
Phil Collins,President,,IND,Carroll,Black Hawk,0
Howie Hawkins,President,,G,Carroll,Black Hawk,0
Jo Jorgensen,President,,L,Carroll,Black Hawk,0
Brock Pierce,President,,IND,Carroll,Black Hawk,0
Kanye West,President,,IND,Carroll,Black Hawk,0
Mike Espy,U.S. Senate,,D,Carroll,Black Hawk,92
Cindy Hyde-Smith,U.S. Senate,,R,Carroll,Black Hawk,192
Jimmy L Edwards,U.S. Senate,,L,Carroll,Black Hawk,3
Brian Flowers,U.S. House,2,R,Carroll,Black Hawk,197
Bennie G Thompson,U.S. House,2,D,Carroll,Black Hawk,84
Joseph R. Biden,President,,D,Carroll,Calvary,3
Donald J. Trump,President,,R,Carroll,Calvary,168
Don Blankenship,President,,AC,Carroll,Calvary,1
Brian Carroll,President,,AS,Carroll,Calvary,0
Phil Collins,President,,IND,Carroll,Calvary,0
Howie Hawkins,President,,G,Carroll,Calvary,1
Jo Jorgensen,President,,L,Carroll,Calvary,1
Brock Pierce,President,,IND,Carroll,Calvary,0
Kanye West,President,,IND,Carroll,Calvary,0
Mike Espy,U.S. Senate,,D,Carroll,Calvary,10
Cindy Hyde-Smith,U.S. Senate,,R,Carroll,Calvary,158
Jimmy L Edwards,U.S. Senate,,L,Carroll,Calvary,5
Brian Flowers,U.S. House,2,R,Carroll,Calvary,157
Bennie G Thompson,U.S. House,2,D,Carroll,Calvary,13
Joseph R. Biden,President,,D,Carroll,Carrollton,63
Donald J. Trump,President,,R,Carroll,Carrollton,309
Don Blankenship,President,,AC,Carroll,Carrollton,0
Brian Carroll,President,,AS,Carroll,Carrollton,0
Phil Collins,President,,IND,Carroll,Carrollton,0
Howie Hawkins,President,,G,Carroll,Carrollton,0
Jo Jorgensen,President,,L,Carroll,Carrollton,0
Brock Pierce,President,,IND,Carroll,Carrollton,0
Kanye West,President,,IND,Carroll,Carrollton,1
Mike Espy,U.S. Senate,,D,Carroll,Carrollton,69
Cindy Hyde-Smith,U.S. Senate,,R,Carroll,Carrollton,299
Jimmy L Edwards,U.S. Senate,,L,Carroll,Carrollton,6
Brian Flowers,U.S. House,2,R,Carroll,Carrollton,288
Bennie G Thompson,U.S. House,2,D,Carroll,Carrollton,74
Joseph R. Biden,President,,D,Carroll,East Vaiden,260
Donald J. Trump,President,,R,Carroll,East Vaiden,310
Don Blankenship,President,,AC,Carroll,East Vaiden,4
Brian Carroll,President,,AS,Carroll,East Vaiden,0
Phil Collins,President,,IND,Carroll,East Vaiden,0
Howie Hawkins,President,,G,Carroll,East Vaiden,2
Jo Jorgensen,President,,L,Carroll,East Vaiden,1
Brock Pierce,President,,IND,Carroll,East Vaiden,0
Kanye West,President,,IND,Carroll,East Vaiden,2
Mike Espy,U.S. Senate,,D,Carroll,East Vaiden,289
