candidate,office,district,party,county,precinct,votes
Jimmy L Edwards,U.S. Senate,,L,Hinds,Chapel Hill,4
Brian Flowers,U.S. House,2,R,Hinds,Chapel Hill,327
Bennie G Thompson,U.S. House,2,D,Hinds,Chapel Hill,351
Joseph R. Biden,President,,D,Hinds,Clinton 1,544
Donald J. Trump,President,,R,Hinds,Clinton 1,624
Don Blankenship,President,,AC,Hinds,Clinton 1,5
Brian Carroll,President,,AS,Hinds,Clinton 1,1
Phil Collins,President,,IND,Hinds,Clinton 1,2
Howie Hawkins,President,,G,Hinds,Clinton 1,0
Jo Jorgensen,President,,L,Hinds,Clinton 1,5
Brock Pierce,President,,IND,Hinds,Clinton 1,1
Kanye West,President,,IND,Hinds,Clinton 1,2
Mike Espy,U.S. Senate,,D,Hinds,Clinton 1,564
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Clinton 1,600
Jimmy L Edwards,U.S. Senate,,L,Hinds,Clinton 1,17
Brian Flowers,U.S. House,2,R,Hinds,Clinton 1,647
Bennie G Thompson,U.S. House,2,D,Hinds,Clinton 1,535
Joseph R. Biden,President,,D,Hinds,Clinton 2,945
Donald J. Trump,President,,R,Hinds,Clinton 2,1276
Don Blankenship,President,,AC,Hinds,Clinton 2,1
Brian Carroll,President,,AS,Hinds,Clinton 2,4
Phil Collins,President,,IND,Hinds,Clinton 2,2
Howie Hawkins,President,,G,Hinds,Clinton 2,1
Jo Jorgensen,President,,L,Hinds,Clinton 2,23
Brock Pierce,President,,IND,Hinds,Clinton 2,2
Kanye West,President,,IND,Hinds,Clinton 2,5
Mike Espy,U.S. Senate,,D,Hinds,Clinton 2,966
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Clinton 2,1245
Jimmy L Edwards,U.S. Senate,,L,Hinds,Clinton 2,43
Brian Flowers,U.S. House,2,R,Hinds,Clinton 2,1337
Bennie G Thompson,U.S. House,2,D,Hinds,Clinton 2,919
Joseph R. Biden,President,,D,Hinds,Clinton 3,978
Donald J. Trump,President,,R,Hinds,Clinton 3,862
Don Blankenship,President,,AC,Hinds,Clinton 3,2
Brian Carroll,President,,AS,Hinds,Clinton 3,0
Phil Collins,President,,IND,Hinds,Clinton 3,1
Howie Hawkins,President,,G,Hinds,Clinton 3,4
Jo Jorgensen,President,,L,Hinds,Clinton 3,18
Brock Pierce,President,,IND,Hinds,Clinton 3,0
Kanye West,President,,IND,Hinds,Clinton 3,6
Mike Espy,U.S. Senate,,D,Hinds,Clinton 3,1006
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Clinton 3,824
Jimmy L Edwards,U.S. Senate,,L,Hinds,Clinton 3,32
Brian Flowers,U.S. House,2,R,Hinds,Clinton 3,891
Bennie G Thompson,U.S. House,2,D,Hinds,Clinton 3,967
Joseph R. Biden,President,,D,Hinds,Clinton 4,562
Donald J. Trump,President,,R,Hinds,Clinton 4,374
Don Blankenship,President,,AC,Hinds,Clinton 4,5
Brian Carroll,President,,AS,Hinds,Clinton 4,0
Phil Collins,President,,IND,Hinds,Clinton 4,0
Howie Hawkins,President,,G,Hinds,Clinton 4,2
Jo Jorgensen,President,,L,Hinds,Clinton 4,4
Brock Pierce,President,,IND,Hinds,Clinton 4,1
Kanye West,President,,IND,Hinds,Clinton 4,4
Mike Espy,U.S. Senate,,D,Hinds,Clinton 4,591
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Clinton 4,340
Jimmy L Edwards,U.S. Senate,,L,Hinds,Clinton 4,22
Brian Flowers,U.S. House,2,R,Hinds,Clinton 4,384
Bennie G Thompson,U.S. House,2,D,Hinds,Clinton 4,565
Joseph R. Biden,President,,D,Hinds,Clinton 5,393
Donald J. Trump,President,,R,Hinds,Clinton 5,519
Don Blankenship,President,,AC,Hinds,Clinton 5,0
Brian Carroll,President,,AS,Hinds,Clinton 5,2
Phil Collins,President,,IND,Hinds,Clinton 5,1
Howie Hawkins,President,,G,Hinds,Clinton 5,1
Jo Jorgensen,President,,L,Hinds,Clinton 5,7
Brock Pierce,President,,IND,Hinds,Clinton 5,0
Kanye West,President,,IND,Hinds,Clinton 5,2
Mike Espy,U.S. Senate,,D,Hinds,Clinton 5,417
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Clinton 5,488
Jimmy L Edwards,U.S. Senate,,L,Hinds,Clinton 5,19
Brian Flowers,U.S. House,2,R,Hinds,Clinton 5,534
Bennie G Thompson,U.S. House,2,D,Hinds,Clinton 5,381
Joseph R. Biden,President,,D,Hinds,Clinton 6,803
Donald J. Trump,President,,R,Hinds,Clinton 6,454
Don Blankenship,President,,AC,Hinds,Clinton 6,2
Brian Carroll,President,,AS,Hinds,Clinton 6,1
Phil Collins,President,,IND,Hinds,Clinton 6,3
Howie Hawkins,President,,G,Hinds,Clinton 6,0
Jo Jorgensen,President,,L,Hinds,Clinton 6,11
Brock Pierce,President,,IND,Hinds,Clinton 6,0
Kanye West,President,,IND,Hinds,Clinton 6,6
Mike Espy,U.S. Senate,,D,Hinds,Clinton 6,836
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Clinton 6,417
Jimmy L Edwards,U.S. Senate,,L,Hinds,Clinton 6,25
Brian Flowers,U.S. House,2,R,Hinds,Clinton 6,475
Bennie G Thompson,U.S. House,2,D,Hinds,Clinton 6,803
Joseph R. Biden,President,,D,Hinds,Clinton 7,700
Donald J. Trump,President,,R,Hinds,Clinton 7,814
