candidate,office,district,party,county,precinct,votes
Joseph R. Biden,President,,D,Perry,Arlington 4100,68
Donald J. Trump,President,,R,Perry,Arlington 4100,402
Don Blankenship,President,,AC,Perry,Arlington 4100,2
Brian Carroll,President,,AS,Perry,Arlington 4100,0
Phil Collins,President,,IND,Perry,Arlington 4100,0
Howie Hawkins,President,,G,Perry,Arlington 4100,0
Jo Jorgensen,President,,L,Perry,Arlington 4100,1
Brock Pierce,President,,IND,Perry,Arlington 4100,1
Kanye West,President,,IND,Perry,Arlington 4100,1
Mike Espy,U.S. Senate,,D,Perry,Arlington 4100,86
Cindy Hyde-Smith,U.S. Senate,,R,Perry,Arlington 4100,375
Jimmy L Edwards,U.S. Senate,,L,Perry,Arlington 4100,10
Steven M Palazzo,U.S. House,4,R,Perry,Arlington 4100,412
Joseph R. Biden,President,,D,Perry,Beaumont District 1 1030,371
Donald J. Trump,President,,R,Perry,Beaumont District 1 1030,109
Don Blankenship,President,,AC,Perry,Beaumont District 1 1030,1
Brian Carroll,President,,AS,Perry,Beaumont District 1 1030,0
Phil Collins,President,,IND,Perry,Beaumont District 1 1030,2
Howie Hawkins,President,,G,Perry,Beaumont District 1 1030,1
Jo Jorgensen,President,,L,Perry,Beaumont District 1 1030,2
Brock Pierce,President,,IND,Perry,Beaumont District 1 1030,1
Kanye West,President,,IND,Perry,Beaumont District 1 1030,1
Mike Espy,U.S. Senate,,D,Perry,Beaumont District 1 1030,391
Cindy Hyde-Smith,U.S. Senate,,R,Perry,Beaumont District 1 1030,95
Jimmy L Edwards,U.S. Senate,,L,Perry,Beaumont District 1 1030,4
Steven M Palazzo,U.S. House,4,R,Perry,Beaumont District 1 1030,292
Joseph R. Biden,President,,D,Perry,Beaumont Senior Citizens 5120,42
Donald J. Trump,President,,R,Perry,Beaumont Senior Citizens 5120,117
Don Blankenship,President,,AC,Perry,Beaumont Senior Citizens 5120,0
Brian Carroll,President,,AS,Perry,Beaumont Senior Citizens 5120,0
Phil Collins,President,,IND,Perry,Beaumont Senior Citizens 5120,0
Howie Hawkins,President,,G,Perry,Beaumont Senior Citizens 5120,1
Jo Jorgensen,President,,L,Perry,Beaumont Senior Citizens 5120,0
Brock Pierce,President,,IND,Perry,Beaumont Senior Citizens 5120,0
Kanye West,President,,IND,Perry,Beaumont Senior Citizens 5120,1
Mike Espy,U.S. Senate,,D,Perry,Beaumont Senior Citizens 5120,47
Cindy Hyde-Smith,U.S. Senate,,R,Perry,Beaumont Senior Citizens 5120,109
Jimmy L Edwards,U.S. Senate,,L,Perry,Beaumont Senior Citizens 5120,4
Steven M Palazzo,U.S. House,4,R,Perry,Beaumont Senior Citizens 5120,127
Joseph R. Biden,President,,D,Perry,Courthouse 5110,35
Donald J. Trump,President,,R,Perry,Courthouse 5110,262
Don Blankenship,President,,AC,Perry,Courthouse 5110,0
Brian Carroll,President,,AS,Perry,Courthouse 5110,0
Phil Collins,President,,IND,Perry,Courthouse 5110,0
Howie Hawkins,President,,G,Perry,Courthouse 5110,2
Jo Jorgensen,President,,L,Perry,Courthouse 5110,3
Brock Pierce,President,,IND,Perry,Courthouse 5110,0
Kanye West,President,,IND,Perry,Courthouse 5110,1
Mike Espy,U.S. Senate,,D,Perry,Courthouse 5110,43
Cindy Hyde-Smith,U.S. Senate,,R,Perry,Courthouse 5110,249
Jimmy L Edwards,U.S. Senate,,L,Perry,Courthouse 5110,9
Steven M Palazzo,U.S. House,4,R,Perry,Courthouse 5110,271
Joseph R. Biden,President,,D,Perry,Deep Creek 5150,17
Donald J. Trump,President,,R,Perry,Deep Creek 5150,57
Don Blankenship,President,,AC,Perry,Deep Creek 5150,0
Brian Carroll,President,,AS,Perry,Deep Creek 5150,0
