candidate,office,district,county,votes
Albert Butler,State Senate,36,Claiborne,1109
Jerry L. Cain Sr.,State Senate,36,Claiborne,10
Elvis E. Colenberg Sr.,State Senate,36,Claiborne,175
Kenneth 'Hog' Ramsey,State Senate,36,Claiborne,11
Jimmy D. Strong,State Senate,36,Claiborne,144
Ken Dale Sullivan,State Senate,36,Claiborne,5
Jazma Wheeler,State Senate,36,Claiborne,64
Albert Butler,State Senate,36,Copiah,384
Jerry L. Cain Sr.,State Senate,36,Copiah,5
Elvis E. Colenberg Sr.,State Senate,36,Copiah,183
Kenneth 'Hog' Ramsey,State Senate,36,Copiah,254
Jimmy D. Strong,State Senate,36,Copiah,984
Ken Dale Sullivan,State Senate,36,Copiah,785
Jazma Wheeler,State Senate,36,Copiah,515
Albert Butler,State Senate,36,Hinds,87
Jerry L. Cain Sr.,State Senate,36,Hinds,1
Elvis E. Colenberg Sr.,State Senate,36,Hinds,1
Kenneth 'Hog' Ramsey,State Senate,36,Hinds,1
Jimmy D. Strong,State Senate,36,Hinds,395
Ken Dale Sullivan,State Senate,36,Hinds,3
Jazma Wheeler,State Senate,36,Hinds,40
Albert Butler,State Senate,36,Jefferson,375
Jerry L. Cain Sr.,State Senate,36,Jefferson,10
Elvis E. Colenberg Sr.,State Senate,36,Jefferson,709
Kenneth 'Hog' Ramsey,State Senate,36,Jefferson,4
Jimmy D. Strong,State Senate,36,Jefferson,116
Ken Dale Sullivan,State Senate,36,Jefferson,33
Jazma Wheeler,State Senate,36,Jefferson,38
Albert Butler,State Senate,36,,1955
Jerry L. Cain Sr.,State Senate,36,,26
Elvis E. Colenberg Sr.,State Senate,36,,1068
Kenneth 'Hog' Ramsey,State Senate,36,,270
Jimmy D. Strong,State Senate,36,,1639
Ken Dale Sullivan,State Senate,36,,826
Jazma Wheeler,State Senate,36,,657
