candidate,office,district,county,votes
Albert Butler,State Senate,36,Claiborne,1606
Jimmy D. Strong,State Senate,36,Claiborne,252
Albert Butler,State Senate,36,Copiah,1470
Jimmy D. Strong,State Senate,36,Copiah,1619
Albert Butler,State Senate,36,Hinds,207
Jimmy D. Strong,State Senate,36,Hinds,513
Albert Butler,State Senate,36,Jefferson,891
Jimmy D. Strong,State Senate,36,Jefferson,183
Albert Butler,State Senate,36,,4174
Jimmy D. Strong,State Senate,36,,2567
