page,candidate,office,district,party,county,precinct,votes,winner,
2,Joel L. Gill,US House,3,Democrat ,Wilkinson ,Woodville 1010,108,,
2,Gregg Harper,US House,3,Republican,Wilkinson ,Woodville 1010,91,,
2,Tracella Lau O'Hara Hill,US House,3,Reform,Wilkinson ,Woodville 1010,1,,
2,Joel L. Gill,US House,3,Democrat ,Wilkinson ,Centerville 1st 1020,172,,
2,Gregg Harper,US House,3,Republican,Wilkinson ,Centerville 1st 1020,36,,
2,Tracella Lau O'Hara Hill,US House,3,Reform,Wilkinson ,Centerville 1st 1020,0,,
2,Joel L. Gill,US House,3,Democrat ,Wilkinson ,Woodville 2nd 2010,221,,
2,Gregg Harper,US House,3,Republican,Wilkinson ,Woodville 2nd 2010,58,,
2,Tracella Lau O'Hara Hill,US House,3,Reform,Wilkinson ,Woodville 2nd 2010,3,,
2,Joel L. Gill,US House,3,Democrat ,Wilkinson ,Fort Adams 2020,80,,
2,Gregg Harper,US House,3,Republican,Wilkinson ,Fort Adams 2020,29,,
2,Tracella Lau O'Hara Hill,US House,3,Reform,Wilkinson ,Fort Adams 2020,1,,
2,Joel L. Gill,US House,3,Democrat ,Wilkinson ,Centerville 3rd 3010,156,,
2,Gregg Harper,US House,3,Republican,Wilkinson ,Centerville 3rd 3010,213,,
2,Tracella Lau O'Hara Hill,US House,3,Reform,Wilkinson ,Centerville 3rd 3010,2,,
2,Joel L. Gill,US House,3,Democrat ,Wilkinson ,Woodville 4th 4010,334,,
2,Gregg Harper,US House,3,Republican,Wilkinson ,Woodville 4th 4010,60,,
2,Tracella Lau O'Hara Hill,US House,3,Reform,Wilkinson ,Woodville 4th 4010,0,,
2,Joel L. Gill,US House,3,Democrat ,Wilkinson ,Cold Springs 4020,61,,
2,Gregg Harper,US House,3,Republican,Wilkinson ,Cold Springs 4020,47,,
2,Tracella Lau O'Hara Hill,US House,3,Reform,Wilkinson ,Cold Springs 4020,0,,
2,Joel L. Gill,US House,3,Democrat ,Wilkinson ,Woodville 5th 5010,76,,
2,Gregg Harper,US House,3,Republican,Wilkinson ,Woodville 5th 5010,145,,
2,Tracella Lau O'Hara Hill,US House,3,Reform,Wilkinson ,Woodville 5th 5010,1,,
2,Joel L. Gill,US House,3,Democrat ,Wilkinson ,Longmire 5020,77,,
2,Gregg Harper,US House,3,Republican,Wilkinson ,Longmire 5020,142,,
2,Tracella Lau O'Hara Hill,US House,3,Reform,Wilkinson ,Longmire 5020,0,,
2,Joel L. Gill,US House,3,Democrat ,Wilkinson ,Longmire Voting Precinct ,x,,
2,Gregg Harper,US House,3,Republican,Wilkinson ,Longmire Voting Precinct ,x,,
2,Tracella Lau O'Hara Hill,US House,3,Reform,Wilkinson ,Longmire Voting Precinct ,x,,
2,Joel L. Gill,US House,3,Democrat ,Wilkinson ,TOTAL ,1285,,
2,Gregg Harper,US House,3,Republican,Wilkinson ,TOTAL ,821,,
2,Tracella Lau O'Hara Hill,US House,3,Reform,Wilkinson ,TOTAL ,8,,
