page,candidate,office,district,party,county,precinct,votes,winner,
2,Bill Marcy,U.S. House,2,Republican,Sunflower ,11-Inverness ,286,,
2,Ashley Norwood,U.S. House,2,Reform,Sunflower ,11-Inverness ,4,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,11-Inverness ,183,,
2,Bill Marcy,U.S. House,2,Republican,Sunflower ,22-Indianola #2 East ,13,,
2,Ashley Norwood,U.S. House,2,Reform,Sunflower ,22-Indianola #2 East ,2,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,22-Indianola #2 East ,836,,
2,Bill Marcy,U.S. House,2,Republican,Sunflower ,33- Indianola #3 Northeast ,151,,
2,Ashley Norwood,U.S. House,2,Reform,Sunflower ,33- Indianola #3 Northeast ,3,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,33- Indianola #3 Northeast ,57,,
2,Bill Marcy,U.S. House,2,Republican,Sunflower ,12-Moorhead ,106,,
2,Ashley Norwood,U.S. House,2,Reform,Sunflower ,12-Moorhead ,2,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,12-Moorhead ,385,,
2,Bill Marcy,U.S. House,2,Republican,Sunflower ,34-Sunflower 3,22,,
2,Ashley Norwood,U.S. House,2,Reform,Sunflower ,34-Sunflower 3,1,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,34-Sunflower 3,10,,
2,Bill Marcy,U.S. House,2,Republican,Sunflower ,31- Indianola #3 South,395,,
2,Ashley Norwood,U.S. House,2,Reform,Sunflower ,31- Indianola #3 South,4,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,31- Indianola #3 South,223,,
2,Bill Marcy,U.S. House,2,Republican,Sunflower ,41-Fairview -Hale,48,,
2,Ashley Norwood,U.S. House,2,Reform,Sunflower ,41-Fairview -Hale,0,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,41-Fairview -Hale,12,,
2,Bill Marcy,U.S. House,2,Republican,Sunflower ,32-Indianola # 3 North ,121,,
2,Ashley Norwood,U.S. House,2,Reform,Sunflower ,32-Indianola # 3 North ,1,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,32-Indianola # 3 North ,60,,
2,Bill Marcy,U.S. House,2,Republican,Sunflower ,44-Ruleville ,102,,
2,Ashley Norwood,U.S. House,2,Reform,Sunflower ,44-Ruleville ,4,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,44-Ruleville ,439,,
2,Bill Marcy,U.S. House,2,Republican,Sunflower ,43-Doddsville,20,,
2,Ashley Norwood,U.S. House,2,Reform,Sunflower ,43-Doddsville,0,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,43-Doddsville,60,,
2,Bill Marcy,U.S. House,2,Republican,Sunflower ,42-Boyer-Linn,111,,
2,Ashley Norwood,U.S. House,2,Reform,Sunflower ,42-Boyer-Linn,2,,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,42-Boyer-Linn,114,,
3,Bill Marcy,U.S. House,2,Republican,Sunflower ,52-Sunflower Plantation,54,,
3,Ashley Norwood,U.S. House,2,Reform,Sunflower ,52-Sunflower Plantation,2,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,52-Sunflower Plantation,9,,
3,Bill Marcy,U.S. House,2,Republican,Sunflower ,53-Rome,47,,
3,Ashley Norwood,U.S. House,2,Reform,Sunflower ,53-Rome,4,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,53-Rome,54,,
3,Bill Marcy,U.S. House,2,Republican,Sunflower ,54-Drew,197,,
3,Ashley Norwood,U.S. House,2,Reform,Sunflower ,54-Drew,6,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,54-Drew,384,,
3,Bill Marcy,U.S. House,2,Republican,Sunflower ,51-Ruleville North,109,,
3,Ashley Norwood,U.S. House,2,Reform,Sunflower ,51-Ruleville North,3,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,51-Ruleville North,69,,
3,Bill Marcy,U.S. House,2,Republican,Sunflower ,45-Sunflower 4,54,,
3,Ashley Norwood,U.S. House,2,Reform,Sunflower ,45-Sunflower 4,9,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,45-Sunflower 4,191,,
3,Bill Marcy,U.S. House,2,Republican,Sunflower ,21-Indianola # 2 West ,140,,
3,Ashley Norwood,U.S. House,2,Reform,Sunflower ,21-Indianola # 2 West ,5,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,21-Indianola # 2 West ,176,,
3,Bill Marcy,U.S. House,2,Republican,Sunflower ,13-Indianola #1 Southeast ,1,,
3,Ashley Norwood,U.S. House,2,Reform,Sunflower ,13-Indianola #1 Southeast ,1,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,13-Indianola #1 Southeast ,238,,
3,Bill Marcy,U.S. House,2,Republican,Sunflower ,TOTAL ,1977,,
3,Ashley Norwood,U.S. House,2,Reform,Sunflower ,TOTAL ,53,,
3,Bennie G. Thompson,U.S. House,2,Democrat,Sunflower ,TOTAL ,3500,,
